Kecamatan,Kelapa Sawit (ton) 2017,Karet (ton) 2017,Kopi Robusta (ton) 2017,Kakao (ton) 2017,Tebu (ton) 2017,Teh (ton) 2017,Tembakau (ton) 2017,Kelapa Sawit (ton) 2018,Kelapa Dalam (ton) 2018,Karet (ton) 2018,Kopi Robusta (ton) 2018,Kakao (ton) 2018,Tebu (ton) 2018,Teh (ton) 2018,Tembakau (ton) 2018,Kelapa Sawit (ton) 2019,Kelapa Dalam (ton) 2019,Karet (ton) 2019,Kopi Robusta (ton) 2019,Kakao (ton) 2019,Tebu (ton) 2019,Teh (ton) 2019,Tembakau (ton) 2019,Kelapa Sawit (ton) 2020,Kelapa Dalam (ton) 2020,Karet (ton) 2020,Kopi Robusta (ton) 2020,Kakao (ton) 2020,Tebu (ton) 2020,Teh (ton) 2020,Tembakau (ton) 2020,Kelapa Sawit (ton) 2021,Kelapa Dalam (ton) 2021,Karet (ton) 2021,Kopi Robusta (ton) 2021,Kakao (ton) 2021,Tebu (ton) 2021,Teh (ton) 2021,Tembakau (ton) 2021,Kelapa Sawit (ton) 2022,Kelapa Dalam (ton) 2022,Karet (ton) 2022,Kopi Robusta (ton) 2022,Kakao (ton) 2022,Tebu (ton) 2022,Teh (ton) 2022,Tembakau (ton) 2022,Kelapa Sawit (ton) 2023,Kelapa Dalam (ton) 2023,Karet (ton) 2023,Kopi Robusta (ton) 2023,Kakao (ton) 2023,Tebu (ton) 2023,Teh (ton) 2023,Tembakau (ton) 2023,Kelapa Sawit (ton) 2024,Kelapa Dalam (ton) 2024,Karet (ton) 2024,Kopi Robusta (ton) 2024,Kakao (ton) 2024,Tebu (ton) 2024,Teh (ton) 2024,Tembakau (ton) 2024,Tahun
Banjarmangu,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Banjarmangu,,,,,,,,0,1345.38,0,23.62,0.7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Banjarmangu,,,,,,,,,,,,,,,,0,1468.31,0,27.33,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,0,1576.53,0,63.26,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1576.53,0,65.16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2021
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1671.96,0,89.55,0.57,0,0,0,,,,,,,,,,,,,,,,,2022
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,358.13,0,39.83,0.57,0,0,0,,,,,,,,,2023
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,769.99,0,83.94,4.02,0,0,0,2024
Banjarnegara,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Banjarnegara,,,,,,,,0,388.65,0,63.42,2.05,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Banjarnegara,,,,,,,,,,,,,,,,0,392.19,0,67.86,2.03,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Banjarnegara,,,,,,,,,,,,,,,,,,,,,,,,0,392.19,0,133.72,2.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Banjarnegara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,466.29,0,129.5,1.88,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2021
Banjarnegara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,484.84,0,135.8,0.82,0,0,0,,,,,,,,,,,,,,,,,2022
Banjarnegara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,263.9,0,92.61,0.82,0,0,0,,,,,,,,,2023
Banjarnegara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,608.58,0,172.8,2.23,0,0,0,2024
Bawang,0,1.41,,,469.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Bawang,,,,,,,,0,513.61,0.07,13.5,24.03,0.27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Bawang,,,,,,,,,,,,,,,,0,524.16,0.4,14.05,20.81,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Bawang,,,,,,,,,,,,,,,,,,,,,,,,0,547.92,0.41,54.68,19.77,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Bawang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,612.96,0.43,48.47,18.57,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2021
Bawang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,680.46,0.44,50.11,18.71,0,0,0,,,,,,,,,,,,,,,,,2022
Bawang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,452.84,0,50.11,19.11,0,0,0,,,,,,,,,2023
Bawang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,459.01,436.25,88.37,51.85,0,0,0,2024
Kalibening,0,0,,,0,823.5,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Kalibening,,,,,,,,0,5.54,0,302.63,0,0,823.5,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Kalibening,,,,,,,,,,,,,,,,0,5.73,0,309.28,0,0,1143.83,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,0,5.84,0,373.32,0,0,1156.71,14.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5.52,0,301.34,0,0,1194.23,9.8,,,,,,,,,,,,,,,,,,,,,,,,,2021
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5.36,0,272.81,0,0,1201.51,0,,,,,,,,,,,,,,,,,2022
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5.36,0,0,0,0,953.69,19.17,,,,,,,,,2023
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10.73,0,344.31,0,0,1723.68,11.5,2024
Karangkobar,0,0,,,0,124.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Karangkobar,,,,,,,,0,16.6,0,205.47,0,0,124.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Karangkobar,,,,,,,,,,,,,,,,0,5.27,0,168.47,0,0,135.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,0,6.15,0,209.66,0,0,142.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.72,0,206.87,0,0,143.42,0.93,,,,,,,,,,,,,,,,,,,,,,,,,2021
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.61,0,181.54,0,0,147.89,0.93,,,,,,,,,,,,,,,,,2022
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.02,0,0,0,0,147.88,4.32,,,,,,,,,2023
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.82,0,352.35,0,0,295.77,3.78,2024
Madukara,0,0,,,67.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Madukara,,,,,,,,0,1144.45,0,13.42,0,72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Madukara,,,,,,,,,,,,,,,,0,1257.52,0,13.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Madukara,,,,,,,,,,,,,,,,,,,,,,,,0,1262.84,0,41.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1359.79,0,42.09,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2021
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1428.04,0,42.57,0,0,0,0,,,,,,,,,,,,,,,,,2022
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1428.04,0,31,0,0,0,0,,,,,,,,,2023
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1320.01,0,60.73,0,0,0,0,2024
Mandiraja,0,1.67,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Mandiraja,,,,,,,,0,458.54,0.1,6.43,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Mandiraja,,,,,,,,,,,,,,,,0,468.22,0,9.36,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,0,557.18,0,32.35,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,589.06,0,31.91,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2021
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,668,0,32.68,0,0,0,0,,,,,,,,,,,,,,,,,2022
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,668,0,32.68,0,0,0,0,,,,,,,,,2023
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1616.52,0,48.44,0,0,0,0,2024
Pagedongan,0,4.45,,,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pagedongan,,,,,,,,0,492.95,0.21,12.85,0.29,15.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pagedongan,,,,,,,,,,,,,,,,0,559.39,0.17,8.63,0.27,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,0,687.02,0.14,52.75,0.29,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,697.37,0.17,53.85,0.28,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2021
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,717.99,0.15,54.31,0.28,0,0,0,,,,,,,,,,,,,,,,,2022
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,657.57,0.17,49.95,0.36,0,0,0,,,,,,,,,2023
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1317.4,333.02,87.48,0.8,0,0,0,2024
Pagentan,0,0,,,0,18.55,47.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pagentan,,,,,,,,0,51.02,0,7.88,0,0,18.55,47.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pagentan,,,,,,,,,,,,,,,,0,44.11,0,7.94,0,0,20.74,48.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,0,50.65,0,21.89,0,0,21.11,60.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52.06,0,17.83,0,0,20.99,49.5,,,,,,,,,,,,,,,,,,,,,,,,,2021
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,53.39,0,16.65,0,0,22.11,0,,,,,,,,,,,,,,,,,2022
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32.8,0,0,0,0,27.07,95.25,,,,,,,,,2023
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,65.61,0,55.47,0,0,45.36,82.71,2024
Pandanarum,0,0,,,0,258.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pandanarum,,,,,,,,0,0,0,92.54,0,0,258.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pandanarum,,,,,,,,,,,,,,,,0,0,0,93.43,0,0,219.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,107.04,0,0,233.47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,99.64,0,0,233.25,0,,,,,,,,,,,,,,,,,,,,,,,,,2021
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,90.67,0,0,252.48,0,,,,,,,,,,,,,,,,,2022
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,189.52,0,,,,,,,,,2023
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,108.7,0,0,317.52,0,2024
Pejawaran,0,0,,,0,17.2,109.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pejawaran,,,,,,,,0,0,0,13.43,0,0,17.2,64.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pejawaran,,,,,,,,,,,,,,,,0,0,0,14.16,0,0,10.13,137.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,107.36,0,0,10.83,200.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,104.46,0,0,11.52,193.6,,,,,,,,,,,,,,,,,,,,,,,,,2021
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,107.32,0,0,11.69,0,,,,,,,,,,,,,,,,,2022
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,18.71,244.24,,,,,,,,,2023
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,183.56,0,0,37.42,307.43,2024
Punggelan,0,0,,,1355.66,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Punggelan,,,,,,,,0,873.51,0,125.8,1.02,1286,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Punggelan,,,,,,,,,,,,,,,,0,932.6,0,140.52,0.91,17.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,0,940.6,0,151.82,0.85,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1004.36,0,140.75,1.01,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2021
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1060.44,0,85.44,1.01,0,0,0,,,,,,,,,,,,,,,,,2022
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,629.8,0,0,1.01,0,0,0,,,,,,,,,2023
