Kecamatan,Kelapa Sawit,Kelapa Dalam,Karet,Kopi Robusta,Kakao,Tebu,Teh,Tembakau,Tahun 
Susukan, - , - , - , - , - , 300 , - , - ,2017
Purwareja Klampok, - , - , - , - , - , - , - , - ,2017
Mandiraja, - , - , 2 , - , - , - , - , - ,2017
Purwanegara, - , - , 1 , - , - , 200 , - , - ,2017
Bawang, - , - , 1 , - , - , 470 , - , - ,2017
Banjarnegara, - , - , - , - , - , - , - , - ,2017
Pagedongan, - , - , 4 , - , - , 16 , - , - ,2017
Sigaluh, - , - , - , - , - , - , - , - ,2017
Madukara, - , - , - , - , - , 68 , - , - ,2017
Banjarmangu, - , - , - , - , - , - , - , - ,2017
Wanadadi, - , - , - , - , - , - , - , - ,2017
Rakit, - , - , - , - , - , 682 , - , - ,2017
Punggelan, - , - , - , - , - ," 1,356 ", - , - ,2017
Karangkobar, - , - , - , - , - , - , 124 , - ,2017
Pagentan, - , - , - , - , - , - , 19 , 48 ,2017
Pejawaran, - , - , - , - , - , - , 17 , 109 ,2017
Batur, - , - , - , - , - , - , 17 , 3 ,2017
Wanayasa, - , - , - , - , - , - , 816 , 6 ,2017
Kalibening, - , - , - , - , - , - , 824 , 11 ,2017
Pandanarum, - , - , - , - , - , - , 259 , - ,2017
Susukan, - ," 2,403 ", - , 9 , - , 348 , - , - ,2018
Purwareja Klampok, - , 148 , - , 2 , - , - , - , - ,2018
Mandiraja, - , 459 , 0 , 6 , - , - , - , - ,2018
Purwanegara, - ," 1,164 ", 0 , 20 , - , - , - , - ,2018
Bawang, - , 514 , 0 , 14 , 24 , 0 , - , - ,2018
Banjarnegara, - , 389 , - , 63 , 2 , - , - , - ,2018
Pagedongan, - , 493 , 0 , 13 , 0 , 16 , - , - ,2018
Sigaluh, - , 209 , - , 12 , 0 , - , - , - ,2018
Madukara, - ," 1,144 ", - , 13 , - , 72 , - , - ,2018
Banjarmangu, - ," 1,345 ", - , 24 , 1 , - , - , - ,2018
Wanadadi, - , 414 , - , 22 , 3 , - , - , - ,2018
Rakit, - , 842 , - , 5 , 1 , 410 , - , - ,2018
Punggelan, - , 874 , - , 126 , 1 ," 1,286 ", - , - ,2018
Karangkobar, - , 17 , - , 205 , - , - , 124 , - ,2018
