Jenis Tanaman,Luas,Tahun 
Dringo/Sweet Root/Calamus, - ,2016
Jahe/Ginger, - ,2016
Kapulaga/Java Cardamon,462,2016
Kencur/East Indian Galangal, - ,2016
Kunyit/Turmeric, - ,2016
Laos/Lengkuas/Galanga, - ,2016
Lempuyang/Zingiber Aromaticum, - ,2016
Lidah Buaya/Oliviera, - ,2016
Mengkudu/Indian Mulberry, - ,2016
Temuireng/Black Turmeric, - ,2016
Temukunci/Chinese Keys, - ,2016
Temulawak/Java Turmeric, - ,2016
Sambiloto/King of Bitter, - ,2016
Dringo/Sweet Root/Calamus, - ,2017
Jahe/Ginger, - ,2017
Kapulaga/Java Cardamon, - ,2017
Kencur/East Indian Galangal, - ,2017
Kunyit/Turmeric, - ,2017
Laos/Lengkuas/Galanga, - ,2017
Lempuyang/Zingiber Aromaticum, - ,2017
Lidah Buaya/Oliviera, - ,2017
Mengkudu/Indian Mulberry, - ,2017
Temuireng/Black Turmeric, - ,2017
Temukunci/Chinese Keys, - ,2017
Temulawak/Java Turmeric, - ,2017
Sambiloto/King of Bitter, - ,2017
Dringo/Sweet Root/Calamus, - ,2018
Jahe/Ginger,"257,078",2018
Kapulaga/Java Cardamon,"5,720",2018
Kencur/East Indian Galangal,"40,847",2018
Kunyit/Turmeric,"63,212",2018
Laos/Lengkuas/Galanga,"18,571",2018
Lempuyang/Zingiber Aromaticum,"8,021",2018
Lidah Buaya/Oliviera, - ,2018
Mengkudu/Indian Mulberry, - ,2018
Temuireng/Black Turmeric, - ,2018
Temukunci/Chinese Keys,90,2018
Temulawak/Java Turmeric,"2,720",2018
Sambiloto/King of Bitter,555,2018
Dringo/Sweet Root/Calamus, - ,2019
Jahe/Ginger,"310,937",2019
Kapulaga/Java Cardamon,"9,102",2019
Kencur/East Indian Galangal,"90,633",2019
Kunyit/Turmeric,"116,091",2019
Laos/Lengkuas/Galanga,"107,114",2019
Lempuyang/Zingiber Aromaticum,"3,933",2019
Lidah Buaya/Oliviera, - ,2019
Mengkudu/Indian Mulberry, - ,2019
Temuireng/Black Turmeric,"4,899",2019
Temukunci/Chinese Keys, - ,2019
Temulawak/Java Turmeric,"5,406",2019
Sambiloto/King of Bitter,"1,678",2019
Dringo/Sweet Root/Calamus,42,2020
Jahe/Ginger,"16,750",2020
Kapulaga/Java Cardamon,"8,450",2020
Kencur/East Indian Galangal,"95,410",2020
Kunyit/Turmeric,"105,392",2020
Laos/Lengkuas/Galanga,"33,580",2020
Lempuyang/Zingiber Aromaticum,"19,431",2020
Lidah Buaya/Oliviera,"1,500",2020
Mengkudu/Indian Mulberry, - ,2020
Temuireng/Black Turmeric,"19,800",2020
Temukunci/Chinese Keys,"25,448",2020
Temulawak/Java Turmeric,"21,894",2020
Sambiloto/King of Bitter,"1,935",2020
Dringo/Sweet Root/Calamus, - ,2021
Jahe/Ginger,"505,470",2021
Kapulaga/Java Cardamon,"20,558",2021
Kencur/East Indian Galangal,"115,540",2021
Kunyit/Turmeric,"132,536",2021
Laos/Lengkuas/Galanga,"101,105",2021
Lempuyang/Zingiber Aromaticum,"4,940",2021
Lidah Buaya/Oliviera, - ,2021
Mengkudu/Indian Mulberry,"73,080",2021
Temuireng/Black Turmeric, - ,2021
Temukunci/Chinese Keys, - ,2021
Temulawak/Java Turmeric, - ,2021
Sambiloto/King of Bitter, - ,2021
Dringo/Sweet Root/Calamus,71,2022
Jahe/Ginger,"703,639",2022
Kapulaga/Java Cardamon,"1,583,829",2022
Kencur/East Indian Galangal,"46,128",2022
Kunyit/Turmeric,"74,848",2022
Laos/Lengkuas/Galanga,"180,078",2022
Lempuyang/Zingiber Aromaticum,"4,150",2022
Lidah Buaya/Oliviera, - ,2022
Mengkudu/Indian Mulberry, - ,2022
Temuireng/Black Turmeric, - ,2022
Temukunci/Chinese Keys, - ,2022
Temulawak/Java Turmeric, - ,2022
Sambiloto/King of Bitter,"8,090",2022
Dringo/Sweet Root/Calamus, - ,2023
Jahe/Ginger,"79,495",2023
Kapulaga/Java Cardamon,"510,119",2023
Kencur/East Indian Galangal,"86,707",2023
Kunyit/Turmeric,"21,967",2023
Laos/Lengkuas/Galanga,"10,556",2023
Lempuyang/Zingiber Aromaticum,"9,821",2023
Lidah Buaya/Oliviera, - ,2023
Mengkudu/Indian Mulberry, - ,2023
Temuireng/Black Turmeric, - ,2023
Temukunci/Chinese Keys, - ,2023
Temulawak/Java Turmeric,"209,236",2023
Sambiloto/King of Bitter,640,2023
Dringo/Sweet Root/Calamus, - ,2024
Jahe/Ginger,"144,296",2024
Kapulaga/Java Cardamon,"930,421",2024
Kencur/East Indian Galangal,"40,558",2024
Kunyit/Turmeric,"56,560",2024
Laos/Lengkuas/Galanga,"13,525",2024
Lempuyang/Zingiber Aromaticum,"25,070",2024
Lidah Buaya/Oliviera, - ,2024
Mengkudu/Indian Mulberry, - ,2024
Temuireng/Black Turmeric, - ,2024
Temukunci/Chinese Keys, - ,2024
Temulawak/Java Turmeric,"1,380",2024
Sambiloto/King of Bitter, - ,2024
