Jenis Tanaman,Produksi (Tangkai),Tahun
Dringo,0,2016
Jahe,0,2016
Kapulaga,461.8,2016
Kencur,0,2016
Kunyit,0,2016
Laos,0,2016
Lempuyang,0,2016
Lidah Buaya,0,2016
Mengkudu,0,2016
Temuireng,0,2016
Temukunci,0,2016
Temulawak,0,2016
Sambiloto,0,2016
Dringo,0,2018
Jahe,257078,2018
Kapulaga,5720,2018
Kencur,40847,2018
Kunyit,63212,2018
Laos,18571,2018
Lempuyang,8021,2018
Lidah Buaya,0,2018
Mengkudu,0,2018
Temuireng,0,2018
Temukunci,90,2018
Temulawak,2720,2018
Sambiloto,555,2018
Dringo,0,2019
Jahe,310937,2019
Kapulaga,9102,2019
Kencur,90633,2019
Kunyit,116091,2019
Laos,107114,2019
Lempuyang,3933,2019
Lidah Buaya,0,2019
Mengkudu,0,2019
Temuireng,4899,2019
Temukunci,0,2019
Temulawak,5406,2019
Sambiloto,1678,2019
Dringo,42,2020
Jahe,16750,2020
Kapulaga,8450,2020
Kencur,95410,2020
Kunyit,105392,2020
Laos,33580,2020
Lempuyang,19431,2020
Lidah Buaya,1500,2020
Mengkudu,0,2020
Temuireng,19800,2020
Temukunci,25448,2020
Temulawak,21894,2020
Sambiloto,1935,2020
Dringo,0,2021
Jahe,505470,2021
Kapulaga,20558,2021
Kencur,115540,2021
Kunyit,132536,2021
Laos,101105,2021
Lempuyang,4940,2021
Lidah Buaya,0,2021
Mengkudu,73080,2021
Temuireng,0,2021
Temukunci,0,2021
Temulawak,0,2021
Sambiloto,0,2021
Dringo,71,2022
Jahe,703639,2022
Kapulaga,1583829,2022
Kencur,46128,2022
Kunyit,74848,2022
Laos,180078,2022
Lempuyang,4150,2022
Lidah Buaya,0,2022
Mengkudu,0,2022
Temuireng,0,2022
Temukunci,0,2022
Temulawak,0,2022
Sambiloto,8090,2022
Dringo,0,2023
Jahe,79495,2023
Kapulaga,510119,2023
Kencur,86707,2023
Kunyit,21967,2023
Laos,10556,2023
Lempuyang,9821,2023
Lidah Buaya,0,2023
Mengkudu,0,2023
Temuireng,0,2023
Temukunci,0,2023
Temulawak,209236,2023
Sambiloto,640,2023
Dringo,0,2024
Jahe,144296,2024
Kapulaga,930421,2024
Kencur,40558,2024
Kunyit,56560,2024
Laos,13525,2024
Lempuyang,25070,2024
Lidah Buaya,0,2024
Mengkudu,0,2024
Temuireng,0,2024
Temukunci,0,2024
Temulawak,1380,2024
Sambiloto,0,2024
