Kecamatan,Jahe (Tangkai) 2019,Laos (Tangkai) 2019,Kencur (Tangkai) 2019,Kunyit (Tangkai) 2019,Jahe (Tangkai) 2020,Laos (Tangkai) 2020,Kencur (Tangkai) 2020,Kunyit (Tangkai) 2020,Jahe (Tangkai) 2021,Laos (Tangkai) 2021,Kencur (Tangkai) 2021,Kunyit (Tangkai) 2021,Jahe (Tangkai) 2022,Laos (Tangkai) 2022,Kencur (Tangkai) 2022,Kunyit (Tangkai) 2022,Jahe (Tangkai) 2023,Laos (Tangkai) 2023,Kencur (Tangkai) 2023,Kunyit (Tangkai) 2023,Jahe (Tangkai) 2024,Laos (Tangkai) 2024,Kencur (Tangkai) 2024,Kunyit (Tangkai) 2024,Tahun
Banjarmangu,15133,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Banjarmangu,,,,,0,2250,0,0,,,,,,,,,,,,,,,,,2020
Banjarmangu,,,,,,,,,3000,4620,0,0,,,,,,,,,,,,,2021
Banjarmangu,,,,,,,,,,,,,0,0,0,450,,,,,,,,,2022
Banjarmangu,,,,,,,,,,,,,,,,,0,0,64000,0,,,,,2023
Banjarmangu,,,,,,,,,,,,,,,,,,,,,90,8450,0,4115,2024
Banjarnegara,500,8000,0,8000,,,,,,,,,,,,,,,,,,,,,2019
Banjarnegara,,,,,0,17500,0,10000,,,,,,,,,,,,,,,,,2020
Banjarnegara,,,,,,,,,0,4000,0,4000,,,,,,,,,,,,,2021
Banjarnegara,,,,,,,,,,,,,1050,1600,0,2150,,,,,,,,,2022
Banjarnegara,,,,,,,,,,,,,,,,,9700,2690,0,5200,,,,,2023
Banjarnegara,,,,,,,,,,,,,,,,,,,,,4700,600,0,500,2024
Bawang,187500,82000,80000,66000,,,,,,,,,,,,,,,,,,,,,2019
Bawang,,,,,0,0,78000,36000,,,,,,,,,,,,,,,,,2020
Bawang,,,,,,,,,169000,47125,90000,60000,,,,,,,,,,,,,2021
Bawang,,,,,,,,,,,,,190800,169960,23500,36958,,,,,,,,,2022
Bawang,,,,,,,,,,,,,,,,,0,0,15750,0,,,,,2023
Bawang,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2024
Kalibening,1400,900,1200,3200,,,,,,,,,,,,,,,,,,,,,2019
Kalibening,,,,,0,1200,450,3600,,,,,,,,,,,,,,,,,2020
Kalibening,,,,,,,,,2600,2400,2700,3200,,,,,,,,,,,,,2021
Kalibening,,,,,,,,,,,,,2400,2200,3600,3852,,,,,,,,,2022
Kalibening,,,,,,,,,,,,,,,,,350,1200,600,1200,,,,,2023
Kalibening,,,,,,,,,,,,,,,,,,,,,680,1100,300,1200,2024
Karangkobar,1860,0,0,3390,,,,,,,,,,,,,,,,,,,,,2019
Karangkobar,,,,,,0,0,330,,,,,,,,,,,,,,,,,2020
Karangkobar,,,,,,,,,1425,0,0,435,,,,,,,,,,,,,2021
Karangkobar,,,,,,,,,,,,,500,100,0,208,,,,,,,,,2022
Karangkobar,,,,,,,,,,,,,,,,,2200,0,0,2804,,,,,2023
Karangkobar,,,,,,,,,,,,,,,,,,,,,2450,0,0,2010,2024
Madukara,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Madukara,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Madukara,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Madukara,,,,,,,,,,,,,7500,0,0,0,,,,,,,,,2022
