Jenis Tanaman,Produksi (tangkai),Tahun
Agloenema,0,2018
Anthurium Daun,37,2018
Caladium,0,2018
Pakis,0,2018
Sansievera Pedang-Pedangan,0,2018
Soka,0,2018
Krisan,0,2018
Mawar,0,2018
Melati,115,2018
Palem,28,2018
Pisang-pisangan,0,2018
Sedap Malam,0,2018
Agloenema,0,2019
Anthurium Daun,0,2019
Caladium,0,2019
Pakis,0,2019
Sansievera Pedang-Pedangan,0,2019
Soka,0,2019
Krisan,0,2019
Mawar,0,2019
Melati,0,2019
Palem,0,2019
Pisang-pisangan,0,2019
Sedap Malam,0,2019
Agloenema,0,2020
Anthurium Daun,0,2020
Caladium,0,2020
Pakis,0,2020
Sansievera Pedang-Pedangan,0,2020
Soka,0,2020
Krisan,0,2020
Mawar,0,2020
Melati,0,2020
Palem,0,2020
Pisang-pisangan,0,2020
Sedap Malam,0,2020
Agloenema,180,2021
Anthurium Daun,21,2021
Caladium,0,2021
Pakis,1,2021
Sansievera Pedang-Pedangan,47,2021
Soka,80,2021
Krisan,0,2021
Mawar,0,2021
Melati,88,2021
Palem,84,2021
Pisang-pisangan,0,2021
Sedap Malam,0,2021
Agloenema,98,2022
Anthurium Daun,84,2022
Caladium,10000,2022
Pakis,2,2022
Sansievera Pedang-Pedangan,30,2022
Soka,0,2022
Krisan,0,2022
Mawar,0,2022
Melati,140,2022
Palem,61,2022
Pisang-pisangan,0,2022
Sedap Malam,0,2022
Agloenema,69,2023
Anthurium Daun,0,2023
Caladium,0,2023
Pakis,0,2023
Sansievera Pedang-Pedangan,13,2023
Soka,0,2023
Krisan,0,2023
Mawar,0,2023
Melati,0,2023
Palem,44,2023
Pisang-pisangan,0,2023
Sedap Malam,0,2023
Agloenema,47,2024
Anthurium Daun,0,2024
Caladium,0,2024
Pakis,18,2024
Sansievera Pedang-Pedangan,5,2024
Soka,0,2024
Krisan,0,2024
Mawar,0,2024
Melati,0,2024
Palem,20,2024
Pisang-pisangan,0,2024
Sedap Malam,0,2024
