Kecamatan,Agloenema,Krisan,Mawar,Soka,Tahun 
1. Susukan, - , - , - , - ,2019
2. Purwareja Klampok, - , - , - , - ,2019
3. Mandiraja, - , - , - , - ,2019
4. Purwanegara, - , - , - , - ,2019
5. Bawang, - , - , - , - ,2019
6. Banjarnegara, - , - , - , - ,2019
7. Pagedongan, - , - , - , - ,2019
8. Sigaluh, - , - , - , - ,2019
9. Madukara, - , - , - , - ,2019
10. Banjarmangu, - , - , - , - ,2019
11. Wanadadi, - , - , - , - ,2019
12. Rakit, - , - , - , - ,2019
13. Punggelan, - , - , - , - ,2019
14. Karangkobar, - , - , - , - ,2019
15. Pagentan, - , - , - , - ,2019
16. Pejawaran, - , - , - , - ,2019
17. Batur, - , - , - , - ,2019
18. Wanayasa, - , - , - , - ,2019
19. Kalibening, - , - , - , - ,2019
20. Pandanarum, - , - , - , - ,2019
1. Susukan, - , - , - , - ,2020
2. Purwareja Klampok, - , - , - , - ,2020
3. Mandiraja, - , - , - , - ,2020
4. Purwanegara, - , - , - , - ,2020
5. Bawang, - , - , - , - ,2020
6. Banjarnegara, - , - , - , - ,2020
7. Pagedongan, - , - , - , - ,2020
8. Sigaluh, - , - , - , - ,2020
9. Madukara, - , - , - , - ,2020
10. Banjarmangu, - , - , - , - ,2020
11. Wanadadi, - , - , - , - ,2020
12. Rakit, - , - , - , - ,2020
13. Punggelan, - , - , - , - ,2020
14. Karangkobar, - , - , - , - ,2020
15. Pagentan, - , - , - , - ,2020
16. Pejawaran, - , - , - , - ,2020
17. Batur, - , - , - , - ,2020
18. Wanayasa, - , - , - , - ,2020
19. Kalibening, - , - , - , - ,2020
20. Pandanarum, - , - , - , - ,2020
1. Susukan, - , - , - , - ,2021
2. Purwareja Klampok, - , - , - , - ,2021
3. Mandiraja, - , - , - , - ,2021
4. Purwanegara, - , - , - , - ,2021
5. Bawang, - , - , - , - ,2021
6. Banjarnegara, - , - , - , - ,2021
7. Pagedongan, - , - , - , - ,2021
8. Sigaluh, - , - , - , - ,2021
9. Madukara, - , - , - , - ,2021
10. Banjarmangu, - , - , - , - ,2021
11. Wanadadi, 180 , - , - , - ,2021
12. Rakit, - , - , - , - ,2021
13. Punggelan, - , - , - , - ,2021
14. Karangkobar, - , - , - , - ,2021
15. Pagentan, - , - , - , - ,2021
16. Pejawaran, - , - , - , - ,2021
17. Batur, - , - , - , - ,2021
18. Wanayasa, - , - , - , - ,2021
19. Kalibening, - , - , - , - ,2021
20. Pandanarum, - , - , - , - ,2021
1. Susukan, - , - , - , - ,2022
2. Purwareja Klampok, - , - , - , - ,2022
3. Mandiraja, - , - , - , - ,2022
4. Purwanegara, - , - , - , - ,2022
5. Bawang, - , - , - , - ,2022
6. Banjarnegara, - , - , - , - ,2022
7. Pagedongan, - , - , - , - ,2022
8. Sigaluh, - , - , - , - ,2022
9. Madukara, - , - , - , - ,2022
10. Banjarmangu, - , - , - , - ,2022
11. Wanadadi, 98 , - , - , - ,2022
12. Rakit, - , - , - , - ,2022
13. Punggelan, - , - , - , - ,2022
14. Karangkobar, - , - , - , - ,2022
15. Pagentan, - , - , - , - ,2022
16. Pejawaran, - , - , - , - ,2022
17. Batur, - , - , - , - ,2022
18. Wanayasa, - , - , - , - ,2022
19. Kalibening, - , - , - , - ,2022
20. Pandanarum, - , - , - , - ,2022
1. Susukan, - , - , - , - ,2023
2. Purwareja Klampok, - , - , - , - ,2023
3. Mandiraja, - , - , - , - ,2023
4. Purwanegara, - , - , - , - ,2023
5. Bawang, - , - , - , - ,2023
6. Banjarnegara, - , - , - , - ,2023
7. Pagedongan, - , - , - , - ,2023
8. Sigaluh, - , - , - , - ,2023
9. Madukara, - , - , - , - ,2023
10. Banjarmangu, - , - , - , - ,2023
11. Wanadadi, 69 , - , - , - ,2023
12. Rakit, - , - , - , - ,2023
13. Punggelan, - , - , - , - ,2023
14. Karangkobar, - , - , - , - ,2023
15. Pagentan, - , - , - , - ,2023
16. Pejawaran, - , - , - , - ,2023
17. Batur, - , - , - , - ,2023
18. Wanayasa, - , - , - , - ,2023
19. Kalibening, - , - , - , - ,2023
20. Pandanarum, - , - , - , - ,2023
1. Susukan, - , - , - , - ,2024
2. Purwareja Klampok, - , - , - , - ,2024
3. Mandiraja, - , - , - , - ,2024
4. Purwanegara, - , - , - , - ,2024
5. Bawang, - , - , - , - ,2024
6. Banjarnegara, - , - , - , - ,2024
7. Pagedongan, - , - , - , - ,2024
8. Sigaluh, - , - , - , - ,2024
9. Madukara, - , - , - , - ,2024
10. Banjarmangu, - , - , - , - ,2024
11. Wanadadi, 47 , - , - , - ,2024
12. Rakit, - , - , - , - ,2024
13. Punggelan, - , - , - , - ,2024
14. Karangkobar, - , - , - , - ,2024
15. Pagentan, - , - , - , - ,2024
16. Pejawaran, - , - , - , - ,2024
17. Batur, - , - , - , - ,2024
18. Wanayasa, - , - , - , - ,2024
19. Kalibening, - , - , - , - ,2024
20. Pandanarum, - , - , - , - ,
