Kecamatan,Bawang Merah (ton) 2018,Cabai Besar (ton) 2018,Kentang (ton) 2018,Kubis (ton) 2018,Petsai (ton) 2018,Tomat (ton) 2018,Bawang Putih (ton) 2018,Cabai Rawit (ton) 2018,Bawang Merah (ton) 2019,Cabai Besar (ton) 2019,Kentang (ton) 2019,Kubis (ton) 2019,Petsai (ton) 2019,Tomat (ton) 2019,Bawang Putih (ton) 2019,Cabai Rawit (ton) 2019,Bawang Merah (ton) 2023,Cabai Besar (ton) 2023,Kentang (ton) 2023,Kubis (ton) 2023,Petsai (ton) 2023,Tomat (ton) 2023,Bawang Putih (ton) 2023,Cabai Rawit (ton) 2023,Bawang Merah (ton) 2017,Cabai Besar (ton) 2017,Kentang (ton) 2017,Kubis (ton) 2017,Petsai (ton) 2017,Tomat (ton) 2017,Bawang Putih (ton) 2017,Cabai Rawit (ton) 2017,Bawang Merah (ton) 2020,Cabai Besar (ton) 2020,Kentang (ton) 2020,Kubis (ton) 2020,Petsai (ton) 2020,Tomat (ton) 2020,Bawang Putih (ton) 2020,Cabai Rawit (ton) 2020,Bawang Merah (ton) 2021,Cabai Besar (ton) 2021,Kentang (ton) 2021,Kubis (ton) 2021,Petsai (ton) 2021,Tomat (ton) 2021,Bawang Putih (ton) 2021,Cabai Rawit (ton) 2021,Bawang Merah (ton) 2022,Cabai Besar (ton) 2022,Kentang (ton) 2022,Kubis (ton) 2022,Petsai (ton) 2022,Tomat (ton) 2022,Bawang Putih (ton) 2022,Cabai Rawit (ton) 2022,Bawang Merah (ton) 2024,Cabai Besar (ton) 2024,Kentang (ton) 2024,Kubis (ton) 2024,Petsai (ton) 2024,Tomat (ton) 2024,Bawang Putih (ton) 2024,Cabai Rawit (ton) 2024,Tahun
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,39.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Banjarmangu,0,26.9,0,0,0,2.4,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Banjarmangu,,,,,,,,,0,14.3,0,0,0,13.7,0,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,0,0,0,5.3,0,11.2,,,,,,,,,,,,,,,,,,,,,,,,,2020
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,19.1,,,,,,,,,,,,,,,,,2021
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.6,0,0,0,15.1,0,0.9,,,,,,,,,2022
Banjarmangu,,,,,,,,,,,,,,,,,0,0,0,0,0,8.65,0,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2.16,2024
Banjarnegara,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Banjarnegara,20,0.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Banjarnegara,,,,,,,,,0,15.5,0,0,0,35.3,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Banjarnegara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2020
Banjarnegara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2021
Banjarnegara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,2022
Banjarnegara,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Banjarnegara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3.7,2024
Bawang,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,256.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Bawang,0,222.7,0,0,0,269.8,0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Bawang,,,,,,,,,2.9,455.3,0,0,0,161.5,0,279.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Bawang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,169.5,0,0,0,464.1,0,151.8,,,,,,,,,,,,,,,,,,,,,,,,,2020
Bawang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,160,0,0,0,389.8,0,49.6,,,,,,,,,,,,,,,,,2021
Bawang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,208.2,0,0,0,143.5,0,67.6,,,,,,,,,2022
Bawang,,,,,,,,,,,,,,,,,0,691.1,0,0,0,87.4,0,679.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Bawang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1755.9,0,0,0,270.4,0,2809.5,2024
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,0,0,231.8,1183.5,0,212.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Kalibening,0,250,221.2,972,0,83.3,0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Kalibening,,,,,,,,,0,308,624,900,135,156.8,0,112.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,644,364,2975,400,227.9,14,241.2,,,,,,,,,,,,,,,,,,,,,,,,,2020
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,560,481,1421,175,349.8,0,156,,,,,,,,,,,,,,,,,2021
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,893,267,941,220,266.4,0,385,,,,,,,,,2022
Kalibening,,,,,,,,,,,,,,,,,0,1326.2,237.4,1135.8,130.3,198.2,0,597.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1660.6,197,1495,137,226.45,0,681,2024
