Kecamatan,Bawang Merah,Cabai Besar,Kentang,Kubis,Petsai,Tomat,Bawang Putih,Cabai Rawit,Tahun 
1. Susukan, - , 39 , - , - , - , - , - , - ,2017
2. Purwareja Klampok, - , - , - , - , - , - , - , - ,2017
3. Mandiraja, - , 20 , - , - , - , - , - , - ,2017
4. Purwanegara, - ," 6,596 ", - , - , - , 121 , - , - ,2017
5. Bawang, - , 223 , - , - , - , 257 , - , - ,2017
6. Banjarnegara, - , 0 , - , - , - , - , - , - ,2017
7. Pagedongan, - , 1 , - , - , - , - , - , - ,2017
8. Sigaluh, - , - , - , - , - , - , - , - ,2017
9. Madukara, - , 27 , - , - , - , - , - , - ,2017
10. Banjarmangu, - , 27 , - , - , - , 40 , - , - ,2017
11. Wanadadi, - , 4 , - , - , - , - , - , - ,2017
12. Rakit, - , 62 , - , - , - , - , - , - ,2017
13. Punggelan, - , - , - , - , - , - , - , - ,2017
14. Karangkobar, - ," 1,018 ", - ," 5,998 ", - ," 2,160 ", - , - ,2017
15. Pagentan, - , 582 , - ," 1,688 ", - , 142 , - , - ,2017
16. Pejawaran, - ," 6,174 "," 36,543 "," 10,148 ", - ," 3,773 ", - , - ,2017
17. Batur, - , - ," 79,393 "," 36,048 ", - , - , - , - ,2017
18. Wanayasa, - , 58 ," 2,412 "," 3,238 ", - , 40 , - , - ,2017
19. Kalibening, - , 250 , 232 ," 1,184 ", - , 213 , - , - ,2017
20. Pandanarum, - , 12 , - , - , - , - , - , - ,2017
1. Susukan, - , 39 , - , - , - , - , - , - ,2018
2. Purwareja Klampok, - , - , - , - , - , - , - , - ,2018
3. Mandiraja, - , 20 , - , - , - , - , - , 10 ,2018
4. Purwanegara, - ," 6,596 ", - , - , - , 34 , - , 22 ,2018
5. Bawang, - , 223 , - , - , - , 270 , - , 59 ,2018
6. Banjarnegara, 20 , 0 , - , - , - , - , - , - ,2018
7. Pagedongan, - , 1 , - , - , - , - , - , 70 ,2018
8. Sigaluh, - , - , - , - , - , - , - , - ,2018
9. Madukara, - , 27 , - , - , - , - , - , 2 ,2018
10. Banjarmangu, - , 27 , - , - , - , 2 , - , 6 ,2018
11. Wanadadi, - , 4 , - , - , - , - , - , 2 ,2018
12. Rakit, - , 62 , - , - , - , - , - , 3 ,2018
13. Punggelan, - , - , - , - , - , - , - , - ,2018
14. Karangkobar, - ," 1,018 ", - ," 5,100 ", - ," 1,270 ", - , 160 ,2018
15. Pagentan, - , 582 , - ," 2,340 ", - , 53 , - , 582 ,2018
16. Pejawaran, - ," 6,174 "," 44,165 "," 11,612 ", - ," 2,107 ", - ," 1,113 ",2018
17. Batur, 44 , - ," 72,575 "," 47,245 ", - , - , - , - ,2018
18. Wanayasa, - , 58 ," 3,136 "," 5,494 ", - , 21 , - , 64 ,2018
19. Kalibening, - , 250 , 221 , 972 , - , 83 , - , 67 ,2018
20. Pandanarum, - , 12 , - , - , - , - , - , 8 ,2018
1. Susukan, - , 30 , - , - , - , - , - , 79 ,2019
2. Purwareja Klampok, - , - , - , - , - , - , - , - ,2019
3. Mandiraja, - , 163 , - , - , - , - , - , 35 ,2019
4. Purwanegara, 31 ," 10,295 ", - , - , - , 804 , - , 680 ,2019
5. Bawang, 3 , 455 , - , - , - , 162 , - , 280 ,2019
6. Banjarnegara, - , 16 , - , - , - , 35 , - , 1 ,2019
7. Pagedongan, - , 1 , - , - , - , - , - , 22 ,2019
8. Sigaluh, - , - , - , - , - , - , - , - ,2019
9. Madukara, - , 18 , - , - , - , - , - , 14 ,2019
10. Banjarmangu, - , 14 , - , - , - , 14 , - , 9 ,2019
11. Wanadadi, - , 5 , - , - , - , - , - , 4 ,2019
12. Rakit, - , 48 , - , - , - , - , - , 19 ,2019
13. Punggelan, - , - , - , - , - , - , - , - ,2019
14. Karangkobar, - , 335 , - ," 2,270 ", 351 ," 1,191 ", 115 ," 1,166 ",2019
15. Pagentan, - , 274 , - ," 2,190 ", 287 , 46 , 88 ," 1,476 ",2019
16. Pejawaran, - ," 4,927 "," 43,407 "," 10,909 "," 4,475 "," 7,029 ", 322 ," 6,547 ",2019
17. Batur, 4 , - ," 65,216 "," 60,135 ", - , - , - , - ,2019
18. Wanayasa, - , 76 ," 4,252 "," 5,535 ", - , 23 , 70 , 64 ,2019
19. Kalibening, - , 308 , 624 , 900 , 135 , 157 , - , 112 ,2019
20. Pandanarum, - , 15 , - , 7 , - , - , - , 64 ,2019
1. Susukan, - , - , - , - , - , - , - , - ,2020
2. Purwareja Klampok, - , - , - , - , - , - , - , - ,2020
3. Mandiraja, - , 45 , - , - , - , - , - , 20 ,2020
4. Purwanegara, 8 ," 9,153 ", - , - , - ," 1,111 ", - , 355 ,2020
5. Bawang, 8 , 170 , - , - , - , 464 , - , 152 ,2020
