Jenis Tanaman,Produksi (Ton),Tahun
Bawang Daun,9340.1,2016
Bawang Merah,0,2016
Bawang Putih,0,2016
Bayam,38.5,2016
Buncis,3288.5,2016
Cabai Besar,12424.8,2016
Cabai Rawit,9019,2016
Cabai,0,2016
Jamur,0,2016
Kacang Merah,0,2016
Kacang Panjang,740.5,2016
Kangkung,433.3,2016
Kembang Kol,0,2016
Kentang,97466.7,2016
Ketimun,146.4,2016
Kubis,79454.5,2016
Labu Siam,0,2016
Lobak,0,2016
Petsai,0,2016
Terung,0,2016
Tomat,3303.2,2016
Wortel,48897.9,2016
Sawi,2746.6,2016
Blewah,0,2016
Melon,0,2016
Semangka,0,2016
Bawang Daun,0,2018
Bawang Merah,64.4,2018
Bawang Putih,0,2018
Bayam,94.8,2018
Buncis,6973.9,2018
Cabai Besar,15092.4,2018
Cabai Rawit,9770.9,2018
Cabai,0,2018
Jamur,10395.9,2018
Kacang Merah,308,2018
Kacang Panjang,11964.5,2018
Kangkung,667.1,2018
Kembang Kol,0,2018
Kentang,120096.8,2018
Ketimun,352,2018
Kubis,72762.9,2018
Labu Siam,2523.7,2018
Lobak,0,2018
Petsai,0,2018
Terung,3804.2,2018
Tomat,9593.6,2018
Wortel,78203.2,2018
Sawi,3752.5,2018
Blewah,0,2018
Melon,0,2018
Semangka,0,2018
Bawang Daun,14056.7,2019
Bawang Merah,37.3,2019
Bawang Putih,595.4,2019
Bayam,114.2,2019
Buncis,5223.5,2019
Cabai Besar,16978.2,2019
Cabai Rawit,10573.6,2019
Cabai,0,2019
Jamur,0,2019
Kacang Merah,259.5,2019
Kacang Panjang,5615.4,2019
Kangkung,735.1,2019
Kembang Kol,0,2019
Kentang,113498.2,2019
Ketimun,498.4,2019
Kubis,81945.3,2019
Labu Siam,3981,2019
Lobak,0,2019
Petsai,0,2019
Terung,2307.8,2019
Tomat,9460.5,2019
Wortel,92354.1,2019
Sawi,5247.7,2019
Blewah,0,2019
Melon,0,2019
Semangka,0,2019
Bawang Daun,15807.4,2020
Bawang Merah,85.8,2020
Bawang Putih,854.5,2020
Bayam,126.2,2020
Buncis,5366.4,2020
Cabai Besar,17068.4,2020
Cabai Rawit,13199.8,2020
Cabai,0,2020
Jamur,0,2020
Kacang Merah,306,2020
Kacang Panjang,5949.1,2020
Kangkung,738.3,2020
Kembang Kol,0,2020
Kentang,126092.5,2020
Ketimun,505.2,2020
Kubis,83155,2020
Labu Siam,4593.3,2020
Lobak,0,2020
Petsai,5436.8,2020
Terung,2791,2020
Tomat,11496.9,2020
Wortel,72265,2020
Sawi,0,2020
Blewah,0,2020
Melon,0,2020
Semangka,0,2020
Bawang Daun,18085.6,2021
Bawang Merah,87.3,2021
Bawang Putih,567,2021
Bayam,60,2021
Buncis,3774.3,2021
Cabai Besar,16579.7,2021
Cabai Rawit,7393.7,2021
Cabai,0,2021
Jamur,0,2021
Kacang Merah,310.5,2021
Kacang Panjang,3150.9,2021
Kangkung,535.2,2021
Kembang Kol,0,2021
Kentang,116392.9,2021
Ketimun,429.1,2021
Kubis,50523,2021
Labu Siam,3834.6,2021
Lobak,0,2021
Petsai,4512.6,2021
Terung,3444.9,2021
Tomat,9565.7,2021
Wortel,64769.5,2021
Blewah,0,2021
Melon,0,2021
Semangka,0,2021
Bawang Daun,18196.3,2022
Bawang Merah,45,2022
Bawang Putih,0,2022
Bayam,0,2022
Buncis,4981.2,2022
Cabai Besar,25444.1,2022
Cabai Rawit,10346.9,2022
Cabai,0,2022
Jamur,5306.3,2022
Kacang Merah,345,2022
Kacang Panjang,2307.2,2022
Kangkung,778.8,2022
Kembang Kol,0,2022
Kentang,131087,2022
Ketimun,510.6,2022
Kubis,48510.5,2022
Labu Siam,3433.2,2022
Lobak,0,2022
Petsai,6357.3,2022
Terung,4072.8,2022
Tomat,12064.9,2022
Wortel,63146.5,2022
Blewah,0,2022
Melon,0,2022
Semangka,0,2022
Bawang Daun,16151.2,2023
Bawang Merah,52.31,2023
Bawang Putih,3,2023
Bayam,0,2023
Buncis,3794.8,2023
Cabai Besar,29276.81,2023
Cabai Rawit,15495.32,2023
Cabai,0,2023
Jamur,265.28,2023
Kacang Merah,0,2023
Kacang Panjang,590.85,2023
Kangkung,358.89,2023
Kembang Kol,0,2023
Kentang,84059.4,2023
Ketimun,269,2023
Kubis,46110.8,2023
Labu Siam,3305.6,2023
Lobak,0,2023
Petsai,4394.6,2023
Terung,2589.9,2023
Tomat,15721.11,2023
Wortel,51743.3,2023
Blewah,0,2023
Melon,0,2023
Semangka,0,2023
Bawang Daun,10175.5,2024
Bawang Merah,0.33,2024
Bawang Putih,0,2024
Bayam,0,2024
Buncis,2938.4,2024
Cabai Besar,14117.82,2024
Cabai Rawit,13717.37,2024
Cabai,0,2024
Jamur,149.34,2024
Kacang Merah,0,2024
Kacang Panjang,434.96,2024
Kangkung,284.95,2024
Kembang Kol,0,2024
Kentang,139726,2024
Ketimun,275.39,2024
Kubis,31549,2024
Labu Siam,2200.2,2024
Lobak,0,2024
Petsai,2916.2,2024
Terung,2836.3,2024
Tomat,19083.61,2024
Wortel,48031,2024
Blewah,30,2024
Melon,288468.62,2024
Buah-buahan,0,2024
