Jenis Tanaman, Jumlah (ton) ,Tahun
1. Bawang Daun/Wlech Onion," 9,340 ",2016
2. Bawang Merah/Shallot, - ,2016
3. Bawang Putih/Garlic , - ,2016
4. Bayam/Spinach, 39 ,2016
5. Buncis/Green Bean," 3,289 ",2016
6. Cabai Besar/Chili Annum," 12,425 ",2016
7. Cabai Rawit/Chili (Capsicum Frustescens)," 9,019 ",2016
8. Cabai/Chili, - ,2016
9. Jamur/Mushroom, - ,2016
10. Kacang Merah/Red Bean, - ,2016
11. Kacang Panjang/Yarldlong Bean, 741 ,2016
12. Kangkung/Kangkong, 433 ,2016
13. Kembang Kol/Cauliflower, - ,2016
14. Kentang/Potato," 97,467 ",2016
15. Ketimun/Cucumber, 146 ,2016
16. Kubis/Cabbage," 79,455 ",2016
17. Labu Siam/Chayote, - ,2016
18. Lobak/Radish, - ,2016
19. Petsai/Chinese Cabbage, - ,2016
20. Terung/Eggplant, - ,2016
21. Tomat/Tomato," 3,303 ",2016
22. Wortel/Carrot," 48,898 ",2016
23. Sawi/Mustard," 2,747 ",2016
24. Buah Blewah/Cantaloupe, - ,2016
25. Buah Melon/Melon, - ,2016
26. Bua Semangka/Watermelon, - ,2016
1. Bawang Daun/Wlech Onion, - ,2017
2. Bawang Merah/Shallot, - ,2017
3. Bawang Putih/Garlic , - ,2017
4. Bayam/Spinach, - ,2017
5. Buncis/Green Bean, - ,2017
6. Cabai Besar/Chili Annum, - ,2017
7. Cabai Rawit/Chili (Capsicum Frustescens), - ,2017
8. Cabai/Chili, - ,2017
9. Jamur/Mushroom, - ,2017
10. Kacang Merah/Red Bean, - ,2017
11. Kacang Panjang/Yarldlong Bean, - ,2017
12. Kangkung/Kangkong, - ,2017
13. Kembang Kol/Cauliflower, - ,2017
14. Kentang/Potato, - ,2017
15. Ketimun/Cucumber, - ,2017
16. Kubis/Cabbage, - ,2017
17. Labu Siam/Chayote, - ,2017
18. Lobak/Radish, - ,2017
19. Petsai/Chinese Cabbage, - ,2017
20. Terung/Eggplant, - ,2017
21. Tomat/Tomato, - ,2017
22. Wortel/Carrot, - ,2017
23. Sawi/Mustard, - ,2017
24. Buah Blewah/Cantaloupe, - ,2017
25. Buah Melon/Melon, - ,2017
26. Bua Semangka/Watermelon, - ,2017
1. Bawang Daun/Wlech Onion, - ,2018
2. Bawang Merah/Shallot, 64 ,2018
3. Bawang Putih/Garlic , - ,2018
4. Bayam/Spinach, 95 ,2018
5. Buncis/Green Bean," 6,974 ",2018
6. Cabai Besar/Chili Annum," 15,092 ",2018
7. Cabai Rawit/Chili (Capsicum Frustescens)," 9,771 ",2018
8. Cabai/Chili, - ,2018
9. Jamur/Mushroom," 10,396 ",2018
10. Kacang Merah/Red Bean, 308 ,2018
11. Kacang Panjang/Yarldlong Bean," 11,965 ",2018
12. Kangkung/Kangkong, 667 ,2018
13. Kembang Kol/Cauliflower, - ,2018
14. Kentang/Potato," 120,097 ",2018
15. Ketimun/Cucumber, 352 ,2018
16. Kubis/Cabbage," 72,763 ",2018
17. Labu Siam/Chayote," 2,524 ",2018
18. Lobak/Radish, - ,2018
19. Petsai/Chinese Cabbage, - ,2018
20. Terung/Eggplant," 3,804 ",2018
21. Tomat/Tomato," 9,594 ",2018
22. Wortel/Carrot," 78,203 ",2018
23. Sawi/Mustard," 3,753 ",2018
24. Buah Blewah/Cantaloupe, - ,2018
25. Buah Melon/Melon, - ,2018
26. Bua Semangka/Watermelon, - ,2018
1. Bawang Daun/Wlech Onion," 14,057 ",2019
2. Bawang Merah/Shallot, 37 ,2019
3. Bawang Putih/Garlic , 595 ,2019
4. Bayam/Spinach, 114 ,2019
5. Buncis/Green Bean," 5,224 ",2019
6. Cabai Besar/Chili Annum," 16,978 ",2019
7. Cabai Rawit/Chili (Capsicum Frustescens)," 10,574 ",2019
8. Cabai/Chili, - ,2019
9. Jamur/Mushroom, - ,2019
10. Kacang Merah/Red Bean, 260 ,2019
11. Kacang Panjang/Yarldlong Bean," 5,615 ",2019
12. Kangkung/Kangkong, 735 ,2019
13. Kembang Kol/Cauliflower, - ,2019
14. Kentang/Potato," 113,498 ",2019
15. Ketimun/Cucumber, 498 ,2019
16. Kubis/Cabbage," 81,945 ",2019
17. Labu Siam/Chayote," 3,981 ",2019
18. Lobak/Radish, - ,2019
19. Petsai/Chinese Cabbage, - ,2019
20. Terung/Eggplant," 2,308 ",2019
21. Tomat/Tomato," 9,461 ",2019
22. Wortel/Carrot," 92,354 ",2019
23. Sawi/Mustard," 5,248 ",2019
24. Buah Blewah/Cantaloupe, - ,2019
25. Buah Melon/Melon, - ,2019
26. Bua Semangka/Watermelon, - ,2019
1. Bawang Daun/Wlech Onion," 15,807 ",2020
2. Bawang Merah/Shallot, 86 ,2020
3. Bawang Putih/Garlic , 855 ,2020
4. Bayam/Spinach, 126 ,2020
5. Buncis/Green Bean," 5,366 ",2020
6. Cabai Besar/Chili Annum," 17,068 ",2020
7. Cabai Rawit/Chili (Capsicum Frustescens)," 13,200 ",2020
8. Cabai/Chili, - ,2020
9. Jamur/Mushroom, - ,2020
10. Kacang Merah/Red Bean, 306 ,2020
11. Kacang Panjang/Yarldlong Bean," 5,949 ",2020
12. Kangkung/Kangkong, 738 ,2020
13. Kembang Kol/Cauliflower, - ,2020
14. Kentang/Potato," 126,093 ",2020
15. Ketimun/Cucumber, 505 ,2020
16. Kubis/Cabbage," 83,155 ",2020
17. Labu Siam/Chayote," 4,593 ",2020
18. Lobak/Radish, - ,2020
19. Petsai/Chinese Cabbage," 5,437 ",2020
20. Terung/Eggplant," 2,791 ",2020
21. Tomat/Tomato," 11,497 ",2020
22. Wortel/Carrot," 72,265 ",2020
23. Sawi/Mustard, - ,2020
24. Buah Blewah/Cantaloupe, - ,2020
25. Buah Melon/Melon, - ,2020
26. Bua Semangka/Watermelon, - ,2020
1. Bawang Daun/Wlech Onion," 18,086 ",2021
2. Bawang Merah/Shallot, 87 ,2021
3. Bawang Putih/Garlic , 567 ,2021
4. Bayam/Spinach, 60 ,2021
5. Buncis/Green Bean," 3,774 ",2021
6. Cabai Besar/Chili Annum," 16,580 ",2021
7. Cabai Rawit/Chili (Capsicum Frustescens)," 7,394 ",2021
8. Cabai/Chili, - ,2021
9. Jamur/Mushroom, - ,2021
10. Kacang Merah/Red Bean, 311 ,2021
11. Kacang Panjang/Yarldlong Bean," 3,151 ",2021
12. Kangkung/Kangkong, 535 ,2021
13. Kembang Kol/Cauliflower, - ,2021
14. Kentang/Potato," 116,393 ",2021
15. Ketimun/Cucumber, 429 ,2021
16. Kubis/Cabbage," 50,523 ",2021
17. Labu Siam/Chayote," 3,835 ",2021
18. Lobak/Radish, - ,2021
19. Petsai/Chinese Cabbage," 4,513 ",2021
20. Terung/Eggplant," 3,445 ",2021
21. Tomat/Tomato," 9,566 ",2021
22. Wortel/Carrot," 64,770 ",2021
23. Sawi/Mustard, - ,2021
24. Buah Blewah/Cantaloupe, - ,2021
25. Buah Melon/Melon, - ,2021
26. Bua Semangka/Watermelon, - ,2021
1. Bawang Daun/Wlech Onion," 18,196 ",2022
2. Bawang Merah/Shallot, 45 ,2022
3. Bawang Putih/Garlic , - ,2022
4. Bayam/Spinach, - ,2022
5. Buncis/Green Bean," 4,981 ",2022
6. Cabai Besar/Chili Annum," 25,444 ",2022
7. Cabai Rawit/Chili (Capsicum Frustescens)," 10,347 ",2022
8. Cabai/Chili, - ,2022
9. Jamur/Mushroom," 5,306 ",2022
10. Kacang Merah/Red Bean, 345 ,2022
11. Kacang Panjang/Yarldlong Bean," 2,307 ",2022
12. Kangkung/Kangkong, 779 ,2022
13. Kembang Kol/Cauliflower, - ,2022
14. Kentang/Potato," 131,087 ",2022
15. Ketimun/Cucumber, 511 ,2022
16. Kubis/Cabbage," 48,511 ",2022
17. Labu Siam/Chayote," 3,433 ",2022
18. Lobak/Radish, - ,2022
19. Petsai/Chinese Cabbage," 6,357 ",2022
20. Terung/Eggplant," 4,073 ",2022
21. Tomat/Tomato," 12,065 ",2022
22. Wortel/Carrot," 63,147 ",2022
23. Sawi/Mustard, - ,2022
24. Buah Blewah/Cantaloupe, - ,2022
25. Buah Melon/Melon, - ,2022
26. Bua Semangka/Watermelon, - ,2022
1. Bawang Daun/Wlech Onion," 16,151 ",2023
2. Bawang Merah/Shallot, 52 ,2023
3. Bawang Putih/Garlic , 3 ,2023
4. Bayam/Spinach, - ,2023
5. Buncis/Green Bean," 3,795 ",2023
6. Cabai Besar/Chili Annum," 29,277 ",2023
7. Cabai Rawit/Chili (Capsicum Frustescens)," 15,495 ",2023
8. Cabai/Chili, - ,2023
9. Jamur/Mushroom, 265 ,2023
10. Kacang Merah/Red Bean, - ,2023
11. Kacang Panjang/Yarldlong Bean, 591 ,2023
12. Kangkung/Kangkong, 359 ,2023
13. Kembang Kol/Cauliflower, - ,2023
14. Kentang/Potato," 84,059 ",2023
15. Ketimun/Cucumber, 269 ,2023
16. Kubis/Cabbage," 46,111 ",2023
17. Labu Siam/Chayote," 3,306 ",2023
18. Lobak/Radish, - ,2023
19. Petsai/Chinese Cabbage," 4,395 ",2023
