Kecamatan,Ras Layer,Kampung,Tahun
Banjarmangu,1177600,1318876,2018
Banjarmangu,916359,0,2020
Banjarmangu,927813,321330,2021
Banjarmangu,1016843,319886,2022
Banjarmangu,959612,300621,2023
Banjarmangu,77813,491473,2024
Banjarnegara,2099000,866435,2018
Banjarnegara,1249581,0,2020
Banjarnegara,1265201,1192020,2021
Banjarnegara,1366950,1189133,2022
Banjarnegara,1290014,1117519,2023
Banjarnegara,2749274,2262864,2024
Bawang,1372600,984739,2018
Bawang,1091301,0,2020
Bawang,1104942,1958454,2021
Bawang,1168535,1956650,2022
Bawang,1102766,1838814,2023
Bawang,4430023,1333514,2024
Kalibening,0,458488,2018
Kalibening,333222,0,2020
Kalibening,337387,533646,2021
Kalibening,400980,531842,2022
Kalibening,378412,499813,2023
Kalibening,238658,393722,2024
Karangkobar,1069550,1474500,2018
Karangkobar,840551,0,2020
Karangkobar,851058,0,2021
Karangkobar,952807,1444,2022
Karangkobar,899180,1357,2023
Karangkobar,1072996,574346,2024
Madukara,12718000,453471,2018
Madukara,10746397,0,2020
Madukara,10880727,178041,2021
Madukara,10982476,175154,2022
Madukara,10364351,164606,2023
Madukara,4232060,936740,2024
Mandiraja,3199000,1853850,2018
Mandiraja,11262890,0,2020
Mandiraja,11403676,9187689,2021
Mandiraja,11492706,9185163,2022
Mandiraja,10845865,8632001,2023
Mandiraja,11051804,2168737,2024
Pagedongan,848000,483908,2018
Pagedongan,1357878,0,2020
Pagedongan,1374851,126630,2021
Pagedongan,1451163,124465,2022
Pagedongan,1369487,116969,2023
Pagedongan,3677823,620075,2024
Pagentan,1071200,1058192,2018
Pagentan,0,0,2020
Pagentan,0,367032,2021
Pagentan,0,365228,2022
Pagentan,0,343233,2023
Pagentan,787389,76055,2024
Pandanarum,0,464881,2018
Pandanarum,0,0,2020
Pandanarum,0,0,2021
Pandanarum,0,1082,2022
Pandanarum,0,1016,2023
Pandanarum,487901,235036,2024
Pejawaran,0,186169,2018
Pejawaran,0,0,2020
Pejawaran,0,625998,2021
Pejawaran,0,624554,2022
Pejawaran,0,586941,2023
Pejawaran,149515,97703,2024
Punggelan,2014000,1281879,2018
Punggelan,4415186,0,2020
Punggelan,4470376,1600941,2021
Punggelan,4546688,1599497,2022
Punggelan,4290787,1503170,2023
Punggelan,6178599,2143560,2024
Purwonegoro,5787600,5162454,2018
Purwonegoro,4548475,0,2020
Purwonegoro,4605331,5279349,2021
Purwonegoro,4694361,5276823,2022
Purwonegoro,4430149,4959034,2023
Purwonegoro,6274003,3358868,2024
Purworejo Klampok,10400,1474613,2018
Purworejo Klampok,9496816,0,2020
Purworejo Klampok,9615526,467952,2021
Purworejo Klampok,9691838,465787,2022
Purworejo Klampok,9146354,437736,2023
Purworejo Klampok,2188179,2122341,2024
Rakit,7104400,1564576,2018
Rakit,9463493,0,2020
Rakit,9581787,1153935,2021
Rakit,9683536,1152130,2022
Rakit,9138519,1082745,2023
Rakit,21343806,2390322,2024
Sigaluh,954000,1003330,2018
Sigaluh,749749,0,2020
Sigaluh,759121,202320,2021
Sigaluh,809996,200876,2022
Sigaluh,764407,188778,2023
Sigaluh,1154984,303743,2024
Susukan,126192,3342401,2018
Susukan,149950,0,2020
Susukan,151824,2343576,2021
Susukan,202699,2342132,2022
Susukan,191290,2201081,2023
Susukan,576299,2226720,2024
Wanadadi,156000,363943,2018
Wanadadi,549816,0,2020
Wanadadi,556689,40941,2021
Wanadadi,620282,39136,2022
Wanadadi,585371,36779,2023
Wanadadi,2961995,441643,2024
Wanayasa,10863400,5132342,2018
Wanayasa,34105231,0,2020
Wanayasa,34531546,98064,2021
Wanayasa,34607858,95899,2022
Wanayasa,32660032,90124,2023
Wanayasa,1068376,103139,2024
Batur,0,192471,2018
Batur,0,0,2020
Batur,0,0,2021
Batur,0,0,2022
Batur,0,0,2023
Batur,0,7489,2024
Jumlah,50570942,29121518,2018
Jumlah,91276895,0,2020
Jumlah,92417855,25677918,2021
Jumlah,93689718,25646881,2022
Jumlah,88416596,24102337,2023
Jumlah,70701497,22288090,2024
