Kecamatan,Pembesaran Produksi (Kg),Pembesaran Nilai (Ribu Rupiah),Karamba Jaring Apung Produksi (Kg),Karamba Jaring Apung Nilai (Ribu Rupiah),Minapadi Tumpang Sari Produksi (Kg),Minapadi Tumpang Sari Nilai (Ribu Rupiah),Tahun
Susukan,515603.43,11491354.91,0,0,7000,163145,2019
Purwareja Klampok,1374641.74,30636910.51,0,0,0,0,2019
Mandiraja,3678905.33,81992485.79,0,0,17500,407862.5,2019
Purwanegara,6101348.84,135981960.05,0,0,61180,1425887.3,2019
Bawang,5609250.86,125014475.73,79382.43,1669679.47,19600,456806,2019
Banjarnegara,1900783.75,42363140.85,0,0,0,0,2019
Pagedongan,1767563.8,39394041.7,0,0,0,0,2019
Sigaluh,392557.34,8749002.53,0,0,0,0,2019
Madukara,1511297.77,33682590.17,0,0,0,0,2019
Banjarmangu,956880.11,21326174.96,0,0,0,0,2019
Wanadadi,2226174.43,49615186.9,153788.57,3234691.08,0,0,2019
Rakit,2157644.86,48087854.92,0,0,28000,652580,2019
Punggelan,1391207.85,31006122.7,0,0,0,0,2019
Karangkobar,518098.9,11546972.04,0,0,0,0,2019
Pagentan,188696.27,4205510.75,0,0,0,0,2019
Pejawaran,281796.66,6280457.56,0,0,0,0,2019
Batur,28410.02,633179.65,0,0,0,0,2019
Wanayasa,378544.29,8436690.95,0,0,0,0,2019
Kalibening,141858.13,3161619.98,0,0,0,0,2019
Pandanarum,82542.62,1839643.56,0,0,0,0,2019
Susukan,140508.74,3140404.64,0,0,0,0,2020
Purwareja Klampok,1038542.84,23211686.49,0,0,0,0,2020
Mandiraja,2053085.75,45886968.46,0,0,16299,358578,2020
Purwanegara,12421932.42,277633226.58,0,0,55795,1227490,2020
Bawang,3186319.26,71215014.59,45793.68,403958.74,14030,308660,2020
Banjarnegara,1278105.88,28565978.88,0,0,0,0,2020
Pagedongan,832579.73,18608360.43,0,0,0,0,2020
Sigaluh,489598.77,10942652.2,0,0,0,0,2020
Madukara,1579196.03,35295417.39,0,0,0,0,2020
Banjarmangu,862252.38,19271551.47,0,0,0,0,2020
Wanadadi,2026904,45301799.89,283157.57,4622253,0,0,2020
Rakit,3510972.99,78471104.82,0,0,1000,22000,2020
Punggelan,2129449.19,47593710.11,0,0,0,0,2020
Karangkobar,471271.54,10533034.2,0,0,0,0,2020
Pagentan,514035.07,11488809.53,0,0,0,0,2020
Pejawaran,466907.92,10435506.11,0,0,0,0,2020
Batur,10036.34,224314.62,0,0,0,0,2020
Wanayasa,1053815.53,23553034.84,0,0,0,0,2020
Kalibening,483926.06,10815865.68,0,0,0,0,2020
Pandanarum,97308.85,2174876.51,0,0,0,0,2020
Susukan,153251.41,3266835.77,0,0,0,0,2021
Purwareja Klampok,1132727.84,24146177.42,0,0,0,0,2021
Mandiraja,2239279.2,47734354.95,0,0,0,0,2021
Purwanegara,13548472.06,288810601.99,0,0,0,0,2021
Bawang,3475285.17,74082095.61,25382.54,558415.92,0,0,2021
Banjarnegara,1394016.74,29716030.96,0,0,0,0,2021
Pagedongan,908086.02,19357523.75,0,0,0,0,2021
Sigaluh,534000.27,11383197.93,0,0,0,0,2021
Madukara,1722412.63,36716393.32,0,0,0,0,2021
Banjarmangu,940449.67,20047414.53,0,0,0,0,2021
Wanadadi,2210723.04,47125627.79,378024.48,8316538.51,0,0,2021
Rakit,3829381.61,81630312.42,0,0,0,0,2021
Punggelan,2322568.01,49509809.17,0,0,0,0,2021
Karangkobar,514010.95,10957088.92,0,0,0,0,2021
Pagentan,560652.69,11951343.28,0,0,0,0,2021
Pejawaran,509251.59,10855634.39,0,0,0,0,2021
Batur,10946.53,233345.41,0,0,0,0,2021
Wanayasa,1149385.61,24501268.27,0,0,0,0,2021
Kalibening,527813.1,11251307.04,0,0,0,0,2021
Pandanarum,106133.74,2262435.95,0,0,0,0,2021
Susukan,164330.15,3717255.17,,,,,2022
Purwareja Klampok,1214614.19,27475364.27,,,,,2022
Mandiraja,2401159.55,54315793.66,,,27390.26,547805.21,2022
Purwanegara,14527908.41,328630754.11,,,17909.02,358180.33,2022
Bawang,3726517.97,84296264.68,8345.25,200285.88,,,2022
Banjarnegara,1494791.99,33813168.89,,,,,2022
Pagedongan,973732.72,22026468.5,,,,,2022
Sigaluh,572603.83,12952671.73,,,,,2022
Madukara,1846928.04,41778715.68,,,,,2022
Banjarmangu,1008435.98,22811478.91,,,,,2022
