Kecamatan,Jala Tebar Produksi (Kg),Jala Tebar Nilai (Ribu Rupiah),Pancing Produksi (Kg),Pancing Nilai (Ribu Rupiah),Jaring Ingsang Produksi (Kg),Jaring Ingsang Nilai (Ribu Rupiah),Lainnya Produksi (Kg),Lainnya Nilai (Ribu Rupiah),Tahun
Susukan,8774.25,165469.35,16897.32,308728.1,2150.71,38183.39,7155.51,106864.82,2019
Purwareja Klampok,6652.57,125457.49,12811.41,234075.08,1630.65,28950.33,5425.25,81024.02,2019
Mandiraja,24266.4,457628.18,46731.85,853829.87,5948.08,105601.41,19789.53,295549.31,2019
Purwanegara,16119.51,303989.99,31042.7,567176.04,3951.15,70148.15,13145.65,196325.4,2019
Bawang,4413.15,83225.42,8498.77,155279.67,155986.61,2769367.1,79066.16,1180823.76,2019
Banjarnegara,8343.11,157338.57,16067.02,293557.91,2045.03,36307.15,6803.9,101613.73,2019
Pagedongan,2609.62,49213.51,6040.99,110373.89,639.66,11356.42,2128.17,31783.49,2019
Sigaluh,3720.57,70164.5,7165.02,130910.96,911.97,16191.03,3034.17,45314.23,2019
Madukara,3942.75,74354.31,7592.88,138728.19,966.43,17157.86,3215.35,48020.13,2019
Banjarmangu,7053.38,133016.16,13583.28,248177.84,1728.89,30694.56,5752.11,85905.63,2019
Wanadadi,19735.51,372182.34,38006.34,694407.42,305535.18,5424434.16,162589.66,2428216.28,2019
Rakit,13366.12,252065.21,25740.27,470296.24,3276.25,58166.09,10900.23,162790.9,2019
Punggelan,5241.02,98837.83,10093.07,184408.86,1284.66,22807.63,4274.11,63832.28,2019
Karangkobar,2444.07,46091.46,4706.75,85996.15,599.08,10635.98,1993.16,29767.18,2019
Pagentan,2836.16,53485.81,5461.84,99792.32,695.19,12342.28,2312.92,34542.66,2019
Pejawaran,1302.63,24565.68,2508.59,45833.96,319.3,5668.73,1062.31,15865.21,2019
Batur,623,11748.8,3317,60604.29,152.71,2711.13,508.06,7587.71,2019
Wanayasa,4199.79,79201.72,8087.88,147772.35,1029.43,18276.44,3424.97,51150.73,2019
Kalibening,4753.08,89635.97,9153.4,167240.29,1165.05,20684.23,3876.19,57889.46,2019
Pandanarum,2718.53,51267.5,5235.31,95653.47,666.36,11830.39,2217,33110.01,2019
Susukan,10430,212543.4,19141,381216.2,2347,49583.5,6977,146129.7,2020
Purwareja Klampok,7908,161148.7,14513,289035,1779,37593.8,5290,110794.3,2020
Mandiraja,28846,587817.9,52937,1054305.7,6491,137130,19297,404141.7,2020
Purwanegara,19162,390471.5,35165,700346.7,4312,91091.8,12818,268460.4,2020
Bawang,5246,106902,9627,191738.7,172757,3773969.4,85510,1057504.4,2020
Banjarnegara,9918,202099.5,18202,362484.1,2232,47147.1,6635,138949.2,2020
Pagedongan,3102,63214,6928,137999.4,698,14747,2075,43461.6,2020
Sigaluh,4423,90125.5,8116,161648.3,995,21025.1,2959,61963.8,2020
Madukara,4687,95507.2,8601,171301,1055,22280.6,3135,65664,2020
Banjarmangu,8385,170857.7,15387,306449,1887,39858.8,5609,117469.6,2020
Wanadadi,23460,478063.8,43053,857451.5,338339,7389055.8,174871,2238812.4,2020
Rakit,15889,323774.8,29158,580719.9,3575,75532.3,10629,222604.5,2020
Punggelan,6230,126956,11433,227707.3,1402,29617.1,4168,87285.9,2020
Karangkobar,2905,59203.9,5332,106187.7,654,13811.5,1944,40704.4,2020
Pagentan,3371,68701.9,6187,123223.2,759,16027.2,2255,47234.5,2020
Pejawaran,1548,31554.3,2842,56595.6,348,7361.2,1036,21694.5,2020
Batur,741,15091.2,3935,78399.8,167,3520.6,495,10375.6,2020
Wanayasa,4992,101733.7,9162,182468.7,1123,23733.1,3340,69944.8,2020
Kalibening,5650,115136.3,10369,206507.6,1271,26859.8,3780,79159.5,2020
Pandanarum,3232,65852.5,5930,118112.5,727,15362.5,2162,45275.5,2020
