Kecamatan,Produksi (Kg) Perairan umum waduk,Nilai Produksi (ribu rupiah) Perairan Umum Waduk,Produksi (Kg) Perairan Umum Sungai ,Nilai Produksi (ribu rupiah) Perairan Umum Sungai ,Produksi (Kg) Perairan Umum Telaga/Rawa,Nilai Produksi (ribu rupiah) Perairan Umum Telaga/Rawa ,Tahun 
Susukan, - , - ," 34,978 "," 661,758 ", - , - ,2019
Purwareja Klampok, - , - ," 26,520 "," 501,739 ", - , - ,2019
Mandiraja, - , - ," 96,736 "," 1,830,182 ", - , - ,2019
Purwanegara, - , - ," 64,259 "," 1,215,740 ", - , - ,2019
Bawang," 230,372 "," 3,639,514 "," 17,593 "," 332,841 ", - , - ,2019
Banjarnegara, - , - ," 33,259 "," 629,240 ", - , - ,2019
Pagedongan, - , - ," 10,403 "," 196,818 "," 1,015 "," 20,426 ",2019
Sigaluh, - , - ," 14,832 "," 280,607 ", - , - ,2019
Madukara, - , - ," 15,717 "," 297,363 ", - , - ,2019
Banjarmangu, - , - ," 28,118 "," 531,968 ", - , - ,2019
Wanadadi," 447,193 "," 7,064,939 "," 78,674 "," 1,488,460 ", - , - ,2019
Rakit, - , - ," 53,283 "," 1,008,078 ", - , - ,2019
Punggelan, - , - ," 20,893 "," 395,280 ", - , - ,2019
Karangkobar, - , - ," 9,743 "," 184,332 ", - , - ,2019
Pagentan, - , - ," 11,306 "," 213,905 ", - , - ,2019
Pejawaran, - , - ," 5,193 "," 98,245 ", - , - ,2019
Batur, - , - ," 2,484 "," 46,987 "," 2,117 "," 42,589 ",2019
Wanayasa, - , - ," 16,742 "," 316,750 ", - , - ,2019
Kalibening, - , - ," 18,948 "," 358,479 ", - , - ,2019
Pandanarum, - , - ," 10,837 "," 205,033 ", - , - ,2019
Susukan, - , - ," 38,896 "," 789,473 ", - , - ,2020
Purwareja Klampok, - , - ," 29,490 "," 598,572 ", - , - ,2020
Mandiraja, - , - ," 107,571 "," 2,183,396 ", - , - ,2020
Purwanegara, - , - ," 71,457 "," 1,450,370 ", - , - ,2020
Bawang," 253,577 "," 4,733,037 "," 19,563 "," 397,078 ", - , - ,2020
Banjarnegara, - , - ," 36,987 "," 750,680 ", - , - ,2020
Pagedongan, - , - ," 11,568 "," 234,803 "," 1,235 "," 24,619 ",2020
Sigaluh, - , - ," 16,493 "," 334,763 ", - , - ,2020
Madukara, - , - ," 17,478 "," 354,753 ", - , - ,2020
Banjarmangu, - , - ," 31,267 "," 634,635 ", - , - ,2020
Wanadadi," 492,237 "," 9,187,660 "," 87,486 "," 1,775,724 ", - , - ,2020
Rakit, - , - ," 59,251 "," 1,202,632 ", - , - ,2020
Punggelan, - , - ," 23,233 "," 471,566 ", - , - ,2020
Karangkobar, - , - ," 10,834 "," 219,908 ", - , - ,2020
Pagentan, - , - ," 12,573 "," 255,187 ", - , - ,2020
Pejawaran, - , - ," 5,774 "," 117,206 ", - , - ,2020
Batur, - , - ," 2,762 "," 56,055 "," 2,576 "," 51,332 ",2020
Wanayasa, - , - ," 18,617 "," 377,880 ", - , - ,2020
Kalibening, - , - ," 21,070 "," 427,663 ", - , - ,2020
Pandanarum, - , - ," 12,051 "," 244,603 ", - , - ,2020
Susukan, - , - ," 36,683 "," 716,822 ", - , - ,2021
Purwareja Klampok, - , - ," 27,813 "," 543,388 ", - , - ,2021
Mandiraja, - , - ," 101,452 "," 1,982,470 ", - , - ,2021
Purwanegara, - , - ," 67,392 "," 1,316,901 ", - , - ,2021
Bawang," 221,220 "," 2,942,290 "," 18,450 "," 360,537 ", - , - ,2021
Banjarnegara, - , - ," 34,881 "," 681,599 ", - , - ,2021
Pagedongan, - , - ," 10,910 "," 213,195 "," 1,381 "," 21,305 ",2021
Sigaluh, - , - ," 15,555 "," 303,956 ", - , - ,2021
Madukara, - , - ," 16,484 "," 322,107 ", - , - ,2021
Banjarmangu, - , - ," 29,488 "," 576,233 ", - , - ,2021
Wanadadi," 429,426 "," 5,711,503 "," 82,509 "," 1,612,314 ", - , - ,2021
Rakit, - , - ," 55,881 "," 1,091,960 ", - , - ,2021
Punggelan, - , - ," 21,911 "," 428,171 ", - , - ,2021
Karangkobar, - , - ," 10,218 "," 199,671 ", - , - ,2021
Pagentan, - , - ," 11,857 "," 231,703 ", - , - ,2021
Pejawaran, - , - ," 5,446 "," 106,420 ", - , - ,2021
Batur, - , - ," 2,605 "," 50,896 "," 2,881 "," 57,097 ",2021
Wanayasa, - , - ," 17,558 "," 343,106 ", - , - ,2021
Kalibening, - , - ," 19,871 "," 388,308 ", - , - ,2021
Pandanarum, - , - ," 11,366 "," 222,093 ", - , - ,2021
Susukan, - , - ," 22,074 "," 428,771 ", - , - ,2022
Purwareja Klampok, - , - ," 16,736 "," 325,091 ", - , - ,2022
Mandiraja, - , - ," 61,048 "," 1,185,825 ", - , - ,2022
Purwanegara, - , - ," 40,552 "," 787,711 ", - , - ,2022
Bawang," 156,673 "," 2,398,431 "," 11,103 "," 215,657 ", - , - ,2022
Banjarnegara, - , - ," 20,988 "," 407,702 ", - , - ,2022
Pagedongan, - , - ," 6,565 "," 127,524 "," 1,081 "," 21,664 ",2022
Sigaluh, - , - ," 9,359 "," 181,813 ", - , - ,2022
Madukara, - , - ," 9,918 "," 192,670 ", - , - ,2022
Banjarmangu, - , - ," 17,743 "," 344,677 ", - , - ,2022
Wanadadi," 304,129 "," 4,655,778 "," 49,649 "," 964,414 ", - , - ,2022
Rakit, - , - ," 33,625 "," 653,162 ", - , - ,2022
Punggelan, - , - ," 13,185 "," 256,113 ", - , - ,2022
Karangkobar, - , - ," 6,147 "," 119,434 ", - , - ,2022
Pagentan, - , - ," 7,135 "," 138,595 ", - , - ,2022
Pejawaran, - , - ," 3,278 "," 63,656 ", - , - ,2022
Batur, - , - ," 1,569 "," 30,444 "," 2,255 "," 45,171 ",2022
Wanayasa, - , - ," 10,565 "," 205,231 ", - , - ,2022
Kalibening, - , - ," 11,957 "," 232,268 ", - , - ,2022
Pandanarum, - , - ," 6,838 "," 132,847 ", - , - ,2022
Susukan, - , - ," 26,755 "," 523,491 ", - , - ,2023
Purwareja Klampok, - , - ," 20,286 "," 396,907 ", - , - ,2023
Mandiraja, - , - ," 73,995 "," 1,447,786 ", - , - ,2023
Purwanegara, - , - ," 49,153 "," 961,725 ", - , - ,2023
Bawang," 89,138 "," 2,045,843 "," 13,457 "," 263,298 ", - , - ,2023
Banjarnegara, - , - ," 25,441 "," 497,768 ", - , - ,2023
Pagedongan, - , - ," 7,957 "," 155,696 "," 1,381 "," 21,305 ",2023
Sigaluh, - , - ," 11,345 "," 221,978 ", - , - ,2023
Madukara, - , - ," 12,023 "," 235,233 ", - , - ,2023
Banjarmangu, - , - ," 21,508 "," 420,820 ", - , - ,2023
Wanadadi," 173,032 "," 3,971,341 "," 60,179 "," 1,177,464 ", - , - ,2023
Rakit, - , - ," 40,757 "," 797,452 ", - , - ,2023
Punggelan, - , - ," 15,981 "," 312,691 ", - , - ,2023
Karangkobar, - , - ," 7,453 "," 145,818 ", - , - ,2023
Pagentan, - , - ," 8,648 "," 169,212 ", - , - ,2023
Pejawaran, - , - ," 3,972 "," 77,718 ", - , - ,2023
Batur, - , - ," 1,900 "," 37,169 "," 2,881 "," 57,097 ",2023
Wanayasa, - , - ," 12,806 "," 250,568 ", - , - ,2023
Kalibening, - , - ," 14,494 "," 283,579 ", - , - ,2023
Pandanarum, - , - ," 8,290 "," 162,194 ", - , - ,2023
Susukan, - , - , - , - , - , - ,2024
Purwareja Klampok, - , - ," 34,109 "," 698,541 ", - , - ,2024
Mandiraja, - , - ," 32,465 "," 662,824 ", - , - ,2024
Purwanegara, - , - ," 45,329 "," 890,928 ", - , - ,2024
Bawang," 212,914 "," 5,073,737 ", - , - , - , - ,2024
Banjarnegara, - , - , - , - , - , - ,2024
Pagedongan, - , - , - , - , - , - ,2024
Sigaluh, - , - ," 43,309 "," 990,513 ", - , - ,2024
Madukara, - , - , - , - , - , - ,2024
Banjarmangu, - , - , - , - , - , - ,2024
Wanadadi," 179,270 "," 4,307,353 ", - , - , - , - ,2024
Rakit, - , - ," 33,606 "," 659,497 ", - , - ,2024
Punggelan, - , - , - , - , - , - ,2024
Karangkobar, - , - , - , - , - , - ,2024
Pagentan, - , - , - , - , - , - ,2024
Pejawaran, - , - ," 102,021 "," 2,357,078 ", - , - ,2024
Batur, - , - , - , - ," 3,955 "," 86,859 ",2024
Wanayasa, - , - , - , - , - , - ,2024
Kalibening, - , - ," 67,781 "," 1,358,238 ", - , - ,2024
Pandanarum, - , - , - , - , - , - ,2024
