Kecamatan,Produksi,Nilai,Tahun
Banjarmangu,0,0,2019
Banjarmangu,0,0,2020
Banjarmangu,0,0,2021
Banjarmangu,0,0,2022
Banjarmangu,0,0,2023
Banjarmangu,0,0,2024
Banjarnegara,0,0,2019
Banjarnegara,0,0,2020
Banjarnegara,0,0,2021
Banjarnegara,0,0,2022
Banjarnegara,0,0,2023
Banjarnegara,0,0,2024
Bawang,0,0,2019
Bawang,0,0,2020
Bawang,0,0,2021
Bawang,0,0,2022
Bawang,0,0,2023
Bawang,0,0,2024
Kalibening,0,0,2019
Kalibening,0,0,2020
Kalibening,0,0,2021
Kalibening,0,0,2022
Kalibening,0,0,2023
Kalibening,0,0,2024
Karangkobar,0,0,2019
Karangkobar,0,0,2020
Karangkobar,0,0,2021
Karangkobar,0,0,2022
Karangkobar,0,0,2023
Karangkobar,0,0,2024
Madukara,0,0,2019
Madukara,0,0,2020
Madukara,0,0,2021
Madukara,0,0,2022
Madukara,0,0,2023
Madukara,0,0,2024
Mandiraja,0,0,2019
Mandiraja,0,0,2020
Mandiraja,0,0,2021
Mandiraja,0,0,2022
Mandiraja,0,0,2023
Mandiraja,0,0,2024
Pagedongan,1015.43,20425.62,2019
Pagedongan,1235,24618.9,2020
Pagedongan,0,0,2021
Pagedongan,0,0,2022
Pagedongan,0,0,2023
Pagedongan,0,0,2024
Pagentan,0,0,2019
Pagentan,0,0,2020
Pagentan,0,0,2021
Pagentan,0,0,2022
Pagentan,0,0,2023
Pagentan,0,0,2024
Pandanarum,0,0,2019
Pandanarum,0,0,2020
Pandanarum,0,0,2021
Pandanarum,0,0,2022
Pandanarum,0,0,2023
Pandanarum,0,0,2024
Pejawaran,0,0,2019
Pejawaran,0,0,2020
Pejawaran,0,0,2021
Pejawaran,0,0,2022
Pejawaran,0,0,2023
Pejawaran,0,0,2024
Punggelan,0,0,2019
Punggelan,0,0,2020
Punggelan,0,0,2021
Punggelan,0,0,2022
Punggelan,0,0,2023
Punggelan,0,0,2024
Purwonegoro,0,0,2019
Purwonegoro,0,0,2020
Purwonegoro,0,0,2021
Purwonegoro,0,0,2022
Purwonegoro,0,0,2023
Purwonegoro,0,0,2024
Purworejo Klampok,0,0,2019
Purworejo Klampok,0,0,2020
Purworejo Klampok,0,0,2021
Purworejo Klampok,0,0,2022
Purworejo Klampok,0,0,2023
Purworejo Klampok,0,0,2024
Rakit,0,0,2019
Rakit,0,0,2020
Rakit,0,0,2021
Rakit,0,0,2022
Rakit,0,0,2023
Rakit,0,0,2024
Sigaluh,0,0,2019
Sigaluh,0,0,2020
Sigaluh,0,0,2021
Sigaluh,0,0,2022
Sigaluh,0,0,2023
Sigaluh,0,0,2024
Susukan,0,0,2019
Susukan,0,0,2020
Susukan,0,0,2021
Susukan,0,0,2022
Susukan,0,0,2023
Susukan,0,0,2024
Wanadadi,0,0,2019
Wanadadi,0,0,2020
Wanadadi,0,0,2021
Wanadadi,0,0,2022
Wanadadi,0,0,2023
Wanadadi,0,0,2024
Wanayasa,0,0,2019
Wanayasa,0,0,2020
Wanayasa,0,0,2021
Wanayasa,0,0,2022
Wanayasa,0,0,2023
Wanayasa,0,0,2024
Batur,2117.24,42588.89,2019
Batur,2576,51332.3,2020
Batur,0,0,2021
Batur,0,0,2022
Batur,0,0,2023
Batur,0,0,2024
Jumlah,3132.66,63014.5,2019
Jumlah,3811,75951.2,2020
Jumlah,0,0,2021
Jumlah,0,0,2022
Jumlah,0,0,2023
Jumlah,0,0,2024
