kecamatan,tahun,metric,value
Susukan,2018,Lumbung Jumlah,8
Susukan,2018,Lumbung Kapasitas,11.3
Susukan,2019,Lumbung Jumlah,8
Susukan,2019,Lumbung Kapasitas,11.3
Susukan,2020,Lumbung Jumlah,8
Susukan,2020,Lumbung Kapasitas,11
Susukan,2020,Luas (M2),0
Susukan,2020,Lumbung Kapasitas/Bulan,0
Susukan,2021,Lumbung Jumlah,8
Susukan,2021,Lumbung Kapasitas,11
Susukan,2021,Luas (M2),0
Susukan,2021,Lumbung Kapasitas/Bulan,0
Susukan,2022,Lumbung Jumlah,8
Susukan,2022,Lumbung Kapasitas,11.3
Susukan,2023,Lumbung Jumlah,8
Susukan,2023,Lumbung Kapasitas,11.3
Susukan,2024,Lumbung Jumlah,8
Susukan,2024,Lumbung Kapasitas,11.3
Purworejo Klampok,2018,Lumbung Jumlah,9
Purworejo Klampok,2018,Lumbung Kapasitas,37.7
Purworejo Klampok,2019,Lumbung Jumlah,9
Purworejo Klampok,2019,Lumbung Kapasitas,37.7
Purworejo Klampok,2020,Lumbung Jumlah,9
Purworejo Klampok,2020,Lumbung Kapasitas,38
Purworejo Klampok,2020,Luas (M2),0
Purworejo Klampok,2020,Lumbung Kapasitas/Bulan,0
Purworejo Klampok,2021,Lumbung Jumlah,9
Purworejo Klampok,2021,Lumbung Kapasitas,38
Purworejo Klampok,2021,Luas (M2),0
Purworejo Klampok,2021,Lumbung Kapasitas/Bulan,0
Purworejo Klampok,2022,Lumbung Jumlah,9
Purworejo Klampok,2022,Lumbung Kapasitas,37.7
Purworejo Klampok,2023,Lumbung Jumlah,9
Purworejo Klampok,2023,Lumbung Kapasitas,37.7
Purworejo Klampok,2024,Lumbung Jumlah,9
Purworejo Klampok,2024,Lumbung Kapasitas,37.7
Mandiraja,2018,Lumbung Jumlah,3
Mandiraja,2018,Lumbung Kapasitas,4.5
Mandiraja,2019,Lumbung Jumlah,3
Mandiraja,2019,Lumbung Kapasitas,4.5
Mandiraja,2020,Lumbung Jumlah,3
Mandiraja,2020,Lumbung Kapasitas,5
Mandiraja,2020,Luas (M2),0
Mandiraja,2020,Lumbung Kapasitas/Bulan,0
Mandiraja,2021,Lumbung Jumlah,3
Mandiraja,2021,Lumbung Kapasitas,5
Mandiraja,2021,Luas (M2),0
Mandiraja,2021,Lumbung Kapasitas/Bulan,0
Mandiraja,2022,Lumbung Jumlah,3
Mandiraja,2022,Lumbung Kapasitas,4.5
Mandiraja,2023,Lumbung Jumlah,3
Mandiraja,2023,Lumbung Kapasitas,4.5
Mandiraja,2024,Lumbung Jumlah,3
Mandiraja,2024,Lumbung Kapasitas,4.5
Purwonegoro,2018,Lumbung Jumlah,9
Purwonegoro,2018,Lumbung Kapasitas,7.75
Purwonegoro,2019,Lumbung Jumlah,9
Purwonegoro,2019,Lumbung Kapasitas,7.75
Purwonegoro,2020,Lumbung Jumlah,9
Purwonegoro,2020,Lumbung Kapasitas,8
Purwonegoro,2020,Luas (M2),0
Purwonegoro,2020,Lumbung Kapasitas/Bulan,0
Purwonegoro,2021,Lumbung Jumlah,9
Purwonegoro,2021,Lumbung Kapasitas,8
Purwonegoro,2021,Luas (M2),0
Purwonegoro,2021,Lumbung Kapasitas/Bulan,0
Purwonegoro,2022,Lumbung Jumlah,9
Purwonegoro,2022,Lumbung Kapasitas,7.75
Purwonegoro,2023,Lumbung Jumlah,9
Purwonegoro,2023,Lumbung Kapasitas,7.75
Purwonegoro,2024,Lumbung Jumlah,9
Purwonegoro,2024,Lumbung Kapasitas,7.75
Bawang,2018,Lumbung Jumlah,3
Bawang,2018,Lumbung Kapasitas,11.5
Bawang,2019,Lumbung Jumlah,3
Bawang,2019,Lumbung Kapasitas,11.5
Bawang,2020,Lumbung Jumlah,3
Bawang,2020,Lumbung Kapasitas,12
Bawang,2020,Luas (M2),0
Bawang,2020,Lumbung Kapasitas/Bulan,0
Bawang,2021,Lumbung Jumlah,3
Bawang,2021,Lumbung Kapasitas,12
Bawang,2021,Luas (M2),0
Bawang,2021,Lumbung Kapasitas/Bulan,0
Bawang,2022,Lumbung Jumlah,3
Bawang,2022,Lumbung Kapasitas,11.5
Bawang,2023,Lumbung Jumlah,3
Bawang,2023,Lumbung Kapasitas,11.5
Bawang,2024,Lumbung Jumlah,3
Bawang,2024,Lumbung Kapasitas,11.5
Banjarnegara,2018,Lumbung Jumlah,1
Banjarnegara,2018,Lumbung Kapasitas,3
Banjarnegara,2019,Lumbung Jumlah,1
Banjarnegara,2019,Lumbung Kapasitas,3
Banjarnegara,2020,Lumbung Jumlah,1
Banjarnegara,2020,Lumbung Kapasitas,3
Banjarnegara,2020,Luas (M2),0
Banjarnegara,2020,Lumbung Kapasitas/Bulan,0
Banjarnegara,2021,Lumbung Jumlah,1
Banjarnegara,2021,Lumbung Kapasitas,3
Banjarnegara,2021,Luas (M2),0
Banjarnegara,2021,Lumbung Kapasitas/Bulan,0
Banjarnegara,2022,Lumbung Jumlah,1
Banjarnegara,2022,Lumbung Kapasitas,3
Banjarnegara,2023,Lumbung Jumlah,1
Banjarnegara,2023,Lumbung Kapasitas,3
Banjarnegara,2024,Lumbung Jumlah,1
Banjarnegara,2024,Lumbung Kapasitas,3
Pagedongan,2018,Lumbung Jumlah,2
Pagedongan,2018,Lumbung Kapasitas,0
Pagedongan,2019,Lumbung Jumlah,2
Pagedongan,2019,Lumbung Kapasitas,0
Pagedongan,2020,Lumbung Jumlah,2
Pagedongan,2020,Lumbung Kapasitas,0
Pagedongan,2020,Luas (M2),0
Pagedongan,2020,Lumbung Kapasitas/Bulan,0
Pagedongan,2021,Lumbung Jumlah,2
Pagedongan,2021,Lumbung Kapasitas,0
Pagedongan,2021,Luas (M2),0
Pagedongan,2021,Lumbung Kapasitas/Bulan,0
Pagedongan,2022,Lumbung Jumlah,2
Pagedongan,2022,Lumbung Kapasitas,0
Pagedongan,2023,Lumbung Jumlah,2
Pagedongan,2023,Lumbung Kapasitas,0
Pagedongan,2024,Lumbung Jumlah,2
Pagedongan,2024,Lumbung Kapasitas,0
Sigaluh,2018,Lumbung Jumlah,0
Sigaluh,2018,Lumbung Kapasitas,0
Sigaluh,2019,Lumbung Jumlah,0
Sigaluh,2019,Lumbung Kapasitas,0
Sigaluh,2020,Lumbung Jumlah,0
Sigaluh,2020,Lumbung Kapasitas,0
Sigaluh,2020,Luas (M2),0
Sigaluh,2020,Lumbung Kapasitas/Bulan,0
Sigaluh,2021,Lumbung Jumlah,0
Sigaluh,2021,Lumbung Kapasitas,0
Sigaluh,2021,Luas (M2),0
Sigaluh,2021,Lumbung Kapasitas/Bulan,0
Sigaluh,2022,Lumbung Jumlah,0
Sigaluh,2022,Lumbung Kapasitas,0
Sigaluh,2023,Lumbung Jumlah,0
Sigaluh,2023,Lumbung Kapasitas,0
Sigaluh,2024,Lumbung Jumlah,0
Sigaluh,2024,Lumbung Kapasitas,0
Madukara,2018,Lumbung Jumlah,3
Madukara,2018,Lumbung Kapasitas,0
Madukara,2019,Lumbung Jumlah,3
Madukara,2019,Lumbung Kapasitas,0
Madukara,2020,Lumbung Jumlah,3
Madukara,2020,Lumbung Kapasitas,0
Madukara,2020,Luas (M2),0
Madukara,2020,Lumbung Kapasitas/Bulan,0
Madukara,2021,Lumbung Jumlah,3
Madukara,2021,Lumbung Kapasitas,0
Madukara,2021,Luas (M2),0
Madukara,2021,Lumbung Kapasitas/Bulan,0
Madukara,2022,Lumbung Jumlah,3
Madukara,2022,Lumbung Kapasitas,0
Madukara,2023,Lumbung Jumlah,3
Madukara,2023,Lumbung Kapasitas,0
Madukara,2024,Lumbung Jumlah,3
Madukara,2024,Lumbung Kapasitas,0
Banjarmangu,2018,Lumbung Jumlah,2
Banjarmangu,2018,Lumbung Kapasitas,4.7
Banjarmangu,2019,Lumbung Jumlah,2
Banjarmangu,2019,Lumbung Kapasitas,4.7
Banjarmangu,2020,Lumbung Jumlah,2
Banjarmangu,2020,Lumbung Kapasitas,5
Banjarmangu,2020,Luas (M2),0
Banjarmangu,2020,Lumbung Kapasitas/Bulan,0
Banjarmangu,2021,Lumbung Jumlah,2
Banjarmangu,2021,Lumbung Kapasitas,5
Banjarmangu,2021,Luas (M2),0
Banjarmangu,2021,Lumbung Kapasitas/Bulan,0
Banjarmangu,2022,Lumbung Jumlah,2
Banjarmangu,2022,Lumbung Kapasitas,4.7
Banjarmangu,2023,Lumbung Jumlah,2
Banjarmangu,2023,Lumbung Kapasitas,4.7
Banjarmangu,2024,Lumbung Jumlah,2
Banjarmangu,2024,Lumbung Kapasitas,4.7
Wanadadi,2018,Lumbung Jumlah,6
Wanadadi,2018,Lumbung Kapasitas,0
Wanadadi,2019,Lumbung Jumlah,6
Wanadadi,2019,Lumbung Kapasitas,0
Wanadadi,2020,Lumbung Jumlah,6
Wanadadi,2020,Lumbung Kapasitas,0
Wanadadi,2020,Luas (M2),0
Wanadadi,2020,Lumbung Kapasitas/Bulan,0
Wanadadi,2021,Lumbung Jumlah,6
Wanadadi,2021,Lumbung Kapasitas,0
Wanadadi,2021,Luas (M2),0
Wanadadi,2021,Lumbung Kapasitas/Bulan,0
Wanadadi,2022,Lumbung Jumlah,6
Wanadadi,2022,Lumbung Kapasitas,0
Wanadadi,2023,Lumbung Jumlah,6
Wanadadi,2023,Lumbung Kapasitas,0
Wanadadi,2024,Lumbung Jumlah,6
Wanadadi,2024,Lumbung Kapasitas,0
Rakit,2018,Lumbung Jumlah,3
Rakit,2018,Lumbung Kapasitas,3.7
Rakit,2019,Lumbung Jumlah,3
Rakit,2019,Lumbung Kapasitas,3.7
Rakit,2020,Lumbung Jumlah,3
Rakit,2020,Lumbung Kapasitas,4
Rakit,2020,Luas (M2),0
Rakit,2020,Lumbung Kapasitas/Bulan,0
Rakit,2021,Lumbung Jumlah,3
Rakit,2021,Lumbung Kapasitas,4
Rakit,2021,Luas (M2),0
Rakit,2021,Lumbung Kapasitas/Bulan,0
Rakit,2022,Lumbung Jumlah,3
Rakit,2022,Lumbung Kapasitas,3.7
Rakit,2023,Lumbung Jumlah,3
Rakit,2023,Lumbung Kapasitas,3.7
Rakit,2024,Lumbung Jumlah,3
Rakit,2024,Lumbung Kapasitas,3.7
Punggelan,2018,Lumbung Jumlah,2
Punggelan,2018,Lumbung Kapasitas,0
Punggelan,2019,Lumbung Jumlah,2
Punggelan,2019,Lumbung Kapasitas,0
Punggelan,2020,Lumbung Jumlah,2
Punggelan,2020,Lumbung Kapasitas,0
Punggelan,2020,Luas (M2),0
Punggelan,2020,Lumbung Kapasitas/Bulan,0
Punggelan,2021,Lumbung Jumlah,2
Punggelan,2021,Lumbung Kapasitas,0
Punggelan,2021,Luas (M2),0
Punggelan,2021,Lumbung Kapasitas/Bulan,0
Punggelan,2022,Lumbung Jumlah,2
Punggelan,2022,Lumbung Kapasitas,0
Punggelan,2023,Lumbung Jumlah,2
Punggelan,2023,Lumbung Kapasitas,0
Punggelan,2024,Lumbung Jumlah,2
Punggelan,2024,Lumbung Kapasitas,0
Karangkobar,2018,Lumbung Jumlah,0
Karangkobar,2018,Lumbung Kapasitas,0
Karangkobar,2019,Lumbung Jumlah,0
Karangkobar,2019,Lumbung Kapasitas,0
Karangkobar,2020,Lumbung Jumlah,0
Karangkobar,2020,Lumbung Kapasitas,0
Karangkobar,2020,Luas (M2),0
Karangkobar,2020,Lumbung Kapasitas/Bulan,0
Karangkobar,2021,Lumbung Jumlah,0
Karangkobar,2021,Lumbung Kapasitas,0
Karangkobar,2021,Luas (M2),0
Karangkobar,2021,Lumbung Kapasitas/Bulan,0
Karangkobar,2022,Lumbung Jumlah,0
Karangkobar,2022,Lumbung Kapasitas,0
Karangkobar,2023,Lumbung Jumlah,0
Karangkobar,2023,Lumbung Kapasitas,0
Karangkobar,2024,Lumbung Jumlah,0
Karangkobar,2024,Lumbung Kapasitas,0
Pagentan,2018,Lumbung Jumlah,3
Pagentan,2018,Lumbung Kapasitas,2.5
Pagentan,2019,Lumbung Jumlah,3
Pagentan,2019,Lumbung Kapasitas,2.5
Pagentan,2020,Lumbung Jumlah,3
Pagentan,2020,Lumbung Kapasitas,3
Pagentan,2020,Luas (M2),0
Pagentan,2020,Lumbung Kapasitas/Bulan,0
Pagentan,2021,Lumbung Jumlah,3
Pagentan,2021,Lumbung Kapasitas,3
Pagentan,2021,Luas (M2),0
Pagentan,2021,Lumbung Kapasitas/Bulan,0
Pagentan,2022,Lumbung Jumlah,3
Pagentan,2022,Lumbung Kapasitas,2.5
Pagentan,2023,Lumbung Jumlah,3
Pagentan,2023,Lumbung Kapasitas,2.5
Pagentan,2024,Lumbung Jumlah,3
Pagentan,2024,Lumbung Kapasitas,2.5
Pejawaran,2018,Lumbung Jumlah,4
Pejawaran,2018,Lumbung Kapasitas,0
Pejawaran,2019,Lumbung Jumlah,4
Pejawaran,2019,Lumbung Kapasitas,0
Pejawaran,2020,Lumbung Jumlah,4
Pejawaran,2020,Lumbung Kapasitas,0
Pejawaran,2020,Luas (M2),0
Pejawaran,2020,Lumbung Kapasitas/Bulan,0
Pejawaran,2021,Lumbung Jumlah,4
Pejawaran,2021,Lumbung Kapasitas,0
Pejawaran,2021,Luas (M2),0
Pejawaran,2021,Lumbung Kapasitas/Bulan,0
Pejawaran,2022,Lumbung Jumlah,4
Pejawaran,2022,Lumbung Kapasitas,0
Pejawaran,2023,Lumbung Jumlah,4
Pejawaran,2023,Lumbung Kapasitas,0
Pejawaran,2024,Lumbung Jumlah,4
Pejawaran,2024,Lumbung Kapasitas,0
Batur,2018,Lumbung Jumlah,0
Batur,2018,Lumbung Kapasitas,0
Batur,2019,Lumbung Jumlah,0
Batur,2019,Lumbung Kapasitas,0
Batur,2020,Lumbung Jumlah,0
Batur,2020,Lumbung Kapasitas,0
Batur,2020,Luas (M2),0
Batur,2020,Lumbung Kapasitas/Bulan,0
Batur,2021,Lumbung Jumlah,0
Batur,2021,Lumbung Kapasitas,0
Batur,2021,Luas (M2),0
Batur,2021,Lumbung Kapasitas/Bulan,0
Batur,2022,Lumbung Jumlah,0
Batur,2022,Lumbung Kapasitas,0
Batur,2023,Lumbung Jumlah,0
Batur,2023,Lumbung Kapasitas,0
Batur,2024,Lumbung Jumlah,0
Batur,2024,Lumbung Kapasitas,0
Wanayasa,2018,Lumbung Jumlah,1
Wanayasa,2018,Lumbung Kapasitas,0
Wanayasa,2019,Lumbung Jumlah,1
Wanayasa,2019,Lumbung Kapasitas,0
Wanayasa,2020,Lumbung Jumlah,1
Wanayasa,2020,Lumbung Kapasitas,0
Wanayasa,2020,Luas (M2),0
Wanayasa,2020,Lumbung Kapasitas/Bulan,0
Wanayasa,2021,Lumbung Jumlah,1
Wanayasa,2021,Lumbung Kapasitas,0
Wanayasa,2021,Luas (M2),0
Wanayasa,2021,Lumbung Kapasitas/Bulan,0
Wanayasa,2022,Lumbung Jumlah,1
Wanayasa,2022,Lumbung Kapasitas,0
Wanayasa,2023,Lumbung Jumlah,1
Wanayasa,2023,Lumbung Kapasitas,0
Wanayasa,2024,Lumbung Jumlah,1
Wanayasa,2024,Lumbung Kapasitas,0
Kalibening,2018,Lumbung Jumlah,4
Kalibening,2018,Lumbung Kapasitas,9.18
Kalibening,2019,Lumbung Jumlah,4
Kalibening,2019,Lumbung Kapasitas,9.18
Kalibening,2020,Lumbung Jumlah,4
Kalibening,2020,Lumbung Kapasitas,9
Kalibening,2020,Luas (M2),0
Kalibening,2020,Lumbung Kapasitas/Bulan,0
Kalibening,2021,Lumbung Jumlah,4
Kalibening,2021,Lumbung Kapasitas,9
Kalibening,2021,Luas (M2),0
Kalibening,2021,Lumbung Kapasitas/Bulan,0
Kalibening,2022,Lumbung Jumlah,4
Kalibening,2022,Lumbung Kapasitas,9.18
Kalibening,2023,Lumbung Jumlah,4
Kalibening,2023,Lumbung Kapasitas,9.18
Kalibening,2024,Lumbung Jumlah,4
Kalibening,2024,Lumbung Kapasitas,9.18
Pandanarum,2018,Lumbung Jumlah,0
Pandanarum,2018,Lumbung Kapasitas,0
Pandanarum,2019,Lumbung Jumlah,0
Pandanarum,2019,Lumbung Kapasitas,0
Pandanarum,2020,Lumbung Jumlah,0
Pandanarum,2020,Lumbung Kapasitas,0
Pandanarum,2020,Luas (M2),0
Pandanarum,2020,Lumbung Kapasitas/Bulan,0
Pandanarum,2021,Lumbung Jumlah,0
Pandanarum,2021,Lumbung Kapasitas,0
Pandanarum,2021,Luas (M2),0
Pandanarum,2021,Lumbung Kapasitas/Bulan,0
Pandanarum,2022,Lumbung Jumlah,0
Pandanarum,2022,Lumbung Kapasitas,0
Pandanarum,2023,Lumbung Jumlah,0
Pandanarum,2023,Lumbung Kapasitas,0
Pandanarum,2024,Lumbung Jumlah,0
Pandanarum,2024,Lumbung Kapasitas,0
Jumlah,2018,Lumbung Jumlah,63
Jumlah,2018,Lumbung Kapasitas,95.83
Jumlah,2019,Lumbung Jumlah,63
Jumlah,2019,Lumbung Kapasitas,95.83
Jumlah,2020,Lumbung Jumlah,63
Jumlah,2020,Lumbung Kapasitas,98
Jumlah,2020,Luas (M2),0
Jumlah,2020,Lumbung Kapasitas/Bulan,0
Jumlah,2021,Lumbung Jumlah,63
Jumlah,2021,Lumbung Kapasitas,98
Jumlah,2021,Luas (M2),0
Jumlah,2021,Lumbung Kapasitas/Bulan,0
Jumlah,2022,Lumbung Jumlah,63
Jumlah,2022,Lumbung Kapasitas,96
Jumlah,2023,Lumbung Jumlah,63
Jumlah,2023,Lumbung Kapasitas,95.83
Jumlah,2024,Lumbung Jumlah,63
Jumlah,2024,Lumbung Kapasitas,95.83
