kecamatan,tahun,metric,value
Susukan,2018,Sapi Perah,0
Susukan,2018,Sapi,0
Susukan,2018,Kerbau,0
Susukan,2018,Kuda,0
Susukan,2018,Kambing,0
Susukan,2018,Domba,0
Susukan,2020,Sapi Perah,0
Susukan,2020,Sapi,0
Susukan,2020,Kerbau,0
Susukan,2020,Kuda,0
Susukan,2020,Kambing,0
Susukan,2021,Sapi Perah,0
Susukan,2021,Sapi,0
Susukan,2021,Kerbau,0
Susukan,2021,Kuda,0
Susukan,2021,Kambing,0
Susukan,2021,Domba,0
Susukan,2022,Sapi Perah,0
Susukan,2022,Sapi,0
Susukan,2022,Kerbau,0
Susukan,2022,Kuda,0
Susukan,2022,Kambing,0
Susukan,2022,Domba,0
Susukan,2023,Sapi Perah,0
Susukan,2023,Sapi,0
Susukan,2023,Kerbau,0
Susukan,2023,Kuda,0
Susukan,2023,Kambing,0
Susukan,2023,Domba,0
Susukan,2024,Sapi Perah,0
Susukan,2024,Sapi,0
Susukan,2024,Kerbau,0
Susukan,2024,Kuda,0
Susukan,2024,Kambing,0
Purworejo Klampok,2018,Sapi Perah,0
Purworejo Klampok,2018,Sapi,0
Purworejo Klampok,2018,Kerbau,0
Purworejo Klampok,2018,Kuda,0
Purworejo Klampok,2018,Kambing,0
Purworejo Klampok,2018,Domba,0
Purworejo Klampok,2020,Sapi Perah,0
Purworejo Klampok,2020,Sapi,0
Purworejo Klampok,2020,Kerbau,0
Purworejo Klampok,2020,Kuda,0
Purworejo Klampok,2020,Kambing,0
Purworejo Klampok,2021,Sapi Perah,0
Purworejo Klampok,2021,Sapi,0
Purworejo Klampok,2021,Kerbau,0
Purworejo Klampok,2021,Kuda,0
Purworejo Klampok,2021,Kambing,0
Purworejo Klampok,2021,Domba,0
Purworejo Klampok,2022,Sapi Perah,0
Purworejo Klampok,2022,Sapi,0
Purworejo Klampok,2022,Kerbau,0
Purworejo Klampok,2022,Kuda,0
Purworejo Klampok,2022,Kambing,0
Purworejo Klampok,2022,Domba,0
Purworejo Klampok,2023,Sapi Perah,0
Purworejo Klampok,2023,Sapi,0
Purworejo Klampok,2023,Kerbau,0
Purworejo Klampok,2023,Kuda,0
Purworejo Klampok,2023,Kambing,0
Purworejo Klampok,2023,Domba,0
Purworejo Klampok,2024,Sapi Perah,0
Purworejo Klampok,2024,Sapi,0
Purworejo Klampok,2024,Kerbau,0
Purworejo Klampok,2024,Kuda,0
Purworejo Klampok,2024,Kambing,0
Mandiraja,2018,Sapi Perah,0
Mandiraja,2018,Sapi,0
Mandiraja,2018,Kerbau,0
Mandiraja,2018,Kuda,0
Mandiraja,2018,Kambing,0
Mandiraja,2018,Domba,0
Mandiraja,2020,Sapi Perah,0
Mandiraja,2020,Sapi,0
Mandiraja,2020,Kerbau,0
Mandiraja,2020,Kuda,0
Mandiraja,2020,Kambing,0
Mandiraja,2021,Sapi Perah,0
Mandiraja,2021,Sapi,0
Mandiraja,2021,Kerbau,0
Mandiraja,2021,Kuda,0
Mandiraja,2021,Kambing,0
Mandiraja,2021,Domba,0
