kecamatan,tahun,metric,value
Susukan,2018,Hasil Obyek Perairan Umum Sungai,31868.91
Susukan,2018,Sendiri,0
Susukan,2018,Lain daerah,0
Susukan,2018,Hasil Obyek Perairan Umum Waduk,0
Susukan,2019,Hasil Obyek Perairan Umum Sungai,34977.8
Susukan,2019,Sendiri,0
Susukan,2019,Lain daerah,0
Susukan,2020,Hasil Obyek Perairan Umum Sungai,38896
Susukan,2020,Sendiri,0
Susukan,2020,Lain daerah,0
Susukan,2021,Hasil Obyek Perairan Umum Sungai,36683
Susukan,2021,Sendiri,0
Susukan,2021,Lain daerah,0
Susukan,2021,Hasil Obyek Perairan Umum Waduk,0
Susukan,2022,Hasil Obyek Perairan Umum Sungai,22074
Susukan,2022,Sendiri,0
Susukan,2022,Lain daerah,0
Susukan,2022,Hasil Obyek Perairan Umum Waduk,0
Susukan,2023,Hasil Obyek Perairan Umum Sungai,26755.26
Susukan,2023,Sendiri,0
Susukan,2023,Lain daerah,0
Susukan,2023,Hasil Obyek Perairan Umum Waduk,0
Susukan,2024,Hasil Obyek Perairan Umum Sungai,0
Susukan,2024,Sendiri,0
Susukan,2024,Lain daerah,0
Susukan,2024,Hasil Obyek Perairan Umum Waduk,0
Purworejo Klp.,2018,Hasil Obyek Perairan Umum Sungai,24162.75
Purworejo Klp.,2018,Sendiri,0
Purworejo Klp.,2018,Lain daerah,0
Purworejo Klp.,2018,Hasil Obyek Perairan Umum Waduk,0
Purworejo Klp.,2019,Hasil Obyek Perairan Umum Sungai,26519.9
Purworejo Klp.,2019,Sendiri,9812
Purworejo Klp.,2019,Lain daerah,16708
Purworejo Klp.,2020,Hasil Obyek Perairan Umum Sungai,29490
Purworejo Klp.,2020,Sendiri,10911.46
Purworejo Klp.,2020,Lain daerah,18578.96
Purworejo Klp.,2021,Hasil Obyek Perairan Umum Sungai,27813
Purworejo Klp.,2021,Sendiri,0
Purworejo Klp.,2021,Lain daerah,0
Purworejo Klp.,2021,Hasil Obyek Perairan Umum Waduk,0
Purworejo Klp.,2022,Hasil Obyek Perairan Umum Sungai,16736
Purworejo Klp.,2022,Sendiri,0
Purworejo Klp.,2022,Lain daerah,0
Purworejo Klp.,2022,Hasil Obyek Perairan Umum Waduk,0
Purworejo Klp.,2023,Hasil Obyek Perairan Umum Sungai,20285.61
Purworejo Klp.,2023,Sendiri,0
Purworejo Klp.,2023,Lain daerah,0
Purworejo Klp.,2023,Hasil Obyek Perairan Umum Waduk,0
Purworejo Klp.,2024,Hasil Obyek Perairan Umum Sungai,34109
Purworejo Klp.,2024,Sendiri,0
Purworejo Klp.,2024,Lain daerah,0
Purworejo Klp.,2024,Hasil Obyek Perairan Umum Waduk,0
Mandiraja,2018,Hasil Obyek Perairan Umum Sungai,88137.85
Mandiraja,2018,Sendiri,0
Mandiraja,2018,Lain daerah,0
Mandiraja,2018,Hasil Obyek Perairan Umum Waduk,0
Mandiraja,2019,Hasil Obyek Perairan Umum Sungai,96735.9
Mandiraja,2019,Sendiri,0
Mandiraja,2019,Lain daerah,0
Mandiraja,2020,Hasil Obyek Perairan Umum Sungai,107571
Mandiraja,2020,Sendiri,0
Mandiraja,2020,Lain daerah,0
Mandiraja,2021,Hasil Obyek Perairan Umum Sungai,101452
Mandiraja,2021,Sendiri,0
Mandiraja,2021,Lain daerah,0
Mandiraja,2021,Hasil Obyek Perairan Umum Waduk,0
Mandiraja,2022,Hasil Obyek Perairan Umum Sungai,61048
Mandiraja,2022,Sendiri,0
Mandiraja,2022,Lain daerah,0
Mandiraja,2022,Hasil Obyek Perairan Umum Waduk,0
Mandiraja,2023,Hasil Obyek Perairan Umum Sungai,73995.33
Mandiraja,2023,Sendiri,0
Mandiraja,2023,Lain daerah,0
Mandiraja,2023,Hasil Obyek Perairan Umum Waduk,0
Mandiraja,2024,Hasil Obyek Perairan Umum Sungai,32465
Mandiraja,2024,Sendiri,0
Mandiraja,2024,Lain daerah,0
Mandiraja,2024,Hasil Obyek Perairan Umum Waduk,0
Purwonegoro,2018,Hasil Obyek Perairan Umum Sungai,58547.58
Purwonegoro,2018,Sendiri,0
Purwonegoro,2018,Lain daerah,0
Purwonegoro,2018,Hasil Obyek Perairan Umum Waduk,0
Purwonegoro,2019,Hasil Obyek Perairan Umum Sungai,64259
Purwonegoro,2019,Sendiri,0
Purwonegoro,2019,Lain daerah,0
Purwonegoro,2020,Hasil Obyek Perairan Umum Sungai,71457
Purwonegoro,2020,Sendiri,0
Purwonegoro,2020,Lain daerah,0
Purwonegoro,2021,Hasil Obyek Perairan Umum Sungai,67392
Purwonegoro,2021,Sendiri,0
Purwonegoro,2021,Lain daerah,0
Purwonegoro,2021,Hasil Obyek Perairan Umum Waduk,0
Purwonegoro,2022,Hasil Obyek Perairan Umum Sungai,40552
Purwonegoro,2022,Sendiri,0
Purwonegoro,2022,Lain daerah,0
Purwonegoro,2022,Hasil Obyek Perairan Umum Waduk,0
Purwonegoro,2023,Hasil Obyek Perairan Umum Sungai,49153.09
Purwonegoro,2023,Sendiri,0
Purwonegoro,2023,Lain daerah,0
Purwonegoro,2023,Hasil Obyek Perairan Umum Waduk,0
Purwonegoro,2024,Hasil Obyek Perairan Umum Sungai,45329
Purwonegoro,2024,Sendiri,0
Purwonegoro,2024,Lain daerah,0
Purwonegoro,2024,Hasil Obyek Perairan Umum Waduk,0
Bawang,2018,Hasil Obyek Perairan Umum Sungai,16028.97
Bawang,2018,Sendiri,0
Bawang,2018,Lain daerah,0
Bawang,2018,Hasil Obyek Perairan Umum Waduk,209934.36
Bawang,2019,Hasil Obyek Perairan Umum Sungai,17592.6
Bawang,2019,Sendiri,0
Bawang,2019,Lain daerah,72172
Bawang,2019,Hasil Obyek Perairan Umum Waduk,230372
Bawang,2020,Hasil Obyek Perairan Umum Sungai,19563
Bawang,2020,Sendiri,0
Bawang,2020,Lain daerah,0
Bawang,2020,Hasil Obyek Perairan Umum Waduk,253577
Bawang,2021,Hasil Obyek Perairan Umum Sungai,18450
Bawang,2021,Sendiri,0
Bawang,2021,Lain daerah,0
Bawang,2021,Hasil Obyek Perairan Umum Waduk,221220
Bawang,2022,Hasil Obyek Perairan Umum Sungai,11103
Bawang,2022,Sendiri,0
Bawang,2022,Lain daerah,0
Bawang,2022,Hasil Obyek Perairan Umum Waduk,156673
Bawang,2023,Hasil Obyek Perairan Umum Sungai,13456.98
Bawang,2023,Sendiri,0
Bawang,2023,Lain daerah,0
Bawang,2023,Hasil Obyek Perairan Umum Waduk,89137.8
