kecamatan,tahun,metric,value
Susukan,2018,Sendiri,0
Susukan,2018,Lain Daerah,491591.53
Susukan,2019,Sendiri,454560
Susukan,2019,Lain Daerah,61043
Susukan,2020,Sendiri,123873.67
Susukan,2020,Lain Daerah,16635.06
Susukan,2021,Sendiri,135107.72
Susukan,2021,Lain Daerah,18143.69
Susukan,2022,Sendiri,144874.83
Susukan,2022,Lain Daerah,19455.32
Susukan,2023,Sendiri,145855.87
Susukan,2023,Lain Daerah,19587.06
Susukan,2024,Sendiri,144835.27
Susukan,2024,Lain Daerah,19450.01
Purworejo Klp.,2018,Sendiri,0
Purworejo Klp.,2018,Lain Daerah,1310624.03
Purworejo Klp.,2019,Sendiri,1211896
Purworejo Klp.,2019,Lain Daerah,162746
Purworejo Klp.,2020,Sendiri,915588.03
Purworejo Klp.,2020,Lain Daerah,122954.81
Purworejo Klp.,2021,Sendiri,998622.31
Purworejo Klp.,2021,Lain Daerah,134105.53
Purworejo Klp.,2022,Sendiri,1070813.99
Purworejo Klp.,2022,Lain Daerah,143800.19
Purworejo Klp.,2023,Sendiri,1078065.13
Purworejo Klp.,2023,Lain Daerah,144773.95
Purworejo Klp.,2024,Sendiri,1070521.54
Purworejo Klp.,2024,Lain Daerah,143760.92
Mandiraja,2018,Sendiri,0
Mandiraja,2018,Lain Daerah,3507576.98
Mandiraja,2019,Sendiri,896451
Mandiraja,2019,Lain Daerah,2782454
Mandiraja,2020,Sendiri,500282.31
Mandiraja,2020,Lain Daerah,1552803.44
Mandiraja,2021,Sendiri,545652.69
Mandiraja,2021,Lain Daerah,1693626.51
Mandiraja,2022,Sendiri,585098.62
Mandiraja,2022,Lain Daerah,1816060.93
Mandiraja,2023,Sendiri,589060.68
Mandiraja,2023,Lain Daerah,1828358.58
Mandiraja,2024,Sendiri,584938.82
Mandiraja,2024,Lain Daerah,1815564.93
Purwonegoro,2018,Sendiri,0
Purwonegoro,2018,Lain Daerah,5817206.14
Purwonegoro,2019,Sendiri,1644047
Purwonegoro,2019,Lain Daerah,4457301
Purwonegoro,2020,Sendiri,3347169.03
Purwonegoro,2020,Lain Daerah,9074763.39
Purwonegoro,2021,Sendiri,3650722.33
Purwonegoro,2021,Lain Daerah,9897749.73
Purwonegoro,2022,Sendiri,3914637.71
Purwonegoro,2022,Lain Daerah,10613270.7
Purwonegoro,2023,Sendiri,3941146.1
Purwonegoro,2023,Lain Daerah,10685139.6
Purwonegoro,2024,Sendiri,3913568.55
Purwonegoro,2024,Lain Daerah,10610372.03
Bawang,2018,Sendiri,0
Bawang,2018,Lain Daerah,5348025.4
Bawang,2019,Sendiri,1512258
Bawang,2019,Lain Daerah,4096993
Bawang,2020,Sendiri,859033.68
Bawang,2020,Lain Daerah,2327285.58
Bawang,2021,Sendiri,936939.07
Bawang,2021,Lain Daerah,2538346.1
Bawang,2022,Sendiri,1004671.59
Bawang,2022,Lain Daerah,2721846.38
Bawang,2023,Sendiri,1011474.83
Bawang,2023,Lain Daerah,2740277.66
Bawang,2024,Sendiri,1004397.2
Bawang,2024,Lain Daerah,2721103
Banjarnegara,2018,Sendiri,0
Banjarnegara,2018,Lain Daerah,1812263.36
Banjarnegara,2019,Sendiri,1409175
Banjarnegara,2019,Lain Daerah,491608
Banjarnegara,2020,Sendiri,947543.45
Banjarnegara,2020,Lain Daerah,330562.43
Banjarnegara,2021,Sendiri,1033475.75
Banjarnegara,2021,Lain Daerah,360540.99
Banjarnegara,2022,Sendiri,1108187.04
Banjarnegara,2022,Lain Daerah,386604.96
