kecamatan,tahun,metric,value
Susukan,2018,Hasil Obyek Perikanan Sawah (Minapadi) Produksi,0
Susukan,2018,Di pelihara Sendiri,0
Susukan,2018,Dijual ke Lain Daerah,0
Susukan,2018,Produksi,6500
Susukan,2018,Hasil Obyek Balai Benih Ikan (BBI) Produksi,0
Susukan,2019,Di pelihara Sendiri,692
Susukan,2019,Dijual ke Lain Daerah,6308
Susukan,2019,Produksi,7000
Susukan,2020,Hasil Obyek Perikanan Sawah (Minapadi) Produksi,0
Susukan,2020,Di pelihara Sendiri,0
Susukan,2020,Dijual ke Lain Daerah,0
Susukan,2020,Produksi,0
Susukan,2020,Hasil Obyek Balai Benih Ikan (BBI) Produksi,0
Susukan,2020,Dipelihara Sendiri,0
Susukan,2021,Hasil Obyek Perikanan Sawah (Minapadi) Produksi,0
Susukan,2021,Di pelihara Sendiri,0
Susukan,2021,Dijual ke Lain Daerah,0
Susukan,2021,Produksi,0
Susukan,2021,Hasil Obyek Balai Benih Ikan (BBI) Produksi,0
Susukan,2022,Hasil Obyek Perikanan Sawah (Minapadi) Produksi,0
Susukan,2022,Di pelihara Sendiri,0
Susukan,2022,Dijual ke Lain Daerah,0
Susukan,2022,Produksi,0
Susukan,2022,Hasil Obyek Balai Benih Ikan (BBI) Produksi,0
Susukan,2023,Hasil Obyek Perikanan Sawah (Minapadi) Produksi,0
Susukan,2023,Di pelihara Sendiri,0
Susukan,2023,Dijual ke Lain Daerah,0
Susukan,2023,Produksi,0
Susukan,2023,Hasil Obyek Balai Benih Ikan (BBI) Produksi,0
Susukan,2024,Hasil Obyek Perikanan Sawah (Minapadi) Produksi,0
Susukan,2024,Di pelihara Sendiri,0
Susukan,2024,Dijual ke Lain Daerah,0
Susukan,2024,Produksi,0
Susukan,2024,Hasil Obyek Balai Benih Ikan (BBI) Produksi,0
Purworejo Klp.,2018,Hasil Obyek Perikanan Sawah (Minapadi) Produksi,0
Purworejo Klp.,2018,Di pelihara Sendiri,0
Purworejo Klp.,2018,Dijual ke Lain Daerah,0
Purworejo Klp.,2018,Produksi,0
Purworejo Klp.,2018,Hasil Obyek Balai Benih Ikan (BBI) Produksi,0
Purworejo Klp.,2020,Hasil Obyek Perikanan Sawah (Minapadi) Produksi,0
