kecamatan,tahun,metric,value
Susukan,2018,Kambing,10848
Susukan,2018,Domba,68
Susukan,2018,Babi,0
Susukan,2018,Kelinci,992
Susukan,2019,Kambing,9665
Susukan,2019,Domba,105
Susukan,2019,Kelinci,1171
Susukan,2020,Kambing,10018
Susukan,2020,Domba,115
Susukan,2020,Babi,0
Susukan,2020,Kelinci,1177
Susukan,2021,Kambing,10633
Susukan,2021,Domba,117.88
Susukan,2021,Babi,0
Susukan,2021,Kelinci,1186
Susukan,2022,Kambing,10688
Susukan,2022,Domba,141
Susukan,2022,Babi,0
Susukan,2022,Kelinci,1189
Susukan,2023,Kambing,10923
Susukan,2023,Domba,143
Susukan,2023,Kelinci,1148
Susukan,2024,Kambing,13119
Susukan,2024,Domba,331
Susukan,2024,Kelinci,497
Purworejo Klampok,2018,Kambing,3219
Purworejo Klampok,2018,Domba,39
Purworejo Klampok,2018,Babi,123
Purworejo Klampok,2018,Kelinci,540
Purworejo Klampok,2019,Kambing,3239
Purworejo Klampok,2019,Domba,23
Purworejo Klampok,2019,Babi,134
Purworejo Klampok,2019,Kelinci,469
Purworejo Klampok,2020,Kambing,3365
Purworejo Klampok,2020,Domba,26
Purworejo Klampok,2020,Babi,134
Purworejo Klampok,2020,Kelinci,469
Purworejo Klampok,2021,Kambing,3572
Purworejo Klampok,2021,Domba,26.65
Purworejo Klampok,2021,Babi,135
Purworejo Klampok,2021,Kelinci,473
Purworejo Klampok,2022,Kambing,3626
Purworejo Klampok,2022,Domba,37
Purworejo Klampok,2022,Babi,133
Purworejo Klampok,2022,Kelinci,452
Purworejo Klampok,2023,Kambing,3706
Purworejo Klampok,2023,Domba,37
Purworejo Klampok,2023,Babi,127
Purworejo Klampok,2023,Kelinci,437
Purworejo Klampok,2024,Kambing,4853
Purworejo Klampok,2024,Domba,987
Purworejo Klampok,2024,Babi,32
Purworejo Klampok,2024,Kelinci,856
Mandiraja,2018,Kambing,7160
Mandiraja,2018,Domba,360
Mandiraja,2018,Babi,0
Mandiraja,2018,Kelinci,710
Mandiraja,2019,Kambing,8070
Mandiraja,2019,Domba,421
Mandiraja,2019,Babi,12
Mandiraja,2019,Kelinci,746
Mandiraja,2020,Kambing,8034
Mandiraja,2020,Domba,485
Mandiraja,2020,Babi,11
Mandiraja,2020,Kelinci,859
Mandiraja,2021,Kambing,8527
Mandiraja,2021,Domba,497.14
Mandiraja,2021,Babi,11
Mandiraja,2021,Kelinci,866
Mandiraja,2022,Kambing,8575
Mandiraja,2022,Domba,519
Mandiraja,2022,Babi,10
Mandiraja,2022,Kelinci,847
Mandiraja,2023,Kambing,8764
Mandiraja,2023,Domba,525
Mandiraja,2023,Babi,9
Mandiraja,2023,Kelinci,818
Mandiraja,2024,Kambing,9324
Mandiraja,2024,Domba,1456
Mandiraja,2024,Babi,14
Mandiraja,2024,Kelinci,1272
Purwonegoro,2018,Kambing,14917
Purwonegoro,2018,Domba,136
Purwonegoro,2018,Babi,59
Purwonegoro,2018,Kelinci,628
Purwonegoro,2019,Kambing,14917
Purwonegoro,2019,Domba,136
Purwonegoro,2019,Babi,59
Purwonegoro,2019,Kelinci,628
Purwonegoro,2020,Kambing,15499
Purwonegoro,2020,Domba,152
Purwonegoro,2020,Babi,59
Purwonegoro,2020,Kelinci,628
Purwonegoro,2021,Kambing,16451
Purwonegoro,2021,Domba,155.8
Purwonegoro,2021,Babi,59
Purwonegoro,2021,Kelinci,633
Purwonegoro,2022,Kambing,16549
Purwonegoro,2022,Domba,166
Purwonegoro,2022,Babi,58
Purwonegoro,2022,Kelinci,622
Purwonegoro,2023,Kambing,16913
Purwonegoro,2023,Domba,168
Purwonegoro,2023,Babi,56
Purwonegoro,2023,Kelinci,601
Purwonegoro,2024,Kambing,18165
Purwonegoro,2024,Domba,1426
Purwonegoro,2024,Kelinci,1055
Bawang,2018,Kambing,4623
Bawang,2018,Domba,788
Bawang,2018,Babi,0
Bawang,2018,Kelinci,812
Bawang,2019,Kambing,4715
Bawang,2019,Domba,876
Bawang,2019,Kelinci,838
Bawang,2020,Kambing,4899
Bawang,2020,Domba,976
Bawang,2020,Babi,0
Bawang,2020,Kelinci,838
Bawang,2021,Kambing,5200
Bawang,2021,Domba,1000.43
Bawang,2021,Babi,0
Bawang,2021,Kelinci,845
Bawang,2022,Kambing,5243
Bawang,2022,Domba,1103
Bawang,2022,Babi,0
Bawang,2022,Kelinci,849
Bawang,2023,Kambing,5358
Bawang,2023,Domba,1116
Bawang,2023,Kelinci,820
Bawang,2024,Kambing,8283
Bawang,2024,Domba,3007
Bawang,2024,Babi,3
Bawang,2024,Kelinci,1355
Banjarnegara,2018,Kambing,4847
Banjarnegara,2018,Domba,533
Banjarnegara,2018,Babi,33
Banjarnegara,2018,Kelinci,1978
Banjarnegara,2019,Kambing,4783
Banjarnegara,2019,Domba,520
Banjarnegara,2019,Kelinci,2131
Banjarnegara,2020,Kambing,4936
Banjarnegara,2020,Domba,539
Banjarnegara,2020,Babi,0
Banjarnegara,2020,Kelinci,3386
Banjarnegara,2021,Kambing,5239
Banjarnegara,2021,Domba,552.49
Banjarnegara,2021,Babi,0
Banjarnegara,2021,Kelinci,3413
Banjarnegara,2022,Kambing,5274
Banjarnegara,2022,Domba,587
Banjarnegara,2022,Babi,0
Banjarnegara,2022,Kelinci,3404
Banjarnegara,2023,Kambing,5390
Banjarnegara,2023,Domba,594
Banjarnegara,2023,Kelinci,3288
Banjarnegara,2024,Kambing,3453
Banjarnegara,2024,Domba,3139
Banjarnegara,2024,Kelinci,341
Pagedongan,2018,Kambing,2671
Pagedongan,2018,Domba,163
Pagedongan,2018,Babi,0
Pagedongan,2018,Kelinci,301
Pagedongan,2019,Kambing,1395
Pagedongan,2019,Domba,148
Pagedongan,2019,Kelinci,344
Pagedongan,2020,Kambing,1379
Pagedongan,2020,Domba,226
Pagedongan,2020,Babi,0
Pagedongan,2020,Kelinci,460
Pagedongan,2021,Kambing,1464
Pagedongan,2021,Domba,231.66
Pagedongan,2021,Babi,0
Pagedongan,2021,Kelinci,464
Pagedongan,2022,Kambing,1511
Pagedongan,2022,Domba,253
Pagedongan,2022,Babi,0
Pagedongan,2022,Kelinci,467
Pagedongan,2023,Kambing,1544
Pagedongan,2023,Domba,256
Pagedongan,2023,Kelinci,451
Pagedongan,2024,Kambing,9393
Pagedongan,2024,Domba,884
Pagedongan,2024,Kelinci,474
Sigaluh,2018,Kambing,5221
Sigaluh,2018,Domba,347
Sigaluh,2018,Babi,50
Sigaluh,2018,Kelinci,983
Sigaluh,2019,Kambing,5221
Sigaluh,2019,Domba,347
Sigaluh,2019,Babi,50
Sigaluh,2019,Kelinci,983
Sigaluh,2020,Kambing,5425
Sigaluh,2020,Domba,387
Sigaluh,2020,Babi,50
Sigaluh,2020,Kelinci,983
Sigaluh,2021,Kambing,5758
Sigaluh,2021,Domba,396.69
Sigaluh,2021,Babi,50
Sigaluh,2021,Kelinci,991
Sigaluh,2022,Kambing,5787
Sigaluh,2022,Domba,414
Sigaluh,2022,Babi,49
Sigaluh,2022,Kelinci,995
Sigaluh,2023,Kambing,5914
Sigaluh,2023,Domba,419
Sigaluh,2023,Babi,47
Sigaluh,2023,Kelinci,961
Sigaluh,2024,Kambing,5447
Sigaluh,2024,Domba,2332
Sigaluh,2024,Kelinci,863
Madukara,2018,Kambing,9069
Madukara,2018,Domba,1840
Madukara,2018,Babi,0
Madukara,2018,Kelinci,708
Madukara,2019,Kambing,9273
