kecamatan,tahun,metric,value
Susukan,2018,Sapi,90
Susukan,2018,Kerbau,0
Susukan,2018,Babi,0
Susukan,2018,Kambing,348
Susukan,2018,Domba,0
Susukan,2020,Sapi,98
Susukan,2020,Kerbau,0
Susukan,2020,Babi,0
Susukan,2020,Kambing,713
Susukan,2020,Domba,8
Susukan,2021,Sapi,118
Susukan,2021,Kerbau,0
Susukan,2021,Babi,0
Susukan,2021,Kambing,246
Susukan,2021,Domba,20
Susukan,2023,Sapi,129
Susukan,2023,Kerbau,0
Susukan,2023,Babi,0
Susukan,2023,Kambing,365
Susukan,2023,Domba,0
Susukan,2024,Sapi,98
Susukan,2024,Kerbau,0
Susukan,2024,Babi,0
Susukan,2024,Kambing,329
Susukan,2024,Domba,49
Purworejo Klampok,2018,Sapi,93
Purworejo Klampok,2018,Kerbau,0
Purworejo Klampok,2018,Babi,0
Purworejo Klampok,2018,Kambing,293
Purworejo Klampok,2018,Domba,1
Purworejo Klampok,2020,Sapi,75
Purworejo Klampok,2020,Kerbau,0
Purworejo Klampok,2020,Babi,0
Purworejo Klampok,2020,Kambing,294
Purworejo Klampok,2020,Domba,4
Purworejo Klampok,2021,Sapi,96
Purworejo Klampok,2021,Kerbau,0
Purworejo Klampok,2021,Babi,0
Purworejo Klampok,2021,Kambing,234
Purworejo Klampok,2021,Domba,0
Purworejo Klampok,2023,Sapi,107
Purworejo Klampok,2023,Kerbau,0
Purworejo Klampok,2023,Babi,0
Purworejo Klampok,2023,Kambing,289
Purworejo Klampok,2023,Domba,5
Purworejo Klampok,2024,Sapi,93
Purworejo Klampok,2024,Kerbau,0
Purworejo Klampok,2024,Babi,0
Purworejo Klampok,2024,Kambing,586
Purworejo Klampok,2024,Domba,33
Mandiraja,2018,Sapi,132
Mandiraja,2018,Kerbau,0
Mandiraja,2018,Babi,0
Mandiraja,2018,Kambing,347
Mandiraja,2018,Domba,21
Mandiraja,2020,Sapi,181
Mandiraja,2020,Kerbau,0
Mandiraja,2020,Babi,0
Mandiraja,2020,Kambing,523
