kecamatan,tahun,metric,value
Susukan,2018,Sapi/Kerbau Cow/Buffalo,90
Susukan,2018,Kambing/Domba Goat/Sheep,666
Susukan,2020,Sapi/Kerbau Cow/Buffalo,98
Susukan,2020,Kambing/Domba Goat/Sheep,721
Susukan,2021,Sapi/Kerbau Cow/Buffalo,112
Susukan,2021,Kambing/Domba Goat/Sheep,756
Susukan,2022,Sapi/Kerbau Cow/Buffalo,91
Susukan,2022,Kambing/Domba Goat/Sheep,766
Susukan,2023,Sapi/Kerbau Cow/Buffalo,93
Susukan,2023,Kambing/Domba Goat/Sheep,729
Susukan,2024,Sapi/Kerbau Cow/Buffalo,50
Susukan,2024,Kambing/Domba Goat/Sheep,301
Purworejo Klampok,2018,Sapi/Kerbau Cow/Buffalo,93
Purworejo Klampok,2018,Kambing/Domba Goat/Sheep,378
Purworejo Klampok,2020,Sapi/Kerbau Cow/Buffalo,75
Purworejo Klampok,2020,Kambing/Domba Goat/Sheep,298
Purworejo Klampok,2021,Sapi/Kerbau Cow/Buffalo,86
Purworejo Klampok,2021,Kambing/Domba Goat/Sheep,313
Purworejo Klampok,2022,Sapi/Kerbau Cow/Buffalo,64
Purworejo Klampok,2022,Kambing/Domba Goat/Sheep,326
Purworejo Klampok,2023,Sapi/Kerbau Cow/Buffalo,65
Purworejo Klampok,2023,Kambing/Domba Goat/Sheep,310
Purworejo Klampok,2024,Sapi/Kerbau Cow/Buffalo,30
Purworejo Klampok,2024,Kambing/Domba Goat/Sheep,129
Mandiraja,2018,Sapi/Kerbau Cow/Buffalo,132
Mandiraja,2018,Kambing/Domba Goat/Sheep,637
Mandiraja,2020,Sapi/Kerbau Cow/Buffalo,181
Mandiraja,2020,Kambing/Domba Goat/Sheep,896
Mandiraja,2021,Sapi/Kerbau Cow/Buffalo,207
Mandiraja,2021,Kambing/Domba Goat/Sheep,940
Mandiraja,2022,Sapi/Kerbau Cow/Buffalo,172
Mandiraja,2022,Kambing/Domba Goat/Sheep,955
Mandiraja,2023,Sapi/Kerbau Cow/Buffalo,176
Mandiraja,2023,Kambing/Domba Goat/Sheep,909
Mandiraja,2024,Sapi/Kerbau Cow/Buffalo,80
Mandiraja,2024,Kambing/Domba Goat/Sheep,375
Purwonegoro,2018,Sapi/Kerbau Cow/Buffalo,250
Purwonegoro,2018,Kambing/Domba Goat/Sheep,609
Purwonegoro,2020,Sapi/Kerbau Cow/Buffalo,326
Purwonegoro,2020,Kambing/Domba Goat/Sheep,565
Purwonegoro,2021,Sapi/Kerbau Cow/Buffalo,374
Purwonegoro,2021,Kambing/Domba Goat/Sheep,593
Purwonegoro,2022,Sapi/Kerbau Cow/Buffalo,353
Purwonegoro,2022,Kambing/Domba Goat/Sheep,601
