kecamatan,tahun,metric,value
Susukan,2018,Sapi Perah,0
Susukan,2018,Sapi,322
Susukan,2018,Kerbau,0
Susukan,2018,Kuda,2
Susukan,2019,Sapi,351
Susukan,2019,Kuda,2
Susukan,2020,Sapi Perah,0
Susukan,2020,Sapi,394
Susukan,2020,Kerbau,0
Susukan,2020,Kuda,0
Susukan,2021,Sapi Perah,0
Susukan,2021,Sapi,420
Susukan,2021,Kerbau,0
Susukan,2021,Kuda,0
Susukan,2022,Sapi Perah,0
Susukan,2022,Sapi,401
Susukan,2022,Kuda,0
Susukan,2023,Sapi Perah,0
Susukan,2023,Sapi,309
Susukan,2023,Kerbau,0
Susukan,2023,Kuda,0
Susukan,2024,Sapi Perah,0
Susukan,2024,Sapi,620
Susukan,2024,Kerbau,0
Susukan,2024,Kuda,0
Purworejo Klampok,2018,Sapi Perah,0
Purworejo Klampok,2018,Sapi,340
Purworejo Klampok,2018,Kerbau,2
Purworejo Klampok,2018,Kuda,12
Purworejo Klampok,2019,Sapi,351
Purworejo Klampok,2019,Kuda,9
Purworejo Klampok,2020,Sapi Perah,0
Purworejo Klampok,2020,Sapi,407
Purworejo Klampok,2020,Kerbau,0
Purworejo Klampok,2020,Kuda,9
Purworejo Klampok,2021,Sapi Perah,0
Purworejo Klampok,2021,Sapi,434
Purworejo Klampok,2021,Kerbau,0
Purworejo Klampok,2021,Kuda,9
Purworejo Klampok,2022,Sapi Perah,0
Purworejo Klampok,2022,Sapi,381
Purworejo Klampok,2022,Kuda,9
Purworejo Klampok,2023,Sapi Perah,0
Purworejo Klampok,2023,Sapi,293
Purworejo Klampok,2023,Kerbau,0
Purworejo Klampok,2023,Kuda,9
Purworejo Klampok,2024,Sapi Perah,1
Purworejo Klampok,2024,Sapi,288
Purworejo Klampok,2024,Kerbau,4
Purworejo Klampok,2024,Kuda,9
Mandiraja,2018,Sapi Perah,0
Mandiraja,2018,Sapi,775
Mandiraja,2018,Kerbau,12
Mandiraja,2018,Kuda,0
Mandiraja,2019,Sapi,687
Mandiraja,2019,Kerbau,12
Mandiraja,2019,Kuda,1
Mandiraja,2020,Sapi Perah,0
