kecamatan,tahun,metric,value
Banjarnegara,2018,Sapi,3231
Banjarnegara,2018,Kambing,0
Banjarnegara,2018,Domba,0
Banjarnegara,2019,Sapi,2928
Banjarnegara,2019,Kambing,0
Banjarnegara,2019,Domba,0
Banjarnegara,2020,Sapi,2810
Banjarnegara,2020,Kerbau,0
Banjarnegara,2020,Kuda,0
Banjarnegara,2020,Babi,0
Banjarnegara,2020,Kambing,0
Banjarnegara,2020,Domba,0
Banjarnegara,2021,Sapi,2944
Banjarnegara,2021,Kerbau,0
Banjarnegara,2021,Kuda,0
Banjarnegara,2021,Babi,0
Banjarnegara,2021,Kambing,0
Banjarnegara,2021,Domba,0
Banjarnegara,2022,Sapi,3144
Banjarnegara,2022,Kerbau,0
Banjarnegara,2022,Kuda,0
Banjarnegara,2022,Babi,0
Banjarnegara,2022,Kambing,0
Banjarnegara,2022,Domba,0
Banjarnegara,2023,Sapi,3097
Banjarnegara,2023,Kerbau,0
Banjarnegara,2023,Kuda,0
Banjarnegara,2023,Babi,0
Banjarnegara,2023,Kambing,0
Banjarnegara,2023,Domba,0
Banjarnegara,2024,Sapi,2922
Banjarnegara,2024,Kerbau,0
Banjarnegara,2024,Kuda,0
Banjarnegara,2024,Babi,0
Banjarnegara,2024,Kambing,0
Banjarnegara,2024,Domba,0
Wanayasa,2018,Sapi,870
Wanayasa,2018,Kambing,0
Wanayasa,2018,Domba,0
Wanayasa,2019,Sapi,838
Wanayasa,2019,Kambing,0
Wanayasa,2019,Domba,0
Wanayasa,2020,Sapi,868
Wanayasa,2020,Kerbau,0
Wanayasa,2020,Kuda,0
Wanayasa,2020,Babi,0
Wanayasa,2020,Kambing,0
Wanayasa,2020,Domba,0
Wanayasa,2021,Sapi,993
Wanayasa,2021,Kerbau,0
Wanayasa,2021,Kuda,0
Wanayasa,2021,Babi,0
Wanayasa,2021,Kambing,0
Wanayasa,2021,Domba,0
Wanayasa,2022,Sapi,1001
Wanayasa,2022,Kerbau,0
Wanayasa,2022,Kuda,0
Wanayasa,2022,Babi,0
Wanayasa,2022,Kambing,0
Wanayasa,2022,Domba,0
Wanayasa,2023,Sapi,1080
Wanayasa,2023,Kerbau,0
Wanayasa,2023,Kuda,0
Wanayasa,2023,Babi,0
Wanayasa,2023,Kambing,0
Wanayasa,2023,Domba,0
Wanayasa,2024,Sapi,1150
Wanayasa,2024,Kerbau,0
Wanayasa,2024,Kuda,0
Wanayasa,2024,Babi,0
Wanayasa,2024,Kambing,0
Wanayasa,2024,Domba,0
Jumlah,2018,Sapi,4101
Jumlah,2018,Kerbau,0
Jumlah,2018,Kuda,0
Jumlah,2018,Babi,0
Jumlah,2018,Kambing,0
Jumlah,2018,Domba,0
Jumlah,2019,Sapi,3766
Jumlah,2019,Kambing,0
Jumlah,2019,Domba,0
Jumlah,2020,Sapi,3678
Jumlah,2020,Kerbau,0
Jumlah,2020,Kuda,0
Jumlah,2020,Babi,0
Jumlah,2020,Kambing,0
Jumlah,2020,Domba,0
Jumlah,2021,Sapi,3937
Jumlah,2021,Kerbau,0
Jumlah,2021,Kuda,0
Jumlah,2021,Babi,0
Jumlah,2021,Kambing,0
Jumlah,2021,Domba,0
Jumlah,2022,Sapi,4145
Jumlah,2022,Kerbau,0
Jumlah,2022,Kuda,0
Jumlah,2022,Babi,0
Jumlah,2022,Kambing,0
Jumlah,2022,Domba,0
J u m l a h,2023,Sapi,4177
J u m l a h,2023,Kerbau,0
J u m l a h,2023,Kuda,0
J u m l a h,2023,Babi,0
J u m l a h,2023,Kambing,0
J u m l a h,2024,Sapi,4072
J u m l a h,2024,Kerbau,0
J u m l a h,2024,Kuda,0
J u m l a h,2024,Babi,0
J u m l a h,2024,Kambing,0
