kecamatan,tahun,metric,value
Susukan,2018,Ayam Kampung,52372
Susukan,2018,Ayam Ras Layer,531
Susukan,2018,Ayam Broiler,118000
Susukan,2018,Itik Biasa,4332
Susukan,2018,Itik Manila,3563
Susukan,2019,Ayam Kampung,52484
Susukan,2019,Ayam Broiler,35500
Susukan,2019,Itik Biasa,4860
Susukan,2019,Itik Manila,3717
Susukan,2020,Ayam Kampung,59397
Susukan,2020,Ayam Ras Layer,900
Susukan,2020,Ayam Broiler,35500
Susukan,2020,Itik Biasa,4923
Susukan,2020,Itik Manila,3727
Susukan,2021,Ayam Kampung,65289
Susukan,2021,Ayam Ras Layer,905
Susukan,2021,Ayam Broiler,157300
Susukan,2021,Itik Biasa,4980
Susukan,2021,Itik Manila,3731
Susukan,2022,Ayam Kampung,64792
Susukan,2022,Ayam Ras Layer,947
Susukan,2022,Ayam Broiler,156746
Susukan,2022,Itik Biasa,4943
Susukan,2022,Itik Manila,3745
Susukan,2023,Ayam Kampung,64792
Susukan,2023,Ayam Ras Layer,947
Susukan,2023,Ayam Broiler,156746
Susukan,2023,Itik Biasa,4943
Susukan,2023,Itik Manila,3745
Susukan,2024,Ayam Kampung,46698
Susukan,2024,Ayam Ras Layer,3866
Susukan,2024,Ayam Broiler,16576
Susukan,2024,Itik Biasa,2796
Susukan,2024,Itik Manila,5621
Purworejo Klampok,2018,Ayam Kampung,27966
Purworejo Klampok,2018,Ayam Ras Layer,200
Purworejo Klampok,2018,Ayam Broiler,265000
Purworejo Klampok,2018,Itik Biasa,614
Purworejo Klampok,2018,Itik Manila,360
Purworejo Klampok,2019,Ayam Kampung,27947
Purworejo Klampok,2019,Ayam Ras Layer,57000
Purworejo Klampok,2019,Ayam Broiler,32000
Purworejo Klampok,2019,Itik Biasa,983
Purworejo Klampok,2019,Itik Manila,351
Purworejo Klampok,2020,Ayam Kampung,28469
Purworejo Klampok,2020,Ayam Ras Layer,57000
Purworejo Klampok,2020,Ayam Broiler,32000
Purworejo Klampok,2020,Itik Biasa,984
Purworejo Klampok,2020,Itik Manila,351
Purworejo Klampok,2021,Ayam Kampung,31293
Purworejo Klampok,2021,Ayam Ras Layer,57307
Purworejo Klampok,2021,Ayam Broiler,141800
Purworejo Klampok,2021,Itik Biasa,995
Purworejo Klampok,2021,Itik Manila,351
Purworejo Klampok,2022,Ayam Kampung,30548
