kecamatan,tahun,metric,value
Susukan,2018,Luas Panen,100
Susukan,2018,Produksi,322.55
Susukan,2018,Rata-rata Produksi,32.25
Susukan,2019,Luas Panen,190.7
Susukan,2019,Produksi,829.55
Susukan,2019,Rata-rata Produksi,43.5
Susukan,2020,Luas Panen,210
Susukan,2020,Produksi,1050
Susukan,2020,Rata-rata Produksi,50
Susukan,2021,Luas Panen,150
Susukan,2021,Produksi,675
Susukan,2021,Rata-rata Produksi,45
Susukan,2022,Luas Panen,2384
Susukan,2022,Produksi,16140.68
Susukan,2022,Rata-rata Produksi,67.7
Susukan,2023,Luas Panen,2351
Susukan,2023,Produksi,14959
Susukan,2023,Rata-rata Produksi,63.63
Susukan,2024,Luas Panen,2476
Susukan,2024,Produksi,16805.77
Susukan,2024,Rata-rata Produksi,67.87
Purworejo Klampok,2018,Luas Panen,15
Purworejo Klampok,2018,Produksi,47.4
Purworejo Klampok,2018,Rata-rata Produksi,31.6
Purworejo Klampok,2019,Luas Panen,12.4
Purworejo Klampok,2019,Produksi,49.87
Purworejo Klampok,2019,Rata-rata Produksi,40.22
Purworejo Klampok,2020,Luas Panen,35
Purworejo Klampok,2020,Produksi,175
Purworejo Klampok,2020,Rata-rata Produksi,50
Purworejo Klampok,2021,Luas Panen,50
Purworejo Klampok,2021,Produksi,225
Purworejo Klampok,2021,Rata-rata Produksi,45
Purworejo Klampok,2022,Luas Panen,1558
Purworejo Klampok,2022,Produksi,10722
Purworejo Klampok,2022,Rata-rata Produksi,68.82
Purworejo Klampok,2023,Luas Panen,1538
Purworejo Klampok,2023,Produksi,10378.6
Purworejo Klampok,2023,Rata-rata Produksi,67.48
Purworejo Klampok,2024,Luas Panen,1568
Purworejo Klampok,2024,Produksi,11425.94
Purworejo Klampok,2024,Rata-rata Produksi,72.87
Mandiraja,2018,Luas Panen,425
Mandiraja,2018,Produksi,1398.01
Mandiraja,2018,Rata-rata Produksi,32.89
Mandiraja,2019,Luas Panen,398.6
Mandiraja,2019,Produksi,1811.24
Mandiraja,2019,Rata-rata Produksi,45.44
Mandiraja,2020,Luas Panen,290
Mandiraja,2020,Produksi,1450
Mandiraja,2020,Rata-rata Produksi,50
Mandiraja,2021,Luas Panen,200
Mandiraja,2021,Produksi,700
Mandiraja,2021,Rata-rata Produksi,35
Mandiraja,2022,Luas Panen,3385
Mandiraja,2022,Produksi,28440.27
Mandiraja,2022,Rata-rata Produksi,84.02
Mandiraja,2023,Luas Panen,2998
Mandiraja,2023,Produksi,22920
Mandiraja,2023,Rata-rata Produksi,76.45
Mandiraja,2024,Luas Panen,3362
Mandiraja,2024,Produksi,26543.23
Mandiraja,2024,Rata-rata Produksi,78.95
Purwonegoro,2018,Luas Panen,5
Purwonegoro,2018,Produksi,16.91
Purwonegoro,2018,Rata-rata Produksi,33.83
Purwonegoro,2019,Luas Panen,124
Purwonegoro,2019,Produksi,538.66
Purwonegoro,2019,Rata-rata Produksi,43.44
Purwonegoro,2020,Luas Panen,130
Purwonegoro,2020,Produksi,650
Purwonegoro,2020,Rata-rata Produksi,50
Purwonegoro,2021,Luas Panen,157
Purwonegoro,2021,Produksi,628
Purwonegoro,2021,Rata-rata Produksi,40
Purwonegoro,2022,Luas Panen,2455
Purwonegoro,2022,Produksi,19444.03
Purwonegoro,2022,Rata-rata Produksi,79.2
Purwonegoro,2023,Luas Panen,2717
Purwonegoro,2023,Produksi,21112
Purwonegoro,2023,Rata-rata Produksi,77.7
Purwonegoro,2024,Luas Panen,2366
Purwonegoro,2024,Produksi,18452.22
Purwonegoro,2024,Rata-rata Produksi,77.99
Bawang,2018,Luas Panen,0
Bawang,2018,Produksi,0
Bawang,2018,Rata-rata Produksi,0
Bawang,2019,Luas Panen,2229.3
Bawang,2019,Produksi,14454.95
Bawang,2019,Rata-rata Produksi,64.84
Bawang,2020,Luas Panen,75
Bawang,2020,Produksi,375
Bawang,2020,Rata-rata Produksi,50
Bawang,2021,Luas Panen,15
Bawang,2021,Produksi,52.5
Bawang,2021,Rata-rata Produksi,35
Bawang,2022,Luas Panen,2093
Bawang,2022,Produksi,13952.95
Bawang,2022,Rata-rata Produksi,66.66
Bawang,2023,Luas Panen,2009
Bawang,2023,Produksi,13199.1
Bawang,2023,Rata-rata Produksi,65.7
Bawang,2024,Luas Panen,2217.5
Bawang,2024,Produksi,14902.88
Bawang,2024,Rata-rata Produksi,67.21
Banjarnegara,2018,Luas Panen,0
Banjarnegara,2018,Produksi,0
Banjarnegara,2018,Rata-rata Produksi,0
Banjarnegara,2019,Luas Panen,858.2
Banjarnegara,2019,Produksi,5291.66
Banjarnegara,2019,Rata-rata Produksi,61.66
Banjarnegara,2020,Luas Panen,0
Banjarnegara,2020,Produksi,0
Banjarnegara,2020,Rata-rata Produksi,0
Banjarnegara,2021,Luas Panen,0
Banjarnegara,2021,Produksi,0
Banjarnegara,2021,Rata-rata Produksi,0
Banjarnegara,2022,Luas Panen,1023.2
Banjarnegara,2022,Produksi,6548.48
Banjarnegara,2022,Rata-rata Produksi,64
Banjarnegara,2023,Luas Panen,886
Banjarnegara,2023,Produksi,5671
Banjarnegara,2023,Rata-rata Produksi,64.01
Banjarnegara,2024,Luas Panen,696.88
Banjarnegara,2024,Produksi,4757.55
Banjarnegara,2024,Rata-rata Produksi,68.27
Pagedongan,2018,Luas Panen,0
Pagedongan,2018,Produksi,0
