kecamatan,tahun,metric,value
Susukan,2017,Kelapa Sawit (ha) 2017,0
Susukan,2017,Karet (ha) 2017,0
Susukan,2017,Kakao (ha) 2017,0
Susukan,2017,Tebu (ha) 2017,4.97
Susukan,2017,Teh (ha) 2017,0
Susukan,2017,Tembakau (ha) 2017,0
Susukan,2018,Kelapa Sawit (ha) 2018,0
Susukan,2018,Kelapa Dalam (ha) 2018,2331.42
Susukan,2018,Karet (ha) 2018,0
Susukan,2018,Kopi Robusta (ha) 2018,31.24
Susukan,2018,Kakao (ha) 2018,0
Susukan,2018,Tebu (ha) 2018,4.97
Susukan,2018,Teh (ha) 2018,0
Susukan,2018,Tembakau (ha) 2018,0
Susukan,2019,Kelapa Sawit (ha) 2019,0
Susukan,2019,Kelapa Dalam (ha) 2019,2336.42
Susukan,2019,Karet (ha) 2019,0
Susukan,2019,Kopi Robusta (ha) 2019,31.24
Susukan,2019,Kakao (ha) 2019,0
Susukan,2019,Tebu (ha) 2019,2
Susukan,2019,Teh (ha) 2019,0
Susukan,2019,Tembakau (ha) 2019,0
Susukan,2020,Kelapa Dalam (ha) 2020,2336.42
Susukan,2020,Karet (ha) 2020,0
Susukan,2020,Kopi Robusta (ha) 2020,31.24
Susukan,2020,Kakao (ha) 2020,0
Susukan,2020,Tebu (ha) 2020,0
Susukan,2020,Teh (ha) 2020,0
Susukan,2020,Tembakau (ha) 2020,0
Susukan,2021,Kelapa Sawit (ha) 2021,0
Susukan,2021,Kelapa Dalam (ha) 2021,2336.42
Susukan,2021,Karet (ha) 2021,0
Susukan,2021,Kopi Robusta (ha) 2021,31.24
Susukan,2021,Kakao (ha) 2021,0
Susukan,2021,Tebu (ha) 2021,0
Susukan,2021,Teh (ha) 2021,0
Susukan,2021,Tembakau (ha) 2021,0
Susukan,2021,Kopi Arabica (ha) 2021,0
Susukan,2022,Kelapa Sawit (ha) 2022,0
Susukan,2022,Kelapa Dalam (ha) 2022,2336.42
Susukan,2022,Karet (ha) 2022,0
Susukan,2022,Kopi Robusta (ha) 2022,31.24
Susukan,2022,Kakao (ha) 2022,0
Susukan,2022,Tebu (ha) 2022,0
Susukan,2022,Teh (ha) 2022,0
Susukan,2022,Tembakau (ha) 2022,0
Susukan,2022,Kopi Arabica (ha) 2022,0
Susukan,2023,Kelapa Sawit (ha) 2023,0
Susukan,2023,Kelapa Dalam (ha) 2023,2343.22
Susukan,2023,Karet (ha) 2023,0
Susukan,2023,Kopi Robusta (ha) 2023,32.56
Susukan,2023,Kakao (ha) 2023,0
Susukan,2023,Tebu (ha) 2023,0
Susukan,2023,Teh (ha) 2023,0
Susukan,2023,Tembakau (ha) 2023,0
Susukan,2023,Kopi Arabica (ha) 2023,0
Susukan,2024,Kelapa Sawit (ha) 2024,0
Susukan,2024,Kelapa Dalam (ha) 2024,2343.22
Susukan,2024,Karet (ha) 2024,0
Susukan,2024,Kopi Robusta (ha) 2024,32.56
Susukan,2024,Kakao (ha) 2024,0
Susukan,2024,Tebu (ha) 2024,0
Susukan,2024,Teh (ha) 2024,0
Susukan,2024,Tembakau (ha) 2024,0
Susukan,2024,Kopi Arabica (ha) 2024,0
Purworejo Klampok,2017,Kelapa Sawit (ha) 2017,0
Purworejo Klampok,2017,Karet (ha) 2017,0
Purworejo Klampok,2017,Kakao (ha) 2017,0
Purworejo Klampok,2017,Tebu (ha) 2017,0
Purworejo Klampok,2017,Teh (ha) 2017,0
Purworejo Klampok,2017,Tembakau (ha) 2017,0
Purworejo Klampok,2018,Kelapa Sawit (ha) 2018,0
Purworejo Klampok,2018,Kelapa Dalam (ha) 2018,238.36
Purworejo Klampok,2018,Karet (ha) 2018,0
Purworejo Klampok,2018,Kopi Robusta (ha) 2018,4.41
Purworejo Klampok,2018,Kakao (ha) 2018,0
Purworejo Klampok,2018,Tebu (ha) 2018,0
Purworejo Klampok,2018,Teh (ha) 2018,0
Purworejo Klampok,2018,Tembakau (ha) 2018,0
Purworejo Klampok,2019,Kelapa Sawit (ha) 2019,0
Purworejo Klampok,2019,Kelapa Dalam (ha) 2019,249.12
Purworejo Klampok,2019,Karet (ha) 2019,0
Purworejo Klampok,2019,Kopi Robusta (ha) 2019,4.41
Purworejo Klampok,2019,Kakao (ha) 2019,0
Purworejo Klampok,2019,Tebu (ha) 2019,0
Purworejo Klampok,2019,Teh (ha) 2019,0
Purworejo Klampok,2019,Tembakau (ha) 2019,0
Purworejo Klampok,2020,Kelapa Dalam (ha) 2020,255.12
Purworejo Klampok,2020,Karet (ha) 2020,0
Purworejo Klampok,2020,Kopi Robusta (ha) 2020,4.41
Purworejo Klampok,2020,Kakao (ha) 2020,0
Purworejo Klampok,2020,Tebu (ha) 2020,0
Purworejo Klampok,2020,Teh (ha) 2020,0
Purworejo Klampok,2020,Tembakau (ha) 2020,0
Purworejo Klampok,2021,Kelapa Sawit (ha) 2021,0
Purworejo Klampok,2021,Kelapa Dalam (ha) 2021,255.12
Purworejo Klampok,2021,Karet (ha) 2021,0
Purworejo Klampok,2021,Kopi Robusta (ha) 2021,4.41
Purworejo Klampok,2021,Kakao (ha) 2021,0
Purworejo Klampok,2021,Tebu (ha) 2021,0
Purworejo Klampok,2021,Teh (ha) 2021,0
Purworejo Klampok,2021,Tembakau (ha) 2021,0
Purworejo Klampok,2021,Kopi Arabica (ha) 2021,0
Purworejo Klampok,2022,Kelapa Sawit (ha) 2022,0
Purworejo Klampok,2022,Kelapa Dalam (ha) 2022,255.12
Purworejo Klampok,2022,Karet (ha) 2022,0
Purworejo Klampok,2022,Kopi Robusta (ha) 2022,4.41
Purworejo Klampok,2022,Kakao (ha) 2022,0
Purworejo Klampok,2022,Tebu (ha) 2022,0
Purworejo Klampok,2022,Teh (ha) 2022,0
Purworejo Klampok,2022,Tembakau (ha) 2022,0
Purworejo Klampok,2022,Kopi Arabica (ha) 2022,0
Purworejo Klampok,2023,Kelapa Sawit (ha) 2023,0
Purworejo Klampok,2023,Kelapa Dalam (ha) 2023,255.12
Purworejo Klampok,2023,Karet (ha) 2023,0
Purworejo Klampok,2023,Kopi Robusta (ha) 2023,4.41
Purworejo Klampok,2023,Kakao (ha) 2023,0
Purworejo Klampok,2023,Tebu (ha) 2023,0
Purworejo Klampok,2023,Teh (ha) 2023,0
Purworejo Klampok,2023,Tembakau (ha) 2023,0
Purworejo Klampok,2023,Kopi Arabica (ha) 2023,0
Purworejo Klampok,2024,Kelapa Sawit (ha) 2024,0
Purworejo Klampok,2024,Kelapa Dalam (ha) 2024,235.14
Purworejo Klampok,2024,Karet (ha) 2024,0
Purworejo Klampok,2024,Kopi Robusta (ha) 2024,4.41
Purworejo Klampok,2024,Kakao (ha) 2024,0
Purworejo Klampok,2024,Tebu (ha) 2024,0
Purworejo Klampok,2024,Teh (ha) 2024,0
Purworejo Klampok,2024,Tembakau (ha) 2024,0
Purworejo Klampok,2024,Kopi Arabica (ha) 2024,0
Mandiraja,2017,Kelapa Sawit (ha) 2017,0
Mandiraja,2017,Karet (ha) 2017,1
