jenis_tanaman,tahun,metric,value
Dringo,2016,Luas Panen (m2),0
Dringo,2018,Luas Panen (m2),0
Dringo,2019,Luas Panen (m2),0
Dringo,2020,Luas Panen (m2),25
Dringo,2021,Luas Panen (m2),0
Dringo,2022,Luas Panen (m2),31
Dringo,2023,Luas Panen (m2),0
Dringo,2024,Luas Panen (m2),0
Jahe,2016,Luas Panen (m2),0
Jahe,2018,Luas Panen (m2),186365
Jahe,2019,Luas Panen (m2),243935
Jahe,2020,Luas Panen (m2),14100
Jahe,2021,Luas Panen (m2),322765
Jahe,2022,Luas Panen (m2),305040
Jahe,2023,Luas Panen (m2),181603
Jahe,2024,Luas Panen (m2),245175
Kapulaga,2016,Luas Panen (m2),608.75
Kapulaga,2018,Luas Panen (m2),27209
Kapulaga,2019,Luas Panen (m2),46686
Kapulaga,2020,Luas Panen (m2),35200
Kapulaga,2021,Luas Panen (m2),84500
Kapulaga,2022,Luas Panen (m2),1555619
Kapulaga,2023,Luas Panen (m2),1429506
Kapulaga,2024,Luas Panen (m2),1328464
Kencur,2016,Luas Panen (m2),0
Kencur,2018,Luas Panen (m2),86229
Kencur,2019,Luas Panen (m2),86155
Kencur,2020,Luas Panen (m2),77227
Kencur,2021,Luas Panen (m2),73200
Kencur,2022,Luas Panen (m2),59427
Kencur,2023,Luas Panen (m2),175323
Kencur,2024,Luas Panen (m2),75977
Kunyit,2016,Luas Panen (m2),0
Kunyit,2018,Luas Panen (m2),70776
Kunyit,2019,Luas Panen (m2),77051
Kunyit,2020,Luas Panen (m2),100485
Kunyit,2021,Luas Panen (m2),91176
Kunyit,2022,Luas Panen (m2),102685
Kunyit,2023,Luas Panen (m2),27540
Kunyit,2024,Luas Panen (m2),103803
Laos,2016,Luas Panen (m2),0
Laos,2018,Luas Panen (m2),5800
Laos,2019,Luas Panen (m2),38204
Laos,2020,Luas Panen (m2),8910
Laos,2021,Luas Panen (m2),29605
Laos,2022,Luas Panen (m2),97340
Laos,2023,Luas Panen (m2),6736
Laos,2024,Luas Panen (m2),103803
Lempuyang,2016,Luas Panen (m2),0
Lempuyang,2018,Luas Panen (m2),10625
Lempuyang,2019,Luas Panen (m2),1142
Lempuyang,2020,Luas Panen (m2),13290
Lempuyang,2021,Luas Panen (m2),2600
Lempuyang,2022,Luas Panen (m2),2500
Lempuyang,2023,Luas Panen (m2),15600
Lempuyang,2024,Luas Panen (m2),11500
Lidah Buaya,2016,Luas Panen (m2),0
Lidah Buaya,2018,Luas Panen (m2),0
Lidah Buaya,2019,Luas Panen (m2),0
Lidah Buaya,2020,Luas Panen (m2),1000
Lidah Buaya,2021,Luas Panen (m2),0
Lidah Buaya,2022,Luas Panen (m2),0
Lidah Buaya,2023,Luas Panen (m2),0
Lidah Buaya,2024,Luas Panen (m2),0
Mengkudu,2016,Luas Panen (m2),0
Mengkudu,2018,Luas Panen (m2),0
Mengkudu,2019,Luas Panen (m2),0
Mengkudu,2020,Luas Panen (m2),0
Mengkudu,2021,Luas Panen (m2),1500
Mengkudu,2022,Luas Panen (m2),0
Mengkudu,2023,Luas Panen (m2),0
Mengkudu,2024,Luas Panen (m2),0
Temuireng,2016,Luas Panen (m2),0
Temuireng,2018,Luas Panen (m2),0
Temuireng,2019,Luas Panen (m2),1116
Temuireng,2020,Luas Panen (m2),6616
Temuireng,2021,Luas Panen (m2),0
Temuireng,2022,Luas Panen (m2),0
Temuireng,2023,Luas Panen (m2),0
Temuireng,2024,Luas Panen (m2),0
Temukunci,2016,Luas Panen (m2),0
Temukunci,2018,Luas Panen (m2),25
Temukunci,2019,Luas Panen (m2),0
Temukunci,2020,Luas Panen (m2),15170
Temukunci,2021,Luas Panen (m2),0
Temukunci,2022,Luas Panen (m2),0
Temukunci,2023,Luas Panen (m2),0
Temukunci,2024,Luas Panen (m2),0
Temulawak,2016,Luas Panen (m2),0
Temulawak,2018,Luas Panen (m2),1146
Temulawak,2019,Luas Panen (m2),1915
Temulawak,2020,Luas Panen (m2),6785
Temulawak,2021,Luas Panen (m2),0
Temulawak,2022,Luas Panen (m2),0
Temulawak,2023,Luas Panen (m2),407915
Temulawak,2024,Luas Panen (m2),2224
Sambiloto,2016,Luas Panen (m2),0
Sambiloto,2018,Luas Panen (m2),250
Sambiloto,2019,Luas Panen (m2),2425
Sambiloto,2020,Luas Panen (m2),2150
Sambiloto,2021,Luas Panen (m2),0
Sambiloto,2022,Luas Panen (m2),5800
Sambiloto,2023,Luas Panen (m2),400
Sambiloto,2024,Luas Panen (m2),0
