kecamatan,tahun,metric,value
Susukan,2019,Jahe (m2) 2019,696
Susukan,2019,Laos (m2) 2019,2198
Susukan,2019,Kencur (m2) 2019,818
Susukan,2019,Kunyit (m2) 2019,4000
Susukan,2020,Jahe (m2) 2020,0
Susukan,2020,Laos (m2) 2020,0
Susukan,2020,Kencur (m2) 2020,9400
Susukan,2020,Kunyit (m2) 2020,46000
Susukan,2021,Jahe (m2) 2021,0
Susukan,2021,Laos (m2) 2021,0
Susukan,2021,Kencur (m2) 2021,0
Susukan,2021,Kunyit (m2) 2021,0
Susukan,2022,Jahe (m2) 2022,9000
Susukan,2022,Laos (m2) 2022,0
Susukan,2022,Kencur (m2) 2022,10000
Susukan,2022,Kunyit (m2) 2022,0
Susukan,2023,Jahe (m2) 2023,3000
Susukan,2023,Laos (m2) 2023,0
Susukan,2023,Kencur (m2) 2023,1825
Susukan,2023,Kunyit (m2) 2023,1400
Susukan,2024,Jahe (m2) 2024,3000
Susukan,2024,Laos (m2) 2024,0
Susukan,2024,Kencur (m2) 2024,3647
Susukan,2024,Kunyit (m2) 2024,2800
Purworejo Klampok,2019,Jahe (m2) 2019,0
Purworejo Klampok,2019,Laos (m2) 2019,0
Purworejo Klampok,2019,Kencur (m2) 2019,0
Purworejo Klampok,2019,Kunyit (m2) 2019,0
Purworejo Klampok,2020,Jahe (m2) 2020,0
Purworejo Klampok,2020,Laos (m2) 2020,0
Purworejo Klampok,2020,Kencur (m2) 2020,0
Purworejo Klampok,2020,Kunyit (m2) 2020,0
Purworejo Klampok,2021,Jahe (m2) 2021,0
Purworejo Klampok,2021,Laos (m2) 2021,0
Purworejo Klampok,2021,Kencur (m2) 2021,0
Purworejo Klampok,2021,Kunyit (m2) 2021,0
Purworejo Klampok,2022,Jahe (m2) 2022,0
Purworejo Klampok,2022,Laos (m2) 2022,0
Purworejo Klampok,2022,Kencur (m2) 2022,0
Purworejo Klampok,2022,Kunyit (m2) 2022,0
Purworejo Klampok,2023,Jahe (m2) 2023,0
Purworejo Klampok,2023,Laos (m2) 2023,0
Purworejo Klampok,2023,Kencur (m2) 2023,0
Purworejo Klampok,2023,Kunyit (m2) 2023,0
Purworejo Klampok,2024,Jahe (m2) 2024,0
