jenis_tanaman,tahun,metric,value
Agloenema,2018,Luas Panen (m2),0
Agloenema,2019,Luas Panen (m2),0
Agloenema,2020,Luas Panen (m2),0
Agloenema,2021,Luas Panen (m2),180
Agloenema,2022,Luas Panen (m2),98
Agloenema,2023,Luas Panen (m2),69
Agloenema,2024,Luas Panen (m2),47
Anthurium Daun,2018,Luas Panen (m2),37
Anthurium Daun,2019,Luas Panen (m2),0
Anthurium Daun,2020,Luas Panen (m2),0
Anthurium Daun,2021,Luas Panen (m2),21
Anthurium Daun,2022,Luas Panen (m2),84
Anthurium Daun,2023,Luas Panen (m2),0
Anthurium Daun,2024,Luas Panen (m2),0
Caladium,2018,Luas Panen (m2),0
Caladium,2019,Luas Panen (m2),0
Caladium,2020,Luas Panen (m2),0
Caladium,2021,Luas Panen (m2),0
Caladium,2022,Luas Panen (m2),2000
Caladium,2023,Luas Panen (m2),0
Caladium,2024,Luas Panen (m2),0
Pakis,2018,Luas Panen (m2),0
Pakis,2019,Luas Panen (m2),0
Pakis,2020,Luas Panen (m2),0
Pakis,2021,Luas Panen (m2),1
Pakis,2022,Luas Panen (m2),2
Pakis,2023,Luas Panen (m2),0
Pakis,2024,Luas Panen (m2),8
Sansievera Pedang-Pedangan,2018,Luas Panen (m2),0
Sansievera Pedang-Pedangan,2019,Luas Panen (m2),0
Sansievera Pedang-Pedangan,2020,Luas Panen (m2),0
Sansievera Pedang-Pedangan,2021,Luas Panen (m2),47
Sansievera Pedang-Pedangan,2022,Luas Panen (m2),30
Sansievera Pedang-Pedangan,2023,Luas Panen (m2),18
Sansievera Pedang-Pedangan,2024,Luas Panen (m2),5
Soka,2018,Luas Panen (m2),0
Soka,2019,Luas Panen (m2),0
Soka,2020,Luas Panen (m2),0
Soka,2021,Luas Panen (m2),80
Soka,2022,Luas Panen (m2),0
Soka,2023,Luas Panen (m2),0
Soka,2024,Luas Panen (m2),0
Krisan,2018,Luas Panen (m2),0
Krisan,2019,Luas Panen (m2),0
Krisan,2020,Luas Panen (m2),0
Krisan,2021,Luas Panen (m2),0
Krisan,2022,Luas Panen (m2),0
Krisan,2023,Luas Panen (m2),0
Krisan,2024,Luas Panen (m2),0
Mawar,2018,Luas Panen (m2),0
Mawar,2019,Luas Panen (m2),0
Mawar,2020,Luas Panen (m2),0
Mawar,2021,Luas Panen (m2),0
Mawar,2022,Luas Panen (m2),0
Mawar,2023,Luas Panen (m2),0
Mawar,2024,Luas Panen (m2),0
Melati,2018,Luas Panen (m2),136
Melati,2019,Luas Panen (m2),0
Melati,2020,Luas Panen (m2),0
Melati,2021,Luas Panen (m2),88
Melati,2022,Luas Panen (m2),140
Melati,2023,Luas Panen (m2),0
Melati,2024,Luas Panen (m2),0
Palem,2018,Luas Panen (m2),28
Palem,2019,Luas Panen (m2),0
Palem,2020,Luas Panen (m2),0
Palem,2021,Luas Panen (m2),84
Palem,2022,Luas Panen (m2),61
Palem,2023,Luas Panen (m2),44
Palem,2024,Luas Panen (m2),20
Pisang-pisangan,2018,Luas Panen (m2),0
Pisang-pisangan,2019,Luas Panen (m2),0
Pisang-pisangan,2020,Luas Panen (m2),0
Pisang-pisangan,2021,Luas Panen (m2),0
Pisang-pisangan,2022,Luas Panen (m2),0
Pisang-pisangan,2023,Luas Panen (m2),0
Pisang-pisangan,2024,Luas Panen (m2),0
Sedap Malam,2018,Luas Panen (m2),0
Sedap Malam,2019,Luas Panen (m2),0
Sedap Malam,2020,Luas Panen (m2),0
Sedap Malam,2021,Luas Panen (m2),0
Sedap Malam,2022,Luas Panen (m2),0
Sedap Malam,2023,Luas Panen (m2),0
Sedap Malam,2024,Luas Panen (m2),0
