kecamatan,tahun,metric,value
Susukan,2017,Bawang Merah (ha) 2017,0
Susukan,2017,Cabai Besar (ha) 2017,0
Susukan,2017,Kentang (ha) 2017,0
Susukan,2017,Kubis (ha) 2017,0
Susukan,2017,Petsai (ha) 2017,0
Susukan,2017,Tomat (ha) 2017,0
Susukan,2017,Bawang Putih (ha) 2017,0
Susukan,2017,Cabai Rawit (ha) 2017,0
Susukan,2018,Bawang Merah (ha) 2018,0
Susukan,2018,Cabai Besar (ha) 2018,10
Susukan,2018,Kentang (ha) 2018,0
Susukan,2018,Kubis (ha) 2018,0
Susukan,2018,Petsai (ha) 2018,0
Susukan,2018,Tomat (ha) 2018,0
Susukan,2018,Bawang Putih (ha) 2018,0
Susukan,2018,Cabai Rawit (ha) 2018,0
Susukan,2019,Bawang Merah (ha) 2019,0
Susukan,2019,Cabai Besar (ha) 2019,0
Susukan,2019,Kentang (ha) 2019,0
Susukan,2019,Kubis (ha) 2019,0
Susukan,2019,Petsai (ha) 2019,0
Susukan,2019,Tomat (ha) 2019,0
Susukan,2019,Bawang Putih (ha) 2019,0
Susukan,2019,Cabai Rawit (ha) 2019,1
Susukan,2020,Bawang Merah (ha) 2020,0
Susukan,2020,Cabai Besar (ha) 2020,0
Susukan,2020,Kentang (ha) 2020,0
Susukan,2020,Kubis (ha) 2020,0
Susukan,2020,Petsai (ha) 2020,0
Susukan,2020,Tomat (ha) 2020,0
Susukan,2020,Bawang Putih (ha) 2020,0
Susukan,2020,Cabai Rawit (ha) 2020,0
Susukan,2021,Bawang Merah (ha) 2021,0
Susukan,2021,Cabai Besar (ha) 2021,0
Susukan,2021,Kentang (ha) 2021,0
Susukan,2021,Kubis (ha) 2021,0
Susukan,2021,Petsai (ha) 2021,0
Susukan,2021,Tomat (ha) 2021,0
Susukan,2021,Bawang Putih (ha) 2021,0
Susukan,2021,Cabai Rawit (ha) 2021,0
Susukan,2022,Bawang Merah (ha) 2022,0
Susukan,2022,Cabai Besar (ha) 2022,0
Susukan,2022,Kentang (ha) 2022,0
Susukan,2022,Kubis (ha) 2022,0
Susukan,2022,Petsai (ha) 2022,0
Susukan,2022,Tomat (ha) 2022,0
Susukan,2022,Bawang Putih (ha) 2022,0
Susukan,2022,Cabai Rawit (ha) 2022,0
Susukan,2023,Bawang Merah (ha) 2023,0
Susukan,2023,Cabai Besar (ha) 2023,0
Susukan,2023,Kentang (ha) 2023,0
Susukan,2023,Tomat (ha) 2023,0
Susukan,2023,Bawang Putih (ha) 2023,0
Susukan,2024,Bawang Merah (ha) 2024,0
Susukan,2024,Cabai Besar (ha) 2024,0
Susukan,2024,Kentang (ha) 2024,0
Susukan,2024,Petsai (ha) 2024,0
Susukan,2024,Tomat (ha) 2024,0
Susukan,2024,Bawang Putih (ha) 2024,0
Susukan,2024,Cabai Rawit (ha) 2024,0
Purworejo Klampok,2017,Bawang Merah (ha) 2017,0
Purworejo Klampok,2017,Cabai Besar (ha) 2017,0
Purworejo Klampok,2017,Kentang (ha) 2017,0
Purworejo Klampok,2017,Kubis (ha) 2017,0
Purworejo Klampok,2017,Petsai (ha) 2017,0
Purworejo Klampok,2017,Tomat (ha) 2017,0
Purworejo Klampok,2017,Bawang Putih (ha) 2017,0
Purworejo Klampok,2017,Cabai Rawit (ha) 2017,0
Purworejo Klampok,2018,Bawang Merah (ha) 2018,0
Purworejo Klampok,2018,Cabai Besar (ha) 2018,0
Purworejo Klampok,2018,Kentang (ha) 2018,0
Purworejo Klampok,2018,Kubis (ha) 2018,0
Purworejo Klampok,2018,Petsai (ha) 2018,0
Purworejo Klampok,2018,Tomat (ha) 2018,0
Purworejo Klampok,2018,Bawang Putih (ha) 2018,0
Purworejo Klampok,2018,Cabai Rawit (ha) 2018,0
Purworejo Klampok,2019,Bawang Merah (ha) 2019,0
Purworejo Klampok,2019,Cabai Besar (ha) 2019,0
Purworejo Klampok,2019,Kentang (ha) 2019,0
Purworejo Klampok,2019,Kubis (ha) 2019,0
Purworejo Klampok,2019,Petsai (ha) 2019,0
Purworejo Klampok,2019,Tomat (ha) 2019,0
Purworejo Klampok,2019,Bawang Putih (ha) 2019,0
Purworejo Klampok,2019,Cabai Rawit (ha) 2019,0
Purworejo Klampok,2020,Bawang Merah (ha) 2020,0
Purworejo Klampok,2020,Cabai Besar (ha) 2020,0
Purworejo Klampok,2020,Kentang (ha) 2020,0
Purworejo Klampok,2020,Kubis (ha) 2020,0
Purworejo Klampok,2020,Petsai (ha) 2020,0
Purworejo Klampok,2020,Tomat (ha) 2020,0
Purworejo Klampok,2020,Bawang Putih (ha) 2020,0
Purworejo Klampok,2020,Cabai Rawit (ha) 2020,0
Purworejo Klampok,2021,Bawang Merah (ha) 2021,0
Purworejo Klampok,2021,Cabai Besar (ha) 2021,0
Purworejo Klampok,2021,Kentang (ha) 2021,0
Purworejo Klampok,2021,Kubis (ha) 2021,0
Purworejo Klampok,2021,Petsai (ha) 2021,0
Purworejo Klampok,2021,Tomat (ha) 2021,0
Purworejo Klampok,2021,Bawang Putih (ha) 2021,0
Purworejo Klampok,2021,Cabai Rawit (ha) 2021,0
Purworejo Klampok,2022,Bawang Merah (ha) 2022,0
Purworejo Klampok,2022,Cabai Besar (ha) 2022,0
Purworejo Klampok,2022,Kentang (ha) 2022,0
Purworejo Klampok,2022,Kubis (ha) 2022,0
Purworejo Klampok,2022,Petsai (ha) 2022,0
Purworejo Klampok,2022,Tomat (ha) 2022,0
Purworejo Klampok,2022,Bawang Putih (ha) 2022,0
Purworejo Klampok,2022,Cabai Rawit (ha) 2022,0
Purworejo Klampok,2023,Bawang Merah (ha) 2023,0
Purworejo Klampok,2023,Cabai Besar (ha) 2023,0
Purworejo Klampok,2023,Kentang (ha) 2023,0
Purworejo Klampok,2023,Tomat (ha) 2023,0
Purworejo Klampok,2023,Bawang Putih (ha) 2023,0
Purworejo Klampok,2024,Bawang Merah (ha) 2024,0
Purworejo Klampok,2024,Cabai Besar (ha) 2024,1
Purworejo Klampok,2024,Kentang (ha) 2024,0
Purworejo Klampok,2024,Petsai (ha) 2024,0
Purworejo Klampok,2024,Tomat (ha) 2024,0
Purworejo Klampok,2024,Bawang Putih (ha) 2024,0
Purworejo Klampok,2024,Cabai Rawit (ha) 2024,2
Mandiraja,2017,Bawang Merah (ha) 2017,0
Mandiraja,2017,Cabai Besar (ha) 2017,0
Mandiraja,2017,Kentang (ha) 2017,0
Mandiraja,2017,Kubis (ha) 2017,0
Mandiraja,2017,Petsai (ha) 2017,0
Mandiraja,2017,Tomat (ha) 2017,0
Mandiraja,2017,Bawang Putih (ha) 2017,0
Mandiraja,2017,Cabai Rawit (ha) 2017,0
Mandiraja,2018,Bawang Merah (ha) 2018,0
Mandiraja,2018,Cabai Besar (ha) 2018,6
Mandiraja,2018,Kentang (ha) 2018,0
Mandiraja,2018,Kubis (ha) 2018,0
Mandiraja,2018,Petsai (ha) 2018,0
Mandiraja,2018,Tomat (ha) 2018,0
Mandiraja,2018,Bawang Putih (ha) 2018,0
Mandiraja,2018,Cabai Rawit (ha) 2018,10
Mandiraja,2019,Bawang Merah (ha) 2019,0
Mandiraja,2019,Cabai Besar (ha) 2019,18
Mandiraja,2019,Kentang (ha) 2019,0
Mandiraja,2019,Kubis (ha) 2019,0
Mandiraja,2019,Petsai (ha) 2019,0
Mandiraja,2019,Tomat (ha) 2019,0
Mandiraja,2019,Bawang Putih (ha) 2019,0
Mandiraja,2019,Cabai Rawit (ha) 2019,7
Mandiraja,2020,Bawang Merah (ha) 2020,0
Mandiraja,2020,Cabai Besar (ha) 2020,10
Mandiraja,2020,Kentang (ha) 2020,0
Mandiraja,2020,Kubis (ha) 2020,0
Mandiraja,2020,Petsai (ha) 2020,0
Mandiraja,2020,Tomat (ha) 2020,0
Mandiraja,2020,Bawang Putih (ha) 2020,0
Mandiraja,2020,Cabai Rawit (ha) 2020,2
Mandiraja,2021,Bawang Merah (ha) 2021,7
Mandiraja,2021,Cabai Besar (ha) 2021,15
Mandiraja,2021,Kentang (ha) 2021,0
Mandiraja,2021,Kubis (ha) 2021,0
Mandiraja,2021,Petsai (ha) 2021,0
Mandiraja,2021,Tomat (ha) 2021,0
Mandiraja,2021,Bawang Putih (ha) 2021,0
Mandiraja,2021,Cabai Rawit (ha) 2021,3
Mandiraja,2022,Bawang Merah (ha) 2022,1
Mandiraja,2022,Cabai Besar (ha) 2022,37
Mandiraja,2022,Kentang (ha) 2022,0
Mandiraja,2022,Kubis (ha) 2022,0
Mandiraja,2022,Petsai (ha) 2022,0
Mandiraja,2022,Tomat (ha) 2022,0
Mandiraja,2022,Bawang Putih (ha) 2022,0
Mandiraja,2022,Cabai Rawit (ha) 2022,4
Mandiraja,2023,Bawang Merah (ha) 2023,1
Mandiraja,2023,Cabai Besar (ha) 2023,13.5
Mandiraja,2023,Kentang (ha) 2023,0
Mandiraja,2023,Tomat (ha) 2023,0
Mandiraja,2023,Bawang Putih (ha) 2023,0
Mandiraja,2023,Cabai Rawit (ha) 2023,1
Mandiraja,2024,Bawang Merah (ha) 2024,0
Mandiraja,2024,Cabai Besar (ha) 2024,56
Mandiraja,2024,Kentang (ha) 2024,0
Mandiraja,2024,Petsai (ha) 2024,0
Mandiraja,2024,Tomat (ha) 2024,0
Mandiraja,2024,Bawang Putih (ha) 2024,0
Mandiraja,2024,Cabai Rawit (ha) 2024,6
Purwonegoro,2017,Bawang Merah (ha) 2017,0
Purwonegoro,2017,Cabai Besar (ha) 2017,0
Purwonegoro,2017,Kentang (ha) 2017,0
Purwonegoro,2017,Kubis (ha) 2017,0
Purwonegoro,2017,Petsai (ha) 2017,0
Purwonegoro,2017,Tomat (ha) 2017,8
Purwonegoro,2017,Bawang Putih (ha) 2017,0
Purwonegoro,2017,Cabai Rawit (ha) 2017,0
Purwonegoro,2018,Bawang Merah (ha) 2018,0
Purwonegoro,2018,Cabai Besar (ha) 2018,598
Purwonegoro,2018,Kentang (ha) 2018,0
Purwonegoro,2018,Kubis (ha) 2018,0
Purwonegoro,2018,Petsai (ha) 2018,0
Purwonegoro,2018,Tomat (ha) 2018,14
Purwonegoro,2018,Bawang Putih (ha) 2018,0
Purwonegoro,2018,Cabai Rawit (ha) 2018,22
Purwonegoro,2019,Bawang Merah (ha) 2019,12
Purwonegoro,2019,Cabai Besar (ha) 2019,891
Purwonegoro,2019,Kentang (ha) 2019,0
Purwonegoro,2019,Kubis (ha) 2019,0
Purwonegoro,2019,Petsai (ha) 2019,0
Purwonegoro,2019,Tomat (ha) 2019,49
Purwonegoro,2019,Bawang Putih (ha) 2019,0
Purwonegoro,2019,Cabai Rawit (ha) 2019,47
Purwonegoro,2020,Bawang Merah (ha) 2020,3
Purwonegoro,2020,Cabai Besar (ha) 2020,782
Purwonegoro,2020,Kentang (ha) 2020,0
Purwonegoro,2020,Kubis (ha) 2020,0
Purwonegoro,2020,Petsai (ha) 2020,0
Purwonegoro,2020,Tomat (ha) 2020,35
Purwonegoro,2020,Bawang Putih (ha) 2020,0
Purwonegoro,2020,Cabai Rawit (ha) 2020,38
Purwonegoro,2021,Bawang Merah (ha) 2021,3
Purwonegoro,2021,Cabai Besar (ha) 2021,528
Purwonegoro,2021,Kentang (ha) 2021,0
Purwonegoro,2021,Kubis (ha) 2021,0
Purwonegoro,2021,Petsai (ha) 2021,0
Purwonegoro,2021,Tomat (ha) 2021,17
Purwonegoro,2021,Bawang Putih (ha) 2021,0
Purwonegoro,2021,Cabai Rawit (ha) 2021,16
Purwonegoro,2022,Bawang Merah (ha) 2022,2
Purwonegoro,2022,Cabai Besar (ha) 2022,639
Purwonegoro,2022,Kentang (ha) 2022,0
Purwonegoro,2022,Kubis (ha) 2022,0
Purwonegoro,2022,Petsai (ha) 2022,0
Purwonegoro,2022,Tomat (ha) 2022,26
Purwonegoro,2022,Bawang Putih (ha) 2022,0
Purwonegoro,2022,Cabai Rawit (ha) 2022,38
Purwonegoro,2023,Bawang Merah (ha) 2023,9
Purwonegoro,2023,Cabai Besar (ha) 2023,353
Purwonegoro,2023,Kentang (ha) 2023,0
Purwonegoro,2023,Tomat (ha) 2023,13
Purwonegoro,2023,Bawang Putih (ha) 2023,0
Purwonegoro,2023,Cabai Rawit (ha) 2023,43
Purwonegoro,2024,Bawang Merah (ha) 2024,0
Purwonegoro,2024,Cabai Besar (ha) 2024,144.7
Purwonegoro,2024,Kentang (ha) 2024,0
Purwonegoro,2024,Kubis (ha) 2024,0
Purwonegoro,2024,Petsai (ha) 2024,0
Purwonegoro,2024,Tomat (ha) 2024,14.5
Purwonegoro,2024,Bawang Putih (ha) 2024,0
Purwonegoro,2024,Cabai Rawit (ha) 2024,382.5
Bawang,2017,Bawang Merah (ha) 2017,0
Bawang,2017,Cabai Besar (ha) 2017,0
Bawang,2017,Kentang (ha) 2017,0
Bawang,2017,Kubis (ha) 2017,0
Bawang,2017,Petsai (ha) 2017,0
Bawang,2017,Tomat (ha) 2017,17
Bawang,2017,Bawang Putih (ha) 2017,0
Bawang,2017,Cabai Rawit (ha) 2017,0
Bawang,2018,Bawang Merah (ha) 2018,0
Bawang,2018,Cabai Besar (ha) 2018,75
Bawang,2018,Kentang (ha) 2018,0
Bawang,2018,Kubis (ha) 2018,0
Bawang,2018,Petsai (ha) 2018,0
Bawang,2018,Tomat (ha) 2018,33
Bawang,2018,Bawang Putih (ha) 2018,0
Bawang,2018,Cabai Rawit (ha) 2018,59
Bawang,2019,Bawang Merah (ha) 2019,1
Bawang,2019,Cabai Besar (ha) 2019,99
Bawang,2019,Kentang (ha) 2019,0
Bawang,2019,Kubis (ha) 2019,0
Bawang,2019,Petsai (ha) 2019,0
Bawang,2019,Tomat (ha) 2019,36
Bawang,2019,Bawang Putih (ha) 2019,0
Bawang,2019,Cabai Rawit (ha) 2019,210
Bawang,2020,Bawang Merah (ha) 2020,7
Bawang,2020,Cabai Besar (ha) 2020,72
Bawang,2020,Kentang (ha) 2020,0
Bawang,2020,Kubis (ha) 2020,0
Bawang,2020,Petsai (ha) 2020,0
Bawang,2020,Tomat (ha) 2020,39
Bawang,2020,Bawang Putih (ha) 2020,0
Bawang,2020,Cabai Rawit (ha) 2020,108
Bawang,2021,Bawang Merah (ha) 2021,0
Bawang,2021,Cabai Besar (ha) 2021,111
Bawang,2021,Kentang (ha) 2021,0
Bawang,2021,Kubis (ha) 2021,0
Bawang,2021,Petsai (ha) 2021,0
Bawang,2021,Tomat (ha) 2021,40
Bawang,2021,Bawang Putih (ha) 2021,0
Bawang,2021,Cabai Rawit (ha) 2021,71
Bawang,2022,Bawang Merah (ha) 2022,0
Bawang,2022,Cabai Besar (ha) 2022,178
Bawang,2022,Kentang (ha) 2022,0
Bawang,2022,Kubis (ha) 2022,0
Bawang,2022,Petsai (ha) 2022,0
Bawang,2022,Tomat (ha) 2022,17
Bawang,2022,Bawang Putih (ha) 2022,0
Bawang,2022,Cabai Rawit (ha) 2022,143
Bawang,2023,Cabai Besar (ha) 2023,142
Bawang,2023,Kentang (ha) 2023,0
Bawang,2023,Tomat (ha) 2023,12
Bawang,2023,Bawang Putih (ha) 2023,0
Bawang,2023,Cabai Rawit (ha) 2023,178
Bawang,2024,Bawang Merah (ha) 2024,0
Bawang,2024,Cabai Besar (ha) 2024,198
Bawang,2024,Kentang (ha) 2024,0
Bawang,2024,Kubis (ha) 2024,0
Bawang,2024,Petsai (ha) 2024,0
Bawang,2024,Tomat (ha) 2024,18
Bawang,2024,Bawang Putih (ha) 2024,0
Bawang,2024,Cabai Rawit (ha) 2024,430
Banjarnegara,2017,Bawang Merah (ha) 2017,0
Banjarnegara,2017,Cabai Besar (ha) 2017,0
Banjarnegara,2017,Kentang (ha) 2017,0
Banjarnegara,2017,Kubis (ha) 2017,0
Banjarnegara,2017,Petsai (ha) 2017,0
Banjarnegara,2017,Tomat (ha) 2017,0
Banjarnegara,2017,Bawang Putih (ha) 2017,0
Banjarnegara,2017,Cabai Rawit (ha) 2017,0
Banjarnegara,2018,Bawang Merah (ha) 2018,5
Banjarnegara,2018,Cabai Besar (ha) 2018,1
Banjarnegara,2018,Kentang (ha) 2018,0
Banjarnegara,2018,Kubis (ha) 2018,0
Banjarnegara,2018,Petsai (ha) 2018,0
Banjarnegara,2018,Tomat (ha) 2018,0
Banjarnegara,2018,Bawang Putih (ha) 2018,0
Banjarnegara,2018,Cabai Rawit (ha) 2018,0
Banjarnegara,2019,Bawang Merah (ha) 2019,0
Banjarnegara,2019,Cabai Besar (ha) 2019,2
Banjarnegara,2019,Kentang (ha) 2019,0
Banjarnegara,2019,Kubis (ha) 2019,0
Banjarnegara,2019,Petsai (ha) 2019,0
Banjarnegara,2019,Tomat (ha) 2019,1
Banjarnegara,2019,Bawang Putih (ha) 2019,0
Banjarnegara,2019,Cabai Rawit (ha) 2019,3
Banjarnegara,2020,Bawang Merah (ha) 2020,6
Banjarnegara,2020,Cabai Besar (ha) 2020,1
Banjarnegara,2020,Kentang (ha) 2020,0
Banjarnegara,2020,Kubis (ha) 2020,0
Banjarnegara,2020,Petsai (ha) 2020,0
Banjarnegara,2020,Tomat (ha) 2020,0
Banjarnegara,2020,Bawang Putih (ha) 2020,0
Banjarnegara,2020,Cabai Rawit (ha) 2020,0
Banjarnegara,2021,Bawang Merah (ha) 2021,0
Banjarnegara,2021,Cabai Besar (ha) 2021,0
Banjarnegara,2021,Kentang (ha) 2021,0
Banjarnegara,2021,Kubis (ha) 2021,0
Banjarnegara,2021,Petsai (ha) 2021,0
Banjarnegara,2021,Tomat (ha) 2021,0
Banjarnegara,2021,Bawang Putih (ha) 2021,0
Banjarnegara,2021,Cabai Rawit (ha) 2021,0
Banjarnegara,2022,Bawang Merah (ha) 2022,0
Banjarnegara,2022,Cabai Besar (ha) 2022,0
Banjarnegara,2022,Kentang (ha) 2022,0
Banjarnegara,2022,Kubis (ha) 2022,0
Banjarnegara,2022,Petsai (ha) 2022,0
Banjarnegara,2022,Tomat (ha) 2022,0
Banjarnegara,2022,Bawang Putih (ha) 2022,0
Banjarnegara,2022,Cabai Rawit (ha) 2022,0
Banjarnegara,2023,Cabai Besar (ha) 2023,0
Banjarnegara,2023,Kentang (ha) 2023,0
Banjarnegara,2023,Tomat (ha) 2023,0
Banjarnegara,2023,Bawang Putih (ha) 2023,0
Banjarnegara,2023,Cabai Rawit (ha) 2023,1.2
Banjarnegara,2024,Bawang Merah (ha) 2024,0
Banjarnegara,2024,Cabai Besar (ha) 2024,0
Banjarnegara,2024,Kentang (ha) 2024,0
Banjarnegara,2024,Kubis (ha) 2024,0
Banjarnegara,2024,Petsai (ha) 2024,0
Banjarnegara,2024,Tomat (ha) 2024,0
Banjarnegara,2024,Bawang Putih (ha) 2024,0
Banjarnegara,2024,Cabai Rawit (ha) 2024,2.6
Pagedongan,2017,Bawang Merah (ha) 2017,0
Pagedongan,2017,Cabai Besar (ha) 2017,0
Pagedongan,2017,Kentang (ha) 2017,0
Pagedongan,2017,Kubis (ha) 2017,0
Pagedongan,2017,Petsai (ha) 2017,0
Pagedongan,2017,Tomat (ha) 2017,0
Pagedongan,2017,Bawang Putih (ha) 2017,0
Pagedongan,2017,Cabai Rawit (ha) 2017,0
Pagedongan,2018,Bawang Merah (ha) 2018,0
Pagedongan,2018,Cabai Besar (ha) 2018,0
Pagedongan,2018,Kentang (ha) 2018,0
Pagedongan,2018,Kubis (ha) 2018,0
Pagedongan,2018,Petsai (ha) 2018,0
Pagedongan,2018,Tomat (ha) 2018,0
Pagedongan,2018,Bawang Putih (ha) 2018,0
Pagedongan,2018,Cabai Rawit (ha) 2018,70
Pagedongan,2019,Bawang Merah (ha) 2019,0
Pagedongan,2019,Cabai Besar (ha) 2019,2
Pagedongan,2019,Kentang (ha) 2019,0
Pagedongan,2019,Kubis (ha) 2019,0
Pagedongan,2019,Petsai (ha) 2019,0
Pagedongan,2019,Tomat (ha) 2019,0
Pagedongan,2019,Bawang Putih (ha) 2019,0
Pagedongan,2019,Cabai Rawit (ha) 2019,56
Pagedongan,2020,Bawang Merah (ha) 2020,0
Pagedongan,2020,Cabai Besar (ha) 2020,0
Pagedongan,2020,Kentang (ha) 2020,0
Pagedongan,2020,Kubis (ha) 2020,0
Pagedongan,2020,Petsai (ha) 2020,0
Pagedongan,2020,Tomat (ha) 2020,0
Pagedongan,2020,Bawang Putih (ha) 2020,0
Pagedongan,2020,Cabai Rawit (ha) 2020,55
Pagedongan,2021,Bawang Merah (ha) 2021,0
Pagedongan,2021,Cabai Besar (ha) 2021,11
Pagedongan,2021,Kentang (ha) 2021,0
Pagedongan,2021,Kubis (ha) 2021,0
Pagedongan,2021,Petsai (ha) 2021,0
Pagedongan,2021,Tomat (ha) 2021,0
Pagedongan,2021,Bawang Putih (ha) 2021,0
Pagedongan,2021,Cabai Rawit (ha) 2021,42
Pagedongan,2022,Bawang Merah (ha) 2022,0
Pagedongan,2022,Cabai Besar (ha) 2022,0
Pagedongan,2022,Kentang (ha) 2022,0
Pagedongan,2022,Kubis (ha) 2022,0
Pagedongan,2022,Petsai (ha) 2022,0
Pagedongan,2022,Tomat (ha) 2022,0
Pagedongan,2022,Bawang Putih (ha) 2022,0
Pagedongan,2022,Cabai Rawit (ha) 2022,39
Pagedongan,2023,Cabai Besar (ha) 2023,0
Pagedongan,2023,Kentang (ha) 2023,0
Pagedongan,2023,Tomat (ha) 2023,1
Pagedongan,2023,Bawang Putih (ha) 2023,0
Pagedongan,2023,Cabai Rawit (ha) 2023,70
Pagedongan,2024,Bawang Merah (ha) 2024,0
Pagedongan,2024,Cabai Besar (ha) 2024,0
Pagedongan,2024,Kentang (ha) 2024,0
Pagedongan,2024,Kubis (ha) 2024,0
Pagedongan,2024,Petsai (ha) 2024,0
Pagedongan,2024,Tomat (ha) 2024,0
Pagedongan,2024,Bawang Putih (ha) 2024,0
Pagedongan,2024,Cabai Rawit (ha) 2024,45.5
Sigaluh,2017,Bawang Merah (ha) 2017,0
Sigaluh,2017,Cabai Besar (ha) 2017,0
Sigaluh,2017,Kentang (ha) 2017,0
Sigaluh,2017,Kubis (ha) 2017,0
Sigaluh,2017,Petsai (ha) 2017,0
Sigaluh,2017,Tomat (ha) 2017,0
Sigaluh,2017,Bawang Putih (ha) 2017,0
Sigaluh,2017,Cabai Rawit (ha) 2017,0
Sigaluh,2018,Bawang Merah (ha) 2018,0
Sigaluh,2018,Cabai Besar (ha) 2018,0
Sigaluh,2018,Kentang (ha) 2018,0
Sigaluh,2018,Kubis (ha) 2018,0
Sigaluh,2018,Petsai (ha) 2018,0
Sigaluh,2018,Tomat (ha) 2018,0
Sigaluh,2018,Bawang Putih (ha) 2018,0
Sigaluh,2018,Cabai Rawit (ha) 2018,0
Sigaluh,2019,Bawang Merah (ha) 2019,0
Sigaluh,2019,Cabai Besar (ha) 2019,0
Sigaluh,2019,Kentang (ha) 2019,0
Sigaluh,2019,Kubis (ha) 2019,0
Sigaluh,2019,Petsai (ha) 2019,0
Sigaluh,2019,Tomat (ha) 2019,0
Sigaluh,2019,Bawang Putih (ha) 2019,0
Sigaluh,2019,Cabai Rawit (ha) 2019,0
Sigaluh,2020,Bawang Merah (ha) 2020,0
Sigaluh,2020,Cabai Besar (ha) 2020,0
Sigaluh,2020,Kentang (ha) 2020,0
Sigaluh,2020,Kubis (ha) 2020,0
Sigaluh,2020,Petsai (ha) 2020,0
Sigaluh,2020,Tomat (ha) 2020,0
Sigaluh,2020,Bawang Putih (ha) 2020,0
Sigaluh,2020,Cabai Rawit (ha) 2020,0
Sigaluh,2021,Bawang Merah (ha) 2021,0
Sigaluh,2021,Cabai Besar (ha) 2021,4
Sigaluh,2021,Kentang (ha) 2021,0
Sigaluh,2021,Kubis (ha) 2021,0
Sigaluh,2021,Petsai (ha) 2021,0
Sigaluh,2021,Tomat (ha) 2021,0
Sigaluh,2021,Bawang Putih (ha) 2021,0
Sigaluh,2021,Cabai Rawit (ha) 2021,2
Sigaluh,2022,Bawang Merah (ha) 2022,0
Sigaluh,2022,Cabai Besar (ha) 2022,0
Sigaluh,2022,Kentang (ha) 2022,0
Sigaluh,2022,Kubis (ha) 2022,0
Sigaluh,2022,Petsai (ha) 2022,0
Sigaluh,2022,Tomat (ha) 2022,0
Sigaluh,2022,Bawang Putih (ha) 2022,0
Sigaluh,2022,Cabai Rawit (ha) 2022,0
Sigaluh,2023,Cabai Besar (ha) 2023,0
Sigaluh,2023,Kentang (ha) 2023,0
Sigaluh,2023,Tomat (ha) 2023,0
Sigaluh,2023,Bawang Putih (ha) 2023,0
Sigaluh,2024,Bawang Merah (ha) 2024,0
Sigaluh,2024,Cabai Besar (ha) 2024,2
Sigaluh,2024,Kentang (ha) 2024,0
Sigaluh,2024,Kubis (ha) 2024,0
Sigaluh,2024,Petsai (ha) 2024,0
Sigaluh,2024,Tomat (ha) 2024,0
Sigaluh,2024,Bawang Putih (ha) 2024,0
