jenis_tanaman,tahun,metric,value
Bawang Daun,2016,Luas Panen (ha),987
Bawang Daun,2018,Luas Panen (ha),0
Bawang Daun,2019,Luas Panen (ha),1129
Bawang Daun,2020,Luas Panen (ha),1235
Bawang Daun,2021,Luas Panen (ha),1506
Bawang Daun,2022,Luas Panen (ha),3
Bawang Daun,2023,Luas Panen (ha),10
Bawang Daun,2024,Luas Panen (ha),0.35
Bawang Merah,2016,Luas Panen (ha),0
Bawang Merah,2018,Luas Panen (ha),11
Bawang Merah,2019,Luas Panen (ha),16
Bawang Merah,2020,Luas Panen (ha),28
Bawang Merah,2021,Luas Panen (ha),10
Bawang Merah,2022,Luas Panen (ha),0
Bawang Merah,2023,Luas Panen (ha),1
Bawang Merah,2024,Luas Panen (ha),0
Bawang Putih,2016,Luas Panen (ha),0
Bawang Putih,2018,Luas Panen (ha),0
Bawang Putih,2019,Luas Panen (ha),131
Bawang Putih,2020,Luas Panen (ha),165
Bawang Putih,2021,Luas Panen (ha),80
Bawang Putih,2022,Luas Panen (ha),0
Bawang Putih,2023,Luas Panen (ha),0
Bawang Putih,2024,Luas Panen (ha),0
Bayam,2016,Luas Panen (ha),12
Bayam,2018,Luas Panen (ha),13
Bayam,2019,Luas Panen (ha),15
Bayam,2020,Luas Panen (ha),6
Bayam,2021,Luas Panen (ha),5
Bayam,2022,Luas Panen (ha),462
Bayam,2023,Luas Panen (ha),855
Bayam,2024,Luas Panen (ha),666
Buncis,2016,Luas Panen (ha),279
Buncis,2018,Luas Panen (ha),406
Buncis,2019,Luas Panen (ha),383
Buncis,2020,Luas Panen (ha),351
Buncis,2021,Luas Panen (ha),367
Buncis,2022,Luas Panen (ha),2173
Buncis,2023,Luas Panen (ha),7459.5
Buncis,2024,Luas Panen (ha),3572.2
Cabai Besar,2016,Luas Panen (ha),1731
Cabai Besar,2018,Luas Panen (ha),1565
Cabai Besar,2019,Luas Panen (ha),1701
Cabai Besar,2020,Luas Panen (ha),1661
Cabai Besar,2021,Luas Panen (ha),1996
Cabai Besar,2022,Luas Panen (ha),3047
Cabai Besar,2023,Luas Panen (ha),10038.4
Cabai Besar,2024,Luas Panen (ha),5541.5
Cabai Rawit,2016,Luas Panen (ha),2874
Cabai Rawit,2018,Luas Panen (ha),2168
Cabai Rawit,2019,Luas Panen (ha),2639
Cabai Rawit,2020,Luas Panen (ha),2541
Cabai Rawit,2021,Luas Panen (ha),1694
Cabai Rawit,2022,Luas Panen (ha),0
Cabai Rawit,2023,Luas Panen (ha),0
Cabai Rawit,2024,Luas Panen (ha),0
Cabai,2016,Luas Panen (ha),0
Cabai,2018,Luas Panen (ha),0
Cabai,2019,Luas Panen (ha),0
Cabai,2020,Luas Panen (ha),0
Cabai,2021,Luas Panen (ha),0
Cabai,2022,Luas Panen (ha),10515
Cabai,2023,Luas Panen (ha),16459
Cabai,2024,Luas Panen (ha),12499.97
Jamur,2016,Luas Panen (ha),0
Jamur,2018,Luas Panen (ha),18045
Jamur,2019,Luas Panen (ha),0
Jamur,2020,Luas Panen (ha),0
Jamur,2021,Luas Panen (ha),0
Jamur,2022,Luas Panen (ha),230
Jamur,2023,Luas Panen (ha),0
Jamur,2024,Luas Panen (ha),0
Kacang Merah,2016,Luas Panen (ha),0
Kacang Merah,2018,Luas Panen (ha),154
Kacang Merah,2019,Luas Panen (ha),173
Kacang Merah,2020,Luas Panen (ha),204
Kacang Merah,2021,Luas Panen (ha),207
Kacang Merah,2022,Luas Panen (ha),96
Kacang Merah,2023,Luas Panen (ha),270
Kacang Merah,2024,Luas Panen (ha),67
Kacang Panjang,2016,Luas Panen (ha),63
Kacang Panjang,2018,Luas Panen (ha),373
Kacang Panjang,2019,Luas Panen (ha),278
Kacang Panjang,2020,Luas Panen (ha),167
Kacang Panjang,2021,Luas Panen (ha),155
Kacang Panjang,2022,Luas Panen (ha),57
Kacang Panjang,2023,Luas Panen (ha),51.5
Kacang Panjang,2024,Luas Panen (ha),60
Kangkung,2016,Luas Panen (ha),32
Kangkung,2018,Luas Panen (ha),53
Kangkung,2019,Luas Panen (ha),36
Kangkung,2020,Luas Panen (ha),55
Kangkung,2021,Luas Panen (ha),40
Kangkung,2022,Luas Panen (ha),0
Kangkung,2023,Luas Panen (ha),0
Kangkung,2024,Luas Panen (ha),0
Kembang Kol,2016,Luas Panen (ha),0
Kembang Kol,2018,Luas Panen (ha),0
Kembang Kol,2019,Luas Panen (ha),0
Kembang Kol,2020,Luas Panen (ha),0
Kembang Kol,2021,Luas Panen (ha),0
Kembang Kol,2022,Luas Panen (ha),7052
Kembang Kol,2023,Luas Panen (ha),4411
Kembang Kol,2024,Luas Panen (ha),7644
Kentang,2016,Luas Panen (ha),5701
Kentang,2018,Luas Panen (ha),5862
Kentang,2019,Luas Panen (ha),6075
Kentang,2020,Luas Panen (ha),6347
Kentang,2021,Luas Panen (ha),6125
Kentang,2022,Luas Panen (ha),58
Kentang,2023,Luas Panen (ha),34.5
Kentang,2024,Luas Panen (ha),27
Ketimun,2016,Luas Panen (ha),22
Ketimun,2018,Luas Panen (ha),34
Ketimun,2019,Luas Panen (ha),47
Ketimun,2020,Luas Panen (ha),39
Ketimun,2021,Luas Panen (ha),27
Ketimun,2022,Luas Panen (ha),2238
Ketimun,2023,Luas Panen (ha),1977
Ketimun,2024,Luas Panen (ha),1919
Kubis,2016,Luas Panen (ha),3386
Kubis,2018,Luas Panen (ha),2708
Kubis,2019,Luas Panen (ha),3006
Kubis,2020,Luas Panen (ha),2397
Kubis,2021,Luas Panen (ha),2205
Kubis,2022,Luas Panen (ha),76
Kubis,2023,Luas Panen (ha),359
Kubis,2024,Luas Panen (ha),223.5
Labu Siam,2016,Luas Panen (ha),0
Labu Siam,2018,Luas Panen (ha),20
Labu Siam,2019,Luas Panen (ha),44
Labu Siam,2020,Luas Panen (ha),46
Labu Siam,2021,Luas Panen (ha),58
Labu Siam,2022,Luas Panen (ha),0
Labu Siam,2023,Luas Panen (ha),0
Labu Siam,2024,Luas Panen (ha),0
Lobak,2016,Luas Panen (ha),0
Lobak,2018,Luas Panen (ha),0
Lobak,2019,Luas Panen (ha),0
Lobak,2020,Luas Panen (ha),0
Lobak,2021,Luas Panen (ha),0
Lobak,2022,Luas Panen (ha),453
Lobak,2023,Luas Panen (ha),336
Lobak,2024,Luas Panen (ha),279
Petsai,2016,Luas Panen (ha),0
Petsai,2018,Luas Panen (ha),0
Petsai,2019,Luas Panen (ha),0
Petsai,2020,Luas Panen (ha),343
Petsai,2021,Luas Panen (ha),294
Petsai,2022,Luas Panen (ha),193
Petsai,2023,Luas Panen (ha),418
Petsai,2024,Luas Panen (ha),360
Terung,2016,Luas Panen (ha),0
Terung,2018,Luas Panen (ha),177
Terung,2019,Luas Panen (ha),164
Terung,2020,Luas Panen (ha),137
Terung,2021,Luas Panen (ha),212
Terung,2022,Luas Panen (ha),369
Terung,2023,Luas Panen (ha),1140
Terung,2024,Luas Panen (ha),1232
Tomat,2016,Luas Panen (ha),154
Tomat,2018,Luas Panen (ha),345
Tomat,2019,Luas Panen (ha),334
Tomat,2020,Luas Panen (ha),357
Tomat,2021,Luas Panen (ha),340
Tomat,2022,Luas Panen (ha),2946
Tomat,2023,Luas Panen (ha),2323
Tomat,2024,Luas Panen (ha),2117
Wortel,2016,Luas Panen (ha),2884
Wortel,2018,Luas Panen (ha),3160
Wortel,2019,Luas Panen (ha),3672
Wortel,2020,Luas Panen (ha),2773
Wortel,2021,Luas Panen (ha),2902
Sawi Putih,2016,Luas Panen (ha),282
Sawi Putih,2018,Luas Panen (ha),270
Sawi Putih,2019,Luas Panen (ha),337
Sawi Putih,2020,Luas Panen (ha),0
Sawi Putih,2022,Luas Panen (ha),0
Sawi Putih,2023,Luas Panen (ha),0
Sawi Putih,2024,Luas Panen (ha),0
Blewah,2016,Luas Panen (ha),0
Blewah,2018,Luas Panen (ha),0
Blewah,2019,Luas Panen (ha),0
Blewah,2020,Luas Panen (ha),0
Blewah,2021,Luas Panen (ha),0
Blewah,2022,Luas Panen (ha),31461
Blewah,2023,Luas Panen (ha),47346.9
Blewah,2024,Luas Panen (ha),37269.52
Melon,2016,Luas Panen (ha),0
Melon,2018,Luas Panen (ha),0
Melon,2019,Luas Panen (ha),0
Melon,2020,Luas Panen (ha),0
Melon,2021,Luas Panen (ha),0
Semangka,2016,Luas Panen (ha),0
Semangka,2018,Luas Panen (ha),0
Semangka,2019,Luas Panen (ha),0
Semangka,2020,Luas Panen (ha),0
Semangka,2021,Luas Panen (ha),0
Buah-buahan,2022,Luas Panen (ha),0
Buah-buahan,2023,Luas Panen (ha),0
Buah-buahan,2024,Luas Panen (ha),1
