kategori,tahun,metric,value
I. Lahan sawah,2014,Luas (Ha),14807
I. Lahan sawah,2015,Luas (Ha),14807
I. Lahan sawah,2016,Luas (Ha),14807
I. Lahan sawah,2017,Luas (Ha),14127.8
I. Lahan sawah,2018,Luas (Ha),14127.8
I. Lahan sawah,2019,Luas (Ha),14054.1
I. Lahan sawah,2020,Luas (Ha),14049.07
I. Lahan sawah,2021,Luas (Ha),13291.58
I. Lahan sawah,2022,Luas (Ha),12939.63
I. Lahan sawah,2023,Luas (Ha),12645.53
I. Lahan sawah,2024,Luas (Ha),12057.34
a. Lahan irigasi,2014,Luas (Ha),10966
a. Lahan irigasi,2015,Luas (Ha),10966
a. Lahan irigasi,2016,Luas (Ha),10966
a. Lahan irigasi,2017,Luas (Ha),11134.9
a. Lahan irigasi,2018,Luas (Ha),11134.9
a. Lahan irigasi,2019,Luas (Ha),11046.1
a. Lahan irigasi,2020,Luas (Ha),11101.11
a. Lahan irigasi,2021,Luas (Ha),10981.69
a. Lahan irigasi,2022,Luas (Ha),10639.07
a. Lahan irigasi,2023,Luas (Ha),10502.89
a. Lahan irigasi,2024,Luas (Ha),9912.34
b. Lahan tadah hujan,2014,Luas (Ha),3565
b. Lahan tadah hujan,2015,Luas (Ha),3565
b. Lahan tadah hujan,2016,Luas (Ha),3565
b. Lahan tadah hujan,2017,Luas (Ha),2939.2
b. Lahan tadah hujan,2018,Luas (Ha),2939.2
b. Lahan tadah hujan,2019,Luas (Ha),2942.3
b. Lahan tadah hujan,2020,Luas (Ha),2882.76
b. Lahan tadah hujan,2021,Luas (Ha),2244.69
b. Lahan tadah hujan,2022,Luas (Ha),2238.87
b. Lahan tadah hujan,2023,Luas (Ha),2088.94
b. Lahan tadah hujan,2024,Luas (Ha),2091.3
c. Lahan pasang surut,2014,Luas (Ha),276
c. Lahan pasang surut,2015,Luas (Ha),276
c. Lahan pasang surut,2016,Luas (Ha),276
c. Lahan pasang surut,2017,Luas (Ha),53.7
c. Lahan pasang surut,2018,Luas (Ha),53.7
c. Lahan pasang surut,2019,Luas (Ha),65.7
c. Lahan pasang surut,2020,Luas (Ha),65.2
c. Lahan pasang surut,2021,Luas (Ha),65.2
c. Lahan pasang surut,2022,Luas (Ha),61.7
c. Lahan pasang surut,2023,Luas (Ha),53.7
c. Lahan pasang surut,2024,Luas (Ha),53.7
II. Bukan lahan sawah,2014,Luas (Ha),71954
II. Bukan lahan sawah,2015,Luas (Ha),71954
II. Bukan lahan sawah,2016,Luas (Ha),71954
II. Bukan lahan sawah,2017,Luas (Ha),73765.2
II. Bukan lahan sawah,2018,Luas (Ha),73765.2
II. Bukan lahan sawah,2019,Luas (Ha),74507.8
II. Bukan lahan sawah,2020,Luas (Ha),72140.12
II. Bukan lahan sawah,2021,Luas (Ha),75615.92
II. Bukan lahan sawah,2022,Luas (Ha),74520.92
II. Bukan lahan sawah,2023,Luas (Ha),71702.63
II. Bukan lahan sawah,2024,Luas (Ha),75466.38
a. Tegal/kebun,2014,Luas (Ha),46034
a. Tegal/kebun,2015,Luas (Ha),46034
a. Tegal/kebun,2016,Luas (Ha),46034
a. Tegal/kebun,2017,Luas (Ha),44538.4
a. Tegal/kebun,2018,Luas (Ha),44538.4
a. Tegal/kebun,2019,Luas (Ha),45899.2
a. Tegal/kebun,2020,Luas (Ha),42820.13
a. Tegal/kebun,2021,Luas (Ha),46296.13
a. Tegal/kebun,2022,Luas (Ha),46175.03
a. Tegal/kebun,2023,Luas (Ha),43144.89
a. Tegal/kebun,2024,Luas (Ha),45800.23
b. Perkebunan,2014,Luas (Ha),2317
b. Perkebunan,2015,Luas (Ha),2317
b. Perkebunan,2016,Luas (Ha),2317
b. Perkebunan,2017,Luas (Ha),3193.7
b. Perkebunan,2018,Luas (Ha),3193.7
b. Perkebunan,2019,Luas (Ha),2798.9
b. Perkebunan,2020,Luas (Ha),3088.92
b. Perkebunan,2021,Luas (Ha),3088.92
b. Perkebunan,2022,Luas (Ha),3088.92
b. Perkebunan,2023,Luas (Ha),3083.42
b. Perkebunan,2024,Luas (Ha),2601.29
c. Hutan rakyat,2014,Luas (Ha),7175
c. Hutan rakyat,2015,Luas (Ha),7175
c. Hutan rakyat,2016,Luas (Ha),7175
c. Hutan rakyat,2017,Luas (Ha),7400.8
c. Hutan rakyat,2018,Luas (Ha),7400.8
c. Hutan rakyat,2019,Luas (Ha),6609.6
c. Hutan rakyat,2020,Luas (Ha),7362.85
c. Hutan rakyat,2021,Luas (Ha),7362.85
c. Hutan rakyat,2022,Luas (Ha),6066.55
c. Hutan rakyat,2023,Luas (Ha),6062.25
c. Hutan rakyat,2024,Luas (Ha),6502.92
d. lainnya,2014,Luas (Ha),16368
d. lainnya,2015,Luas (Ha),16368
d. lainnya,2016,Luas (Ha),16368
d. lainnya,2017,Luas (Ha),18621.3
d. lainnya,2018,Luas (Ha),18621.3
d. lainnya,2019,Luas (Ha),19189.1
d. lainnya,2020,Luas (Ha),18857.22
d. lainnya,2021,Luas (Ha),18857.02
d. lainnya,2022,Luas (Ha),19179.42
d. lainnya,2023,Luas (Ha),19401.07
d. lainnya,2024,Luas (Ha),19914.54
e. Lahan yang tidak diusahakan,2014,Luas (Ha),60
e. Lahan yang tidak diusahakan,2015,Luas (Ha),60
e. Lahan yang tidak diusahakan,2016,Luas (Ha),60
e. Lahan yang tidak diusahakan,2017,Luas (Ha),11
e. Lahan yang tidak diusahakan,2018,Luas (Ha),11
e. Lahan yang tidak diusahakan,2019,Luas (Ha),11
e. Lahan yang tidak diusahakan,2020,Luas (Ha),11
e. Lahan yang tidak diusahakan,2021,Luas (Ha),11
e. Lahan yang tidak diusahakan,2022,Luas (Ha),11
e. Lahan yang tidak diusahakan,2023,Luas (Ha),11
e. Lahan yang tidak diusahakan,2024,Luas (Ha),647.4
III. Lahan bukan pertanian lainnya,2014,Luas (Ha),20210
III. Lahan bukan pertanian lainnya,2015,Luas (Ha),20210
III. Lahan bukan pertanian lainnya,2016,Luas (Ha),20210
III. Lahan bukan pertanian lainnya,2017,Luas (Ha),19078.7
III. Lahan bukan pertanian lainnya,2018,Luas (Ha),19078.7
III. Lahan bukan pertanian lainnya,2019,Luas (Ha),18409.8
III. Lahan bukan pertanian lainnya,2020,Luas (Ha),20782.51
III. Lahan bukan pertanian lainnya,2021,Luas (Ha),18064.2
III. Lahan bukan pertanian lainnya,2022,Luas (Ha),19511.15
III. Lahan bukan pertanian lainnya,2023,Luas (Ha),22623.54
III. Lahan bukan pertanian lainnya,2024,Luas (Ha),19447.98
