kecamatan,tahun,metric,value
Susukan,2018,Kolam Pembesaran Ikan Luas,3.22
Susukan,2018,Produksi,0
Susukan,2018,Jaring Karamba Apung Luas,0
Susukan,2018,Perikanan Sawah (Minapadi) Luas,0
Susukan,2018,Produksi Produksi,6500
Susukan,2018,Luas,5
Susukan,2019,Kolam Pembesaran Ikan Luas,3.22
Susukan,2019,Produksi,0
Susukan,2019,Jaring Karamba Apung Luas,0
Susukan,2019,Produksi Produksi,7000
Susukan,2019,Luas,5
Susukan,2020,Produksi,0
Susukan,2020,Perikanan Sawah (Minapadi) Luas,0
Susukan,2020,Luas,0
Susukan,2021,Produksi,0
Susukan,2021,Perikanan Sawah (Minapadi) Luas,0
Susukan,2021,Luas,0
Susukan,2022,Produksi,0
Susukan,2022,Perikanan Sawah (Minapadi) Luas,0
Susukan,2022,Luas,0
Susukan,2023,Produksi,0
Susukan,2023,Perikanan Sawah (Minapadi) Luas,0
Susukan,2023,Luas,0
Susukan,2024,Produksi,0
Susukan,2024,Perikanan Sawah (Minapadi) Luas,0
Susukan,2024,Luas,0
Purworejo Klampok,2018,Kolam Pembesaran Ikan Luas,23.8
Purworejo Klampok,2018,Produksi,0
Purworejo Klampok,2018,Jaring Karamba Apung Luas,0
Purworejo Klampok,2018,Perikanan Sawah (Minapadi) Luas,0
Purworejo Klampok,2018,Produksi Produksi,0
Purworejo Klampok,2018,Luas,0
Purworejo Klampok,2019,Kolam Pembesaran Ikan Luas,23.8
Purworejo Klampok,2019,Produksi,0
Purworejo Klampok,2019,Jaring Karamba Apung Luas,0
Purworejo Klampok,2019,Produksi Produksi,0
Purworejo Klampok,2019,Luas,0
Purworejo Klampok,2020,Produksi,0
Purworejo Klampok,2020,Perikanan Sawah (Minapadi) Luas,0
Purworejo Klampok,2020,Luas,0
Purworejo Klampok,2021,Produksi,0
Purworejo Klampok,2021,Perikanan Sawah (Minapadi) Luas,0
Purworejo Klampok,2021,Luas,0
Purworejo Klampok,2022,Produksi,0
Purworejo Klampok,2022,Perikanan Sawah (Minapadi) Luas,0
Purworejo Klampok,2022,Luas,0
Purworejo Klampok,2023,Produksi,0
Purworejo Klampok,2023,Perikanan Sawah (Minapadi) Luas,0
Purworejo Klampok,2023,Luas,0
Purworejo Klampok,2024,Produksi,0
Purworejo Klampok,2024,Perikanan Sawah (Minapadi) Luas,0
Purworejo Klampok,2024,Luas,0
Mandiraja,2018,Kolam Pembesaran Ikan Luas,47.05
Mandiraja,2018,Produksi,0
Mandiraja,2018,Jaring Karamba Apung Luas,0
Mandiraja,2018,Perikanan Sawah (Minapadi) Luas,0
Mandiraja,2018,Produksi Produksi,12350.01
Mandiraja,2018,Luas,12.5
Mandiraja,2019,Kolam Pembesaran Ikan Luas,47.05
Mandiraja,2019,Produksi,0
Mandiraja,2019,Jaring Karamba Apung Luas,0
Mandiraja,2019,Produksi Produksi,17500
Mandiraja,2019,Luas,12.5
Mandiraja,2020,Produksi,16299
Mandiraja,2020,Perikanan Sawah (Minapadi) Luas,0
Mandiraja,2020,Luas,12.5
Mandiraja,2021,Produksi,16299
Mandiraja,2021,Perikanan Sawah (Minapadi) Luas,0
Mandiraja,2021,Luas,13
Mandiraja,2022,Produksi,27390.26
Mandiraja,2022,Perikanan Sawah (Minapadi) Luas,0
Mandiraja,2022,Luas,17.98
