kecamatan,tahun,metric,value
Susukan,2018,Luas,0
Susukan,2018,Produksi,0
Susukan,2019,Luas,0
Susukan,2019,Produksi,0
Susukan,2020,Luas,0
Susukan,2020,Produksi,0
Susukan,2021,Luas,0
Susukan,2021,Produksi,0
Susukan,2022,Luas,0
Susukan,2022,Produksi,0
Susukan,2023,Luas,0
Susukan,2023,Produksi,0
Susukan,2024,Luas,0
Susukan,2024,Produksi,0
Purworejo Klampok,2018,Luas,0
Purworejo Klampok,2018,Produksi,0
Purworejo Klampok,2019,Luas,0
Purworejo Klampok,2019,Produksi,0
Purworejo Klampok,2020,Luas,0
Purworejo Klampok,2020,Produksi,0
Purworejo Klampok,2021,Luas,0
Purworejo Klampok,2021,Produksi,0
Purworejo Klampok,2022,Luas,0
Purworejo Klampok,2022,Produksi,0
Purworejo Klampok,2023,Luas,0
Purworejo Klampok,2023,Produksi,0
Purworejo Klampok,2024,Luas,0
Purworejo Klampok,2024,Produksi,0
Mandiraja,2018,Luas,0
Mandiraja,2018,Produksi,0
Mandiraja,2019,Luas,0
Mandiraja,2019,Produksi,0
Mandiraja,2020,Luas,0
Mandiraja,2020,Produksi,0
Mandiraja,2021,Luas,0
Mandiraja,2021,Produksi,0
Mandiraja,2022,Luas,0
Mandiraja,2022,Produksi,0
Mandiraja,2023,Luas,0
Mandiraja,2023,Produksi,0
Mandiraja,2024,Luas,0
Mandiraja,2024,Produksi,0
Purwonegoro,2018,Luas,0
Purwonegoro,2018,Produksi,0
Purwonegoro,2019,Luas,0
Purwonegoro,2019,Produksi,0
Purwonegoro,2020,Luas,0
Purwonegoro,2020,Produksi,0
Purwonegoro,2021,Luas,0
Purwonegoro,2021,Produksi,0
Purwonegoro,2022,Luas,0
Purwonegoro,2022,Produksi,0
Purwonegoro,2023,Luas,0
Purwonegoro,2023,Produksi,0
Purwonegoro,2024,Luas,0
Purwonegoro,2024,Produksi,0
Bawang,2018,Luas,0
Bawang,2018,Produksi,0
Bawang,2019,Luas,0
Bawang,2019,Produksi,0
Bawang,2020,Luas,0
Bawang,2020,Produksi,0
Bawang,2021,Luas,0
Bawang,2021,Produksi,0
Bawang,2022,Luas,0
Bawang,2022,Produksi,0
Bawang,2023,Luas,0
Bawang,2023,Produksi,0
Bawang,2024,Luas,0
Bawang,2024,Produksi,0
Banjarnegara,2018,Luas,0
Banjarnegara,2018,Produksi,0
Banjarnegara,2019,Luas,0
Banjarnegara,2019,Produksi,0
Banjarnegara,2020,Luas,0
Banjarnegara,2020,Produksi,0
Banjarnegara,2021,Luas,0
Banjarnegara,2021,Produksi,0
Banjarnegara,2022,Luas,0
Banjarnegara,2022,Produksi,0
Banjarnegara,2023,Luas,0
Banjarnegara,2023,Produksi,0
Banjarnegara,2024,Luas,0
Banjarnegara,2024,Produksi,0
Pagedongan,2018,Luas,3
Pagedongan,2018,Produksi,899.49
Pagedongan,2019,Luas,3
Pagedongan,2019,Produksi,1015
Pagedongan,2020,Luas,3
Pagedongan,2020,Produksi,1235
Pagedongan,2021,Luas,3
Pagedongan,2021,Produksi,1381
Pagedongan,2022,Luas,3
Pagedongan,2022,Produksi,1081
Pagedongan,2023,Luas,3
Pagedongan,2023,Produksi,1381
Pagedongan,2024,Luas,3
Pagedongan,2024,Produksi,0
Sigaluh,2018,Luas,0
Sigaluh,2018,Produksi,0
Sigaluh,2019,Luas,0
Sigaluh,2019,Produksi,0
Sigaluh,2020,Luas,0
Sigaluh,2020,Produksi,0
Sigaluh,2021,Luas,0
Sigaluh,2021,Produksi,0
Sigaluh,2022,Luas,0
Sigaluh,2022,Produksi,0
Sigaluh,2023,Luas,0
Sigaluh,2023,Produksi,0
Sigaluh,2024,Luas,0
Sigaluh,2024,Produksi,0
Madukara,2018,Luas,0
Madukara,2018,Produksi,0
Madukara,2019,Luas,0
Madukara,2019,Produksi,0
Madukara,2020,Luas,0
Madukara,2020,Produksi,0
Madukara,2021,Luas,0
Madukara,2021,Produksi,0
Madukara,2022,Luas,0
Madukara,2022,Produksi,0
Madukara,2023,Luas,0
Madukara,2023,Produksi,0
Madukara,2024,Luas,0
Madukara,2024,Produksi,0
Banjarmangu,2018,Luas,0
Banjarmangu,2018,Produksi,0
Banjarmangu,2019,Luas,0
Banjarmangu,2019,Produksi,0
Banjarmangu,2020,Luas,0
Banjarmangu,2020,Produksi,0
Banjarmangu,2021,Luas,0
Banjarmangu,2021,Produksi,0
Banjarmangu,2022,Luas,0
Banjarmangu,2022,Produksi,0
Banjarmangu,2023,Luas,0
Banjarmangu,2023,Produksi,0
Banjarmangu,2024,Luas,0
Banjarmangu,2024,Produksi,0
Wanadadi,2018,Luas,0
Wanadadi,2018,Produksi,0
Wanadadi,2019,Luas,0
Wanadadi,2019,Produksi,0
Wanadadi,2020,Luas,0
Wanadadi,2020,Produksi,0
Wanadadi,2021,Luas,0
Wanadadi,2021,Produksi,0
Wanadadi,2022,Luas,0
Wanadadi,2022,Produksi,0
Wanadadi,2023,Luas,0
Wanadadi,2023,Produksi,0
Wanadadi,2024,Luas,0
Wanadadi,2024,Produksi,0
Rakit,2018,Luas,0
Rakit,2018,Produksi,0
Rakit,2019,Luas,0
Rakit,2019,Produksi,0
Rakit,2020,Luas,0
Rakit,2020,Produksi,0
Rakit,2021,Luas,0
Rakit,2021,Produksi,0
Rakit,2022,Luas,0
Rakit,2022,Produksi,0
Rakit,2023,Luas,0
Rakit,2023,Produksi,0
Rakit,2024,Luas,0
Rakit,2024,Produksi,0
Punggelan,2018,Luas,0
Punggelan,2018,Produksi,0
Punggelan,2019,Luas,0
Punggelan,2019,Produksi,0
Punggelan,2020,Luas,0
Punggelan,2020,Produksi,0
Punggelan,2021,Luas,0
Punggelan,2021,Produksi,0
Punggelan,2022,Luas,0
Punggelan,2022,Produksi,0
Punggelan,2023,Luas,0
Punggelan,2023,Produksi,0
Punggelan,2024,Luas,0
Punggelan,2024,Produksi,0
Karangkobar,2018,Luas,0
Karangkobar,2018,Produksi,0
Karangkobar,2019,Luas,0
Karangkobar,2019,Produksi,0
Karangkobar,2020,Luas,0
Karangkobar,2020,Produksi,0
Karangkobar,2021,Luas,0
Karangkobar,2021,Produksi,0
Karangkobar,2022,Luas,0
Karangkobar,2022,Produksi,0
Karangkobar,2023,Luas,0
Karangkobar,2023,Produksi,0
Karangkobar,2024,Luas,0
Karangkobar,2024,Produksi,0
Pagentan,2018,Luas,0
Pagentan,2018,Produksi,0
Pagentan,2019,Luas,0
Pagentan,2019,Produksi,0
Pagentan,2020,Luas,0
Pagentan,2020,Produksi,0
Pagentan,2021,Luas,0
Pagentan,2021,Produksi,0
Pagentan,2022,Luas,0
Pagentan,2022,Produksi,0
Pagentan,2023,Luas,0
Pagentan,2023,Produksi,0
Pagentan,2024,Luas,0
Pagentan,2024,Produksi,0
Pejawaran,2018,Luas,0
Pejawaran,2018,Produksi,0
Pejawaran,2019,Luas,0
Pejawaran,2019,Produksi,0
Pejawaran,2020,Luas,0
Pejawaran,2020,Produksi,0
Pejawaran,2021,Luas,0
Pejawaran,2021,Produksi,0
Pejawaran,2022,Luas,0
Pejawaran,2022,Produksi,0
Pejawaran,2023,Luas,0
Pejawaran,2023,Produksi,0
Pejawaran,2024,Luas,0
Pejawaran,2024,Produksi,0
Batur,2018,Luas,32
Batur,2018,Produksi,1875.51
Batur,2019,Luas,32
Batur,2019,Produksi,2117
Batur,2020,Luas,32
Batur,2020,Produksi,2576
Batur,2021,Luas,32
Batur,2021,Produksi,2881
Batur,2022,Luas,32
Batur,2022,Produksi,2255
Batur,2023,Luas,32
Batur,2023,Produksi,2881
Batur,2024,Luas,32
Batur,2024,Produksi,3955
Wanayasa,2018,Luas,0
Wanayasa,2018,Produksi,0
Wanayasa,2019,Luas,0
Wanayasa,2019,Produksi,0
Wanayasa,2020,Luas,0
Wanayasa,2020,Produksi,0
Wanayasa,2021,Luas,0
Wanayasa,2021,Produksi,0
Wanayasa,2022,Luas,0
Wanayasa,2022,Produksi,0
Wanayasa,2023,Luas,0
Wanayasa,2023,Produksi,0
Wanayasa,2024,Luas,0
Wanayasa,2024,Produksi,0
Kalibening,2018,Luas,0
Kalibening,2018,Produksi,0
Kalibening,2019,Luas,0
Kalibening,2019,Produksi,0
Kalibening,2020,Luas,0
