kecamatan,tahun,metric,value
Susukan,2018,Jenis Kolam Luas,1.66
Susukan,2018,Produksi,0
Susukan,2018,Luas,0
Susukan,2019,Jenis Kolam Luas,1.66
Susukan,2019,Produksi,21810555
Susukan,2020,Jenis Kolam Luas,1.66
Susukan,2020,Produksi,0
Susukan,2020,Luas,0
Susukan,2021,Jenis Kolam Luas,1.66
Susukan,2021,Produksi,0
Susukan,2021,Luas,0
Susukan,2022,Jenis Kolam Luas,1.66
Susukan,2022,Produksi,0
Susukan,2022,Luas,0
Susukan,2023,Jenis Kolam Luas,1.66
Susukan,2023,Produksi,0
Susukan,2023,Luas,0
Susukan,2024,Jenis Kolam Luas,1.66
Susukan,2024,Produksi,0
Susukan,2024,Luas,0
Purworejo Klampok,2018,Jenis Kolam Luas,0.23
Purworejo Klampok,2018,Produksi,0
Purworejo Klampok,2018,Luas,0
Purworejo Klampok,2019,Jenis Kolam Luas,0.23
Purworejo Klampok,2019,Produksi,23716332
Purworejo Klampok,2020,Jenis Kolam Luas,0.23
Purworejo Klampok,2020,Produksi,0
Purworejo Klampok,2020,Luas,0
Purworejo Klampok,2021,Jenis Kolam Luas,0.23
Purworejo Klampok,2021,Produksi,0
Purworejo Klampok,2021,Luas,0
Purworejo Klampok,2022,Jenis Kolam Luas,0.23
Purworejo Klampok,2022,Produksi,0
Purworejo Klampok,2022,Luas,0
Purworejo Klampok,2023,Jenis Kolam Luas,0.23
Purworejo Klampok,2023,Produksi,0
Purworejo Klampok,2023,Luas,0
Purworejo Klampok,2024,Jenis Kolam Luas,0.23
Purworejo Klampok,2024,Produksi,0
Purworejo Klampok,2024,Luas,0
Mandiraja,2018,Jenis Kolam Luas,5.84
Mandiraja,2018,Produksi,0
Mandiraja,2018,Luas,0
Mandiraja,2019,Jenis Kolam Luas,5.84
Mandiraja,2019,Produksi,391531223
Mandiraja,2020,Jenis Kolam Luas,5.84
Mandiraja,2020,Produksi,0
Mandiraja,2020,Luas,0
Mandiraja,2021,Jenis Kolam Luas,5.84
Mandiraja,2021,Produksi,0
Mandiraja,2021,Luas,0
Mandiraja,2022,Jenis Kolam Luas,5.84
Mandiraja,2022,Produksi,0
Mandiraja,2022,Luas,0
Mandiraja,2023,Jenis Kolam Luas,5.84
Mandiraja,2023,Produksi,0
Mandiraja,2023,Luas,0
Mandiraja,2024,Jenis Kolam Luas,5.84
Mandiraja,2024,Produksi,0
Mandiraja,2024,Luas,0
Purwonegoro,2018,Jenis Kolam Luas,21.65
Purwonegoro,2018,Produksi,0
Purwonegoro,2018,Luas,0
Purwonegoro,2019,Jenis Kolam Luas,21.65
Purwonegoro,2019,Produksi,166861332
Purwonegoro,2020,Jenis Kolam Luas,21.65
Purwonegoro,2020,Produksi,0
Purwonegoro,2020,Luas,0
Purwonegoro,2021,Jenis Kolam Luas,21.65
Purwonegoro,2021,Produksi,0
Purwonegoro,2021,Luas,0
Purwonegoro,2022,Jenis Kolam Luas,21.65
Purwonegoro,2022,Produksi,0
Purwonegoro,2022,Luas,0
Purwonegoro,2023,Jenis Kolam Luas,21.65
Purwonegoro,2023,Produksi,0
Purwonegoro,2023,Luas,0
Purwonegoro,2024,Jenis Kolam Luas,21.65
Purwonegoro,2024,Produksi,0
Purwonegoro,2024,Luas,0
Bawang,2018,Jenis Kolam Luas,6.98
Bawang,2018,Produksi,5620000
Bawang,2018,Luas,2
Bawang,2019,Jenis Kolam Luas,6.98
Bawang,2019,Produksi,6595000
Bawang,2019,Luas,2
Bawang,2020,Jenis Kolam Luas,6.98
Bawang,2020,Produksi,7225000
Bawang,2020,Luas,2
Bawang,2021,Jenis Kolam Luas,6.98
Bawang,2021,Produksi,6000000
Bawang,2021,Luas,1
Bawang,2022,Jenis Kolam Luas,6.98
Bawang,2022,Produksi,7703000
Bawang,2022,Luas,1
Bawang,2023,Jenis Kolam Luas,6.98
Bawang,2023,Produksi,0
Bawang,2023,Luas,1
Bawang,2024,Jenis Kolam Luas,6.98
Bawang,2024,Produksi,6425000
Bawang,2024,Luas,1
Banjarnegara,2018,Jenis Kolam Luas,2.64
Banjarnegara,2018,Produksi,0
Banjarnegara,2018,Luas,0
Banjarnegara,2019,Jenis Kolam Luas,2.64
Banjarnegara,2019,Produksi,132557353
Banjarnegara,2020,Jenis Kolam Luas,2.64
Banjarnegara,2020,Produksi,0
Banjarnegara,2020,Luas,0
Banjarnegara,2021,Jenis Kolam Luas,2.64
Banjarnegara,2021,Produksi,0
Banjarnegara,2021,Luas,0
Banjarnegara,2022,Jenis Kolam Luas,2.64
Banjarnegara,2022,Produksi,0
Banjarnegara,2022,Luas,0
Banjarnegara,2023,Jenis Kolam Luas,2.64
Banjarnegara,2023,Produksi,0
Banjarnegara,2023,Luas,0
Banjarnegara,2024,Jenis Kolam Luas,2.64
Banjarnegara,2024,Produksi,0
Banjarnegara,2024,Luas,0
Pagedongan,2018,Jenis Kolam Luas,1.98
Pagedongan,2018,Produksi,0
Pagedongan,2018,Luas,0
Pagedongan,2019,Jenis Kolam Luas,1.98
Pagedongan,2019,Produksi,66066924
Pagedongan,2020,Jenis Kolam Luas,1.98
Pagedongan,2020,Produksi,0
Pagedongan,2020,Luas,0
Pagedongan,2021,Jenis Kolam Luas,1.98
Pagedongan,2021,Produksi,0
Pagedongan,2021,Luas,0
Pagedongan,2022,Jenis Kolam Luas,1.98
Pagedongan,2022,Produksi,0
Pagedongan,2022,Luas,0
Pagedongan,2023,Jenis Kolam Luas,1.98
Pagedongan,2023,Produksi,0
