kecamatan,tahun,metric,value
Susukan,2017,Mangga (ton) 2017,150
Susukan,2017,Durian (ton) 2017,35.3
Susukan,2017,Pisang (ton) 2017,1503.3
Susukan,2017,Pepaya (ton) 2017,751.5
Susukan,2017,Salak (ton) 2017,103.6
Susukan,2018,Mangga (ton) 2018,0
Susukan,2018,Durian (ton) 2018,550
Susukan,2018,Jeruk Besar (ton) 2018,0
Susukan,2018,Pisang (ton) 2018,1143
Susukan,2018,Pepaya (ton) 2018,1318.1
Susukan,2018,Salak (ton) 2018,144.6
Susukan,2018,Jeruk Siam (ton) 2018,0
Susukan,2019,Mangga (ton) 2019,600
Susukan,2019,Durian (ton) 2019,145.2
Susukan,2019,Jeruk Besar (ton) 2019,50
Susukan,2019,Pisang (ton) 2019,1170
Susukan,2019,Pepaya (ton) 2019,904.9
Susukan,2019,Salak (ton) 2019,280
Susukan,2019,Jeruk Siam (ton) 2019,0
Susukan,2020,Mangga (ton) 2020,842.5
Susukan,2020,Durian (ton) 2020,275
Susukan,2020,Jeruk Besar (ton) 2020,588
Susukan,2020,Pisang (ton) 2020,1685.2
Susukan,2020,Pepaya (ton) 2020,256.3
Susukan,2020,Salak (ton) 2020,158.1
Susukan,2020,Jeruk Siam (ton) 2020,0
Susukan,2021,Mangga (ton) 2021,1315.2
Susukan,2021,Durian (ton) 2021,1504.8
Susukan,2021,Jeruk Besar (ton) 2021,2352
Susukan,2021,Pisang (ton) 2021,5464
Susukan,2021,Pepaya (ton) 2021,1399.9
Susukan,2021,Salak (ton) 2021,312.4
Susukan,2021,Jeruk Siam (ton) 2021,0
Susukan,2022,Mangga (ton) 2022,0
Susukan,2022,Durian (ton) 2022,334.4
Susukan,2022,Jeruk Besar (ton) 2022,658.1
Susukan,2022,Pisang (ton) 2022,3182
Susukan,2022,Pepaya (ton) 2022,858.7
Susukan,2022,Salak (ton) 2022,80.9
Susukan,2022,Jeruk Siam (ton) 2022,0
Susukan,2023,Mangga (ton) 2023,0
Susukan,2023,Durian (ton) 2023,381.6
Susukan,2023,Pisang (ton) 2023,0
Susukan,2023,Pepaya (ton) 2023,15.82
Susukan,2023,Salak (ton) 2023,0
Susukan,2023,Jeruk Siam (ton) 2023,0
Susukan,2024,Mangga (ton) 2024,0
Susukan,2024,Durian (ton) 2024,11.45
Susukan,2024,Jeruk Besar (ton) 2024,0
Susukan,2024,Pisang (ton) 2024,0
Susukan,2024,Pepaya (ton) 2024,0
Susukan,2024,Salak (ton) 2024,0
Susukan,2024,Jeruk Siam (ton) 2024,0
Purworejo Klampok,2017,Mangga (ton) 2017,45.6
Purworejo Klampok,2017,Durian (ton) 2017,25
Purworejo Klampok,2017,Pisang (ton) 2017,943.2
Purworejo Klampok,2017,Pepaya (ton) 2017,46
Purworejo Klampok,2017,Salak (ton) 2017,0
Purworejo Klampok,2018,Mangga (ton) 2018,48.9
Purworejo Klampok,2018,Durian (ton) 2018,51.5
Purworejo Klampok,2018,Jeruk Besar (ton) 2018,0
Purworejo Klampok,2018,Pisang (ton) 2018,1247.8
Purworejo Klampok,2018,Pepaya (ton) 2018,33.4
Purworejo Klampok,2018,Salak (ton) 2018,0
Purworejo Klampok,2018,Jeruk Siam (ton) 2018,0
Purworejo Klampok,2019,Mangga (ton) 2019,49.4
Purworejo Klampok,2019,Durian (ton) 2019,43.6
Purworejo Klampok,2019,Jeruk Besar (ton) 2019,0
Purworejo Klampok,2019,Pisang (ton) 2019,1211.1
Purworejo Klampok,2019,Pepaya (ton) 2019,26.1
Purworejo Klampok,2019,Salak (ton) 2019,0
Purworejo Klampok,2019,Jeruk Siam (ton) 2019,0
Purworejo Klampok,2020,Mangga (ton) 2020,71.3
Purworejo Klampok,2020,Durian (ton) 2020,66.2
Purworejo Klampok,2020,Jeruk Besar (ton) 2020,0
Purworejo Klampok,2020,Pisang (ton) 2020,678.8
Purworejo Klampok,2020,Pepaya (ton) 2020,51.3
Purworejo Klampok,2020,Salak (ton) 2020,0
Purworejo Klampok,2020,Jeruk Siam (ton) 2020,0
Purworejo Klampok,2021,Mangga (ton) 2021,195.9
Purworejo Klampok,2021,Durian (ton) 2021,0
Purworejo Klampok,2021,Jeruk Besar (ton) 2021,0
Purworejo Klampok,2021,Pisang (ton) 2021,287.8
Purworejo Klampok,2021,Pepaya (ton) 2021,57.9
Purworejo Klampok,2021,Salak (ton) 2021,0
Purworejo Klampok,2021,Jeruk Siam (ton) 2021,0
Purworejo Klampok,2022,Mangga (ton) 2022,21.5
Purworejo Klampok,2022,Durian (ton) 2022,7.5
Purworejo Klampok,2022,Jeruk Besar (ton) 2022,0
Purworejo Klampok,2022,Pisang (ton) 2022,45.5
Purworejo Klampok,2022,Pepaya (ton) 2022,53
Purworejo Klampok,2022,Salak (ton) 2022,0
Purworejo Klampok,2022,Jeruk Siam (ton) 2022,0
Purworejo Klampok,2023,Mangga (ton) 2023,96.1
Purworejo Klampok,2023,Durian (ton) 2023,3.9
Purworejo Klampok,2023,Pisang (ton) 2023,47.71
Purworejo Klampok,2023,Pepaya (ton) 2023,7.11
Purworejo Klampok,2023,Salak (ton) 2023,0
Purworejo Klampok,2023,Jeruk Siam (ton) 2023,0
Purworejo Klampok,2024,Mangga (ton) 2024,88
Purworejo Klampok,2024,Durian (ton) 2024,0.28
Purworejo Klampok,2024,Jeruk Besar (ton) 2024,0
Purworejo Klampok,2024,Pisang (ton) 2024,5.55
Purworejo Klampok,2024,Pepaya (ton) 2024,4.9
Purworejo Klampok,2024,Salak (ton) 2024,0
Purworejo Klampok,2024,Jeruk Siam (ton) 2024,0
Mandiraja,2017,Mangga (ton) 2017,20
Mandiraja,2017,Durian (ton) 2017,379
Mandiraja,2017,Pisang (ton) 2017,884
Mandiraja,2017,Pepaya (ton) 2017,26.3
Mandiraja,2017,Salak (ton) 2017,44.8
Mandiraja,2018,Mangga (ton) 2018,225
Mandiraja,2018,Durian (ton) 2018,334.2
Mandiraja,2018,Jeruk Besar (ton) 2018,15
Mandiraja,2018,Pisang (ton) 2018,1097.2
Mandiraja,2018,Pepaya (ton) 2018,40.2
Mandiraja,2018,Salak (ton) 2018,61.1
Mandiraja,2018,Jeruk Siam (ton) 2018,37
Mandiraja,2019,Mangga (ton) 2019,1250
Mandiraja,2019,Durian (ton) 2019,4124
Mandiraja,2019,Jeruk Besar (ton) 2019,2
Mandiraja,2019,Pisang (ton) 2019,5537.4
Mandiraja,2019,Pepaya (ton) 2019,71.5
Mandiraja,2019,Salak (ton) 2019,151.6
Mandiraja,2019,Jeruk Siam (ton) 2019,85
Mandiraja,2020,Mangga (ton) 2020,900
Mandiraja,2020,Durian (ton) 2020,0
