kecamatan,tahun,metric,value
Susukan,2018,Sapi,16910.1
Susukan,2018,Kerbau,0
Susukan,2018,Babi,0
Susukan,2018,Kambing,7517.81
Susukan,2018,Domba,0
Susukan,2019,Sapi,16534.32
Susukan,2019,Kambing,5306.3
Susukan,2020,Sapi,18413.22
Susukan,2020,Kerbau,0
Susukan,2020,Babi,0
Susukan,2020,Kambing,8042.89
Susukan,2020,Domba,85.99
Susukan,2021,Sapi,22738.61
Susukan,2021,Kerbau,0
Susukan,2021,Babi,0
Susukan,2021,Kambing,8598.69
Susukan,2021,Domba,83.59
Susukan,2022,Sapi,19540
Susukan,2022,Kerbau,0
Susukan,2022,Babi,0
Susukan,2022,Kambing,8651.93
Susukan,2022,Domba,102.22
Susukan,2023,Sapi,19712.47
Susukan,2023,Kambing,5087.3
Susukan,2023,Domba,155.22
Susukan,2024,Sapi,18218.2
Susukan,2024,Kerbau,0
Susukan,2024,Babi,0
Susukan,2024,Kambing,3217.5
Susukan,2024,Domba,636.23
Purworejo Klampok,2018,Sapi,17473.77
Purworejo Klampok,2018,Kerbau,0
Purworejo Klampok,2018,Babi,0
Purworejo Klampok,2018,Kambing,4255.58
Purworejo Klampok,2018,Domba,10.58
Purworejo Klampok,2019,Sapi,17661.66
Purworejo Klampok,2019,Kambing,3127.33
Purworejo Klampok,2019,Domba,52.9
Purworejo Klampok,2020,Sapi,14091.75
Purworejo Klampok,2020,Kerbau,0
Purworejo Klampok,2020,Babi,0
Purworejo Klampok,2020,Kambing,3313.88
Purworejo Klampok,2020,Domba,45.02
Purworejo Klampok,2021,Sapi,17402
Purworejo Klampok,2021,Kerbau,0
Purworejo Klampok,2021,Babi,0
Purworejo Klampok,2021,Kambing,3542.88
Purworejo Klampok,2021,Domba,43.76
Purworejo Klampok,2022,Sapi,13137.18
Purworejo Klampok,2022,Kerbau,0
Purworejo Klampok,2022,Babi,0
Purworejo Klampok,2022,Kambing,3596.13
Purworejo Klampok,2022,Domba,67.05
Purworejo Klampok,2023,Sapi,13253.13
Purworejo Klampok,2023,Kambing,2114.51
Purworejo Klampok,2023,Domba,101.81
Purworejo Klampok,2024,Sapi,17288.7
Purworejo Klampok,2024,Kerbau,0
Purworejo Klampok,2024,Babi,0
Purworejo Klampok,2024,Kambing,5265
Purworejo Klampok,2024,Domba,938.7
Mandiraja,2018,Sapi,24801.48
Mandiraja,2018,Kerbau,0
Mandiraja,2018,Babi,0
Mandiraja,2018,Kambing,6851.82
Mandiraja,2018,Domba,317.42
Mandiraja,2019,Sapi,27807.72
Mandiraja,2019,Kambing,4459.55
Mandiraja,2019,Domba,82.88
Mandiraja,2020,Sapi,34008.09
Mandiraja,2020,Kerbau,0
Mandiraja,2020,Babi,0
Mandiraja,2020,Kambing,5898.84
Mandiraja,2020,Domba,452.36
Mandiraja,2021,Sapi,41996.82
Mandiraja,2021,Kerbau,0
Mandiraja,2021,Babi,0
Mandiraja,2021,Kambing,6306.48
Mandiraja,2021,Domba,439.73
Mandiraja,2022,Sapi,36665.8
Mandiraja,2022,Kerbau,0
Mandiraja,2022,Babi,0
Mandiraja,2022,Kambing,6386.34
Mandiraja,2022,Domba,453.7
Mandiraja,2023,Sapi,36989.43
Mandiraja,2023,Kambing,3755.14
Mandiraja,2023,Domba,688.94
Mandiraja,2024,Sapi,33276.1
Mandiraja,2024,Kerbau,0
Mandiraja,2024,Babi,0
Mandiraja,2024,Kambing,5490
Mandiraja,2024,Domba,1209.88
Purwonegoro,2018,Sapi,46972.5
Purwonegoro,2018,Kerbau,0
Purwonegoro,2018,Babi,0
Purwonegoro,2018,Kambing,6547.04
Purwonegoro,2018,Domba,306.84
Purwonegoro,2019,Sapi,45093.6
Purwonegoro,2019,Kambing,3127.33
Purwonegoro,2019,Domba,52.9
Purwonegoro,2020,Sapi,61252.14
Purwonegoro,2020,Kerbau,0
Purwonegoro,2020,Babi,0
Purwonegoro,2020,Kambing,9536.34
Purwonegoro,2020,Domba,544.8
Purwonegoro,2021,Sapi,75640.69
Purwonegoro,2021,Kerbau,0
Purwonegoro,2021,Babi,0
Purwonegoro,2021,Kambing,10195.34
Purwonegoro,2021,Domba,529.59
Purwonegoro,2022,Sapi,73508.28
Purwonegoro,2022,Kerbau,0
Purwonegoro,2022,Babi,0
Purwonegoro,2022,Kambing,10275.2
Purwonegoro,2022,Domba,543.56
Purwonegoro,2023,Sapi,74157.1
Purwonegoro,2023,Kambing,6041.78
Purwonegoro,2023,Domba,825.39
Purwonegoro,2024,Sapi,73802.3
Purwonegoro,2024,Kerbau,0
Purwonegoro,2024,Babi,0
Purwonegoro,2024,Kambing,4972.5
Purwonegoro,2024,Domba,1595.79
Bawang,2018,Sapi,50542.41
Bawang,2018,Kerbau,0
Bawang,2018,Babi,0
Bawang,2018,Kambing,3837.92
Bawang,2018,Domba,1999.77
Bawang,2019,Sapi,50730.3
Bawang,2019,Kambing,3432.16
Bawang,2019,Domba,1150.13
Bawang,2020,Sapi,55803.33
