kecamatan,tahun,metric,value
Susukan,2019,Ayam Ras Layer,263
Susukan,2019,Ayam Kampung,119081
Susukan,2020,Ayam Ras Layer,95828
Susukan,2020,Ayam Kampung,138990
Susukan,2021,Ayam Ras Layer,7543
Susukan,2021,Ayam Kampung,88513
Susukan,2022,Ayam Ras Layer,926.2
Susukan,2022,Ayam Kampung,50090.57
Susukan,2023,Ayam Ras Layer,470888.06
Susukan,2023,Ayam Kampung,920361.67
Susukan,2024,Ayam Ras Layer,555.43
Susukan,2024,Ayam Kampung,28860.83
Purworejo Klampok,2019,Ayam Ras Layer,44511
Purworejo Klampok,2019,Ayam Kampung,63488
Purworejo Klampok,2020,Ayam Ras Layer,45930
Purworejo Klampok,2020,Ayam Kampung,137936
Purworejo Klampok,2021,Ayam Ras Layer,477620
Purworejo Klampok,2021,Ayam Kampung,42424
Purworejo Klampok,2022,Ayam Ras Layer,6020.28
Purworejo Klampok,2022,Ayam Kampung,36872.23
Purworejo Klampok,2023,Ayam Ras Layer,423491.63
Purworejo Klampok,2023,Ayam Kampung,433930.24
Purworejo Klampok,2024,Ayam Ras Layer,2108.96
Purworejo Klampok,2024,Ayam Kampung,27507.96
Mandiraja,2019,Ayam Ras Layer,23336
Mandiraja,2019,Ayam Kampung,88370
Mandiraja,2020,Ayam Ras Layer,65829
Mandiraja,2020,Ayam Kampung,844032
Mandiraja,2021,Ayam Ras Layer,566440
Mandiraja,2021,Ayam Kampung,60804
Mandiraja,2022,Ayam Ras Layer,4763.3
Mandiraja,2022,Ayam Kampung,43133.55
Mandiraja,2023,Ayam Ras Layer,1791602.28
Mandiraja,2023,Ayam Kampung,624744.21
Mandiraja,2024,Ayam Ras Layer,10651.67
Mandiraja,2024,Ayam Kampung,28109.3
Purwonegoro,2019,Ayam Ras Layer,21320
Purwonegoro,2019,Ayam Kampung,190255
Purwonegoro,2020,Ayam Ras Layer,137668
Purwonegoro,2020,Ayam Kampung,647303
Purwonegoro,2021,Ayam Ras Layer,228746
Purwonegoro,2021,Ayam Kampung,127159
Purwonegoro,2022,Ayam Ras Layer,6086.44
Purwonegoro,2022,Ayam Kampung,31306.61
Purwonegoro,2023,Ayam Ras Layer,2181933.17
Purwonegoro,2023,Ayam Kampung,1327046.98
Purwonegoro,2024,Ayam Ras Layer,6046.85
Purwonegoro,2024,Ayam Kampung,43534.75
Bawang,2019,Ayam Ras Layer,5116
