kecamatan,tahun,metric,value
Susukan,2017,Kelapa Sawit (ton) 2017,0
Susukan,2017,Karet (ton) 2017,0
Susukan,2017,Tebu (ton) 2017,299.99
Susukan,2017,Teh (ton) 2017,0
Susukan,2017,Tembakau (ton) 2017,0
Susukan,2018,Kelapa Sawit (ton) 2018,0
Susukan,2018,Kelapa Dalam (ton) 2018,2402.53
Susukan,2018,Karet (ton) 2018,0
Susukan,2018,Kopi Robusta (ton) 2018,8.66
Susukan,2018,Kakao (ton) 2018,0
Susukan,2018,Tebu (ton) 2018,348
Susukan,2018,Teh (ton) 2018,0
Susukan,2018,Tembakau (ton) 2018,0
Susukan,2019,Kelapa Sawit (ton) 2019,0
Susukan,2019,Kelapa Dalam (ton) 2019,2537.23
Susukan,2019,Karet (ton) 2019,0
Susukan,2019,Kopi Robusta (ton) 2019,9.12
Susukan,2019,Kakao (ton) 2019,0
Susukan,2019,Tebu (ton) 2019,6.72
Susukan,2019,Teh (ton) 2019,0
Susukan,2019,Tembakau (ton) 2019,0
Susukan,2020,Kelapa Sawit (ton) 2020,0
Susukan,2020,Kelapa Dalam (ton) 2020,2743.17
Susukan,2020,Karet (ton) 2020,0
Susukan,2020,Kopi Robusta (ton) 2020,26.63
Susukan,2020,Kakao (ton) 2020,0
Susukan,2020,Tebu (ton) 2020,0
Susukan,2020,Teh (ton) 2020,0
Susukan,2020,Tembakau (ton) 2020,0
Susukan,2021,Kelapa Sawit (ton) 2021,0
Susukan,2021,Kelapa Dalam (ton) 2021,3311.95
Susukan,2021,Karet (ton) 2021,0
Susukan,2021,Kopi Robusta (ton) 2021,21.84
Susukan,2021,Kakao (ton) 2021,0
Susukan,2021,Tebu (ton) 2021,0
Susukan,2021,Teh (ton) 2021,0
Susukan,2021,Tembakau (ton) 2021,0
Susukan,2022,Kelapa Sawit (ton) 2022,0
Susukan,2022,Kelapa Dalam (ton) 2022,3414.91
Susukan,2022,Karet (ton) 2022,0
Susukan,2022,Kopi Robusta (ton) 2022,24.11
Susukan,2022,Kakao (ton) 2022,0
Susukan,2022,Tebu (ton) 2022,0
Susukan,2022,Teh (ton) 2022,0
