jenis_tanaman,tahun,metric,value
Dringo,2016,Produksi (Tangkai),0
Dringo,2018,Produksi (Tangkai),0
Dringo,2019,Produksi (Tangkai),0
Dringo,2020,Produksi (Tangkai),42
Dringo,2021,Produksi (Tangkai),0
Dringo,2022,Produksi (Tangkai),71
Dringo,2023,Produksi (Tangkai),0
Dringo,2024,Produksi (Tangkai),0
Jahe,2016,Produksi (Tangkai),0
Jahe,2018,Produksi (Tangkai),257078
Jahe,2019,Produksi (Tangkai),310937
Jahe,2020,Produksi (Tangkai),16750
Jahe,2021,Produksi (Tangkai),505470
Jahe,2022,Produksi (Tangkai),703639
Jahe,2023,Produksi (Tangkai),79495
Jahe,2024,Produksi (Tangkai),144296
Kapulaga,2016,Produksi (Tangkai),461.8
Kapulaga,2018,Produksi (Tangkai),5720
Kapulaga,2019,Produksi (Tangkai),9102
Kapulaga,2020,Produksi (Tangkai),8450
Kapulaga,2021,Produksi (Tangkai),20558
Kapulaga,2022,Produksi (Tangkai),1583829
Kapulaga,2023,Produksi (Tangkai),510119
Kapulaga,2024,Produksi (Tangkai),930421
Kencur,2016,Produksi (Tangkai),0
Kencur,2018,Produksi (Tangkai),40847
Kencur,2019,Produksi (Tangkai),90633
Kencur,2020,Produksi (Tangkai),95410
Kencur,2021,Produksi (Tangkai),115540
Kencur,2022,Produksi (Tangkai),46128
Kencur,2023,Produksi (Tangkai),86707
Kencur,2024,Produksi (Tangkai),40558
Kunyit,2016,Produksi (Tangkai),0
Kunyit,2018,Produksi (Tangkai),63212
Kunyit,2019,Produksi (Tangkai),116091
Kunyit,2020,Produksi (Tangkai),105392
Kunyit,2021,Produksi (Tangkai),132536
Kunyit,2022,Produksi (Tangkai),74848
Kunyit,2023,Produksi (Tangkai),21967
Kunyit,2024,Produksi (Tangkai),56560
Laos,2016,Produksi (Tangkai),0
Laos,2018,Produksi (Tangkai),18571
Laos,2019,Produksi (Tangkai),107114
Laos,2020,Produksi (Tangkai),33580
Laos,2021,Produksi (Tangkai),101105
Laos,2022,Produksi (Tangkai),180078
Laos,2023,Produksi (Tangkai),10556
Laos,2024,Produksi (Tangkai),13525
Lempuyang,2016,Produksi (Tangkai),0
Lempuyang,2018,Produksi (Tangkai),8021
Lempuyang,2019,Produksi (Tangkai),3933
Lempuyang,2020,Produksi (Tangkai),19431
Lempuyang,2021,Produksi (Tangkai),4940
Lempuyang,2022,Produksi (Tangkai),4150
Lempuyang,2023,Produksi (Tangkai),9821
Lempuyang,2024,Produksi (Tangkai),25070
Lidah Buaya,2016,Produksi (Tangkai),0
Lidah Buaya,2018,Produksi (Tangkai),0
Lidah Buaya,2019,Produksi (Tangkai),0
Lidah Buaya,2020,Produksi (Tangkai),1500
Lidah Buaya,2021,Produksi (Tangkai),0
Lidah Buaya,2022,Produksi (Tangkai),0
Lidah Buaya,2023,Produksi (Tangkai),0
Lidah Buaya,2024,Produksi (Tangkai),0
Mengkudu,2016,Produksi (Tangkai),0
Mengkudu,2018,Produksi (Tangkai),0
Mengkudu,2019,Produksi (Tangkai),0
Mengkudu,2020,Produksi (Tangkai),0
Mengkudu,2021,Produksi (Tangkai),73080
Mengkudu,2022,Produksi (Tangkai),0
Mengkudu,2023,Produksi (Tangkai),0
Mengkudu,2024,Produksi (Tangkai),0
Temuireng,2016,Produksi (Tangkai),0
Temuireng,2018,Produksi (Tangkai),0
Temuireng,2019,Produksi (Tangkai),4899
Temuireng,2020,Produksi (Tangkai),19800
Temuireng,2021,Produksi (Tangkai),0
Temuireng,2022,Produksi (Tangkai),0
Temuireng,2023,Produksi (Tangkai),0
Temuireng,2024,Produksi (Tangkai),0
Temukunci,2016,Produksi (Tangkai),0
Temukunci,2018,Produksi (Tangkai),90
Temukunci,2019,Produksi (Tangkai),0
Temukunci,2020,Produksi (Tangkai),25448
Temukunci,2021,Produksi (Tangkai),0
Temukunci,2022,Produksi (Tangkai),0
Temukunci,2023,Produksi (Tangkai),0
Temukunci,2024,Produksi (Tangkai),0
Temulawak,2016,Produksi (Tangkai),0
Temulawak,2018,Produksi (Tangkai),2720
Temulawak,2019,Produksi (Tangkai),5406
Temulawak,2020,Produksi (Tangkai),21894
Temulawak,2021,Produksi (Tangkai),0
Temulawak,2022,Produksi (Tangkai),0
Temulawak,2023,Produksi (Tangkai),209236
Temulawak,2024,Produksi (Tangkai),1380
Sambiloto,2016,Produksi (Tangkai),0
Sambiloto,2018,Produksi (Tangkai),555
Sambiloto,2019,Produksi (Tangkai),1678
Sambiloto,2020,Produksi (Tangkai),1935
Sambiloto,2021,Produksi (Tangkai),0
Sambiloto,2022,Produksi (Tangkai),8090
Sambiloto,2023,Produksi (Tangkai),640
Sambiloto,2024,Produksi (Tangkai),0
