kecamatan,tahun,metric,value
Susukan,2019,Jahe (Tangkai) 2019,696
Susukan,2019,Laos (Tangkai) 2019,2198
Susukan,2019,Kencur (Tangkai) 2019,3501
Susukan,2019,Kunyit (Tangkai) 2019,20520
Susukan,2020,Jahe (Tangkai) 2020,0
Susukan,2020,Laos (Tangkai) 2020,0
Susukan,2020,Kencur (Tangkai) 2020,9400
Susukan,2020,Kunyit (Tangkai) 2020,19780
Susukan,2021,Jahe (Tangkai) 2021,0
Susukan,2021,Laos (Tangkai) 2021,0
Susukan,2021,Kencur (Tangkai) 2021,0
Susukan,2021,Kunyit (Tangkai) 2021,0
Susukan,2022,Jahe (Tangkai) 2022,7500
Susukan,2022,Laos (Tangkai) 2022,0
Susukan,2022,Kencur (Tangkai) 2022,13910
Susukan,2022,Kunyit (Tangkai) 2022,0
Susukan,2023,Jahe (Tangkai) 2023,3550
Susukan,2023,Laos (Tangkai) 2023,0
Susukan,2023,Kencur (Tangkai) 2023,620
Susukan,2023,Kunyit (Tangkai) 2023,800
Susukan,2024,Jahe (Tangkai) 2024,1100
Susukan,2024,Laos (Tangkai) 2024,0
Susukan,2024,Kencur (Tangkai) 2024,1240
Susukan,2024,Kunyit (Tangkai) 2024,1600
Purworejo Klampok,2019,Jahe (Tangkai) 2019,0
Purworejo Klampok,2019,Laos (Tangkai) 2019,0
Purworejo Klampok,2019,Kencur (Tangkai) 2019,0
Purworejo Klampok,2019,Kunyit (Tangkai) 2019,0
Purworejo Klampok,2020,Jahe (Tangkai) 2020,0
Purworejo Klampok,2020,Laos (Tangkai) 2020,0
Purworejo Klampok,2020,Kencur (Tangkai) 2020,0
Purworejo Klampok,2020,Kunyit (Tangkai) 2020,0
Purworejo Klampok,2021,Jahe (Tangkai) 2021,0
Purworejo Klampok,2021,Laos (Tangkai) 2021,0
Purworejo Klampok,2021,Kencur (Tangkai) 2021,0
Purworejo Klampok,2021,Kunyit (Tangkai) 2021,0
Purworejo Klampok,2022,Jahe (Tangkai) 2022,0
Purworejo Klampok,2022,Laos (Tangkai) 2022,0
Purworejo Klampok,2022,Kencur (Tangkai) 2022,0
Purworejo Klampok,2022,Kunyit (Tangkai) 2022,0
Purworejo Klampok,2023,Jahe (Tangkai) 2023,0
Purworejo Klampok,2023,Laos (Tangkai) 2023,0
Purworejo Klampok,2023,Kencur (Tangkai) 2023,0
Purworejo Klampok,2023,Kunyit (Tangkai) 2023,0
Purworejo Klampok,2024,Jahe (Tangkai) 2024,0
Purworejo Klampok,2024,Laos (Tangkai) 2024,0
Purworejo Klampok,2024,Kencur (Tangkai) 2024,0
Purworejo Klampok,2024,Kunyit (Tangkai) 2024,0
Mandiraja,2019,Jahe (Tangkai) 2019,2000
Mandiraja,2019,Laos (Tangkai) 2019,1800
Mandiraja,2019,Kencur (Tangkai) 2019,1369
Mandiraja,2019,Kunyit (Tangkai) 2019,2000
Mandiraja,2020,Jahe (Tangkai) 2020,0
Mandiraja,2020,Laos (Tangkai) 2020,2000
Mandiraja,2020,Kencur (Tangkai) 2020,1819
Mandiraja,2020,Kunyit (Tangkai) 2020,2500
Mandiraja,2021,Jahe (Tangkai) 2021,9780
Mandiraja,2021,Laos (Tangkai) 2021,0
Mandiraja,2021,Kencur (Tangkai) 2021,0
Mandiraja,2021,Kunyit (Tangkai) 2021,0
Mandiraja,2022,Jahe (Tangkai) 2022,1250
Mandiraja,2022,Laos (Tangkai) 2022,0
Mandiraja,2022,Kencur (Tangkai) 2022,0
Mandiraja,2022,Kunyit (Tangkai) 2022,500
Mandiraja,2023,Jahe (Tangkai) 2023,3570
Mandiraja,2023,Laos (Tangkai) 2023,0
Mandiraja,2023,Kencur (Tangkai) 2023,0
Mandiraja,2023,Kunyit (Tangkai) 2023,0
Mandiraja,2024,Jahe (Tangkai) 2024,0
Mandiraja,2024,Laos (Tangkai) 2024,570
