jenis_tanaman,tahun,metric,value
Agloenema,2018,Produksi (tangkai),0
Agloenema,2019,Produksi (tangkai),0
Agloenema,2020,Produksi (tangkai),0
Agloenema,2021,Produksi (tangkai),180
Agloenema,2022,Produksi (tangkai),98
Agloenema,2023,Produksi (tangkai),69
Agloenema,2024,Produksi (tangkai),47
Anthurium Daun,2018,Produksi (tangkai),37
Anthurium Daun,2019,Produksi (tangkai),0
Anthurium Daun,2020,Produksi (tangkai),0
Anthurium Daun,2021,Produksi (tangkai),21
Anthurium Daun,2022,Produksi (tangkai),84
Anthurium Daun,2023,Produksi (tangkai),0
Anthurium Daun,2024,Produksi (tangkai),0
Caladium,2018,Produksi (tangkai),0
Caladium,2019,Produksi (tangkai),0
Caladium,2020,Produksi (tangkai),0
Caladium,2021,Produksi (tangkai),0
Caladium,2022,Produksi (tangkai),10000
Caladium,2023,Produksi (tangkai),0
Caladium,2024,Produksi (tangkai),0
Pakis,2018,Produksi (tangkai),0
Pakis,2019,Produksi (tangkai),0
Pakis,2020,Produksi (tangkai),0
Pakis,2021,Produksi (tangkai),1
Pakis,2022,Produksi (tangkai),2
Pakis,2023,Produksi (tangkai),0
Pakis,2024,Produksi (tangkai),18
Sansievera Pedang-Pedangan,2018,Produksi (tangkai),0
Sansievera Pedang-Pedangan,2019,Produksi (tangkai),0
Sansievera Pedang-Pedangan,2020,Produksi (tangkai),0
Sansievera Pedang-Pedangan,2021,Produksi (tangkai),47
Sansievera Pedang-Pedangan,2022,Produksi (tangkai),30
Sansievera Pedang-Pedangan,2023,Produksi (tangkai),13
Sansievera Pedang-Pedangan,2024,Produksi (tangkai),5
Soka,2018,Produksi (tangkai),0
Soka,2019,Produksi (tangkai),0
Soka,2020,Produksi (tangkai),0
Soka,2021,Produksi (tangkai),80
Soka,2022,Produksi (tangkai),0
Soka,2023,Produksi (tangkai),0
Soka,2024,Produksi (tangkai),0
Krisan,2018,Produksi (tangkai),0
Krisan,2019,Produksi (tangkai),0
Krisan,2020,Produksi (tangkai),0
Krisan,2021,Produksi (tangkai),0
Krisan,2022,Produksi (tangkai),0
Krisan,2023,Produksi (tangkai),0
Krisan,2024,Produksi (tangkai),0
Mawar,2018,Produksi (tangkai),0
Mawar,2019,Produksi (tangkai),0
Mawar,2020,Produksi (tangkai),0
Mawar,2021,Produksi (tangkai),0
Mawar,2022,Produksi (tangkai),0
Mawar,2023,Produksi (tangkai),0
Mawar,2024,Produksi (tangkai),0
Melati,2018,Produksi (tangkai),115
Melati,2019,Produksi (tangkai),0
Melati,2020,Produksi (tangkai),0
Melati,2021,Produksi (tangkai),88
Melati,2022,Produksi (tangkai),140
Melati,2023,Produksi (tangkai),0
Melati,2024,Produksi (tangkai),0
Palem,2018,Produksi (tangkai),28
Palem,2019,Produksi (tangkai),0
Palem,2020,Produksi (tangkai),0
Palem,2021,Produksi (tangkai),84
Palem,2022,Produksi (tangkai),61
Palem,2023,Produksi (tangkai),44
Palem,2024,Produksi (tangkai),20
Pisang-pisangan,2018,Produksi (tangkai),0
Pisang-pisangan,2019,Produksi (tangkai),0
Pisang-pisangan,2020,Produksi (tangkai),0
Pisang-pisangan,2021,Produksi (tangkai),0
Pisang-pisangan,2022,Produksi (tangkai),0
Pisang-pisangan,2023,Produksi (tangkai),0
Pisang-pisangan,2024,Produksi (tangkai),0
Sedap Malam,2018,Produksi (tangkai),0
Sedap Malam,2019,Produksi (tangkai),0
Sedap Malam,2020,Produksi (tangkai),0
Sedap Malam,2021,Produksi (tangkai),0
Sedap Malam,2022,Produksi (tangkai),0
Sedap Malam,2023,Produksi (tangkai),0
Sedap Malam,2024,Produksi (tangkai),0
