kecamatan,tahun,metric,value
Susukan,2019,Agloenema (tangkai) 2019,0
Susukan,2019,Krisan (tangkai) 2019,0
Susukan,2019,Mawar (tangkai) 2019,0
Susukan,2019,Soka (tangkai) 2019,0
Susukan,2020,Agloenema (tangkai) 2020,0
Susukan,2020,Krisan (tangkai) 2020,0
Susukan,2020,Mawar (tangkai) 2020,0
Susukan,2020,Soka (tangkai) 2020,0
Susukan,2021,Agloenema (tangkai) 2021,0
Susukan,2021,Krisan (tangkai) 2021,0
Susukan,2021,Mawar (tangkai) 2021,0
Susukan,2021,Soka (tangkai) 2021,0
Susukan,2022,Agloenema (tangkai) 2022,0
Susukan,2022,Krisan (tangkai) 2022,0
Susukan,2022,Mawar (tangkai) 2022,0
Susukan,2022,Soka (tangkai) 2022,0
Susukan,2023,Agloenema (tangkai) 2023,0
Susukan,2023,Krisan (tangkai) 2023,0
Susukan,2023,Mawar (tangkai) 2023,0
Susukan,2023,Soka (tangkai) 2023,0
Susukan,2024,Agloenema (tangkai) 2024,0
Susukan,2024,Krisan (tangkai) 2024,0
Susukan,2024,Mawar (tangkai) 2024,0
Susukan,2024,Soka (tangkai) 2024,0
Purworejo Klampok,2019,Agloenema (tangkai) 2019,0
Purworejo Klampok,2019,Krisan (tangkai) 2019,0
Purworejo Klampok,2019,Mawar (tangkai) 2019,0
Purworejo Klampok,2019,Soka (tangkai) 2019,0
Purworejo Klampok,2020,Agloenema (tangkai) 2020,0
Purworejo Klampok,2020,Krisan (tangkai) 2020,0
Purworejo Klampok,2020,Mawar (tangkai) 2020,0
Purworejo Klampok,2020,Soka (tangkai) 2020,0
Purworejo Klampok,2021,Agloenema (tangkai) 2021,0
Purworejo Klampok,2021,Krisan (tangkai) 2021,0
Purworejo Klampok,2021,Mawar (tangkai) 2021,0
Purworejo Klampok,2021,Soka (tangkai) 2021,0
Purworejo Klampok,2022,Agloenema (tangkai) 2022,0
Purworejo Klampok,2022,Krisan (tangkai) 2022,0
Purworejo Klampok,2022,Mawar (tangkai) 2022,0
Purworejo Klampok,2022,Soka (tangkai) 2022,0
Purworejo Klampok,2023,Agloenema (tangkai) 2023,0
Purworejo Klampok,2023,Krisan (tangkai) 2023,0
Purworejo Klampok,2023,Mawar (tangkai) 2023,0
Purworejo Klampok,2023,Soka (tangkai) 2023,0
Purworejo Klampok,2024,Agloenema (tangkai) 2024,0
Purworejo Klampok,2024,Krisan (tangkai) 2024,0
Purworejo Klampok,2024,Mawar (tangkai) 2024,0
Purworejo Klampok,2024,Soka (tangkai) 2024,0
Mandiraja,2019,Agloenema (tangkai) 2019,0
Mandiraja,2019,Krisan (tangkai) 2019,0
Mandiraja,2019,Mawar (tangkai) 2019,0
Mandiraja,2019,Soka (tangkai) 2019,0
Mandiraja,2020,Agloenema (tangkai) 2020,0
Mandiraja,2020,Krisan (tangkai) 2020,0
Mandiraja,2020,Mawar (tangkai) 2020,0
Mandiraja,2020,Soka (tangkai) 2020,0
Mandiraja,2021,Agloenema (tangkai) 2021,0
Mandiraja,2021,Krisan (tangkai) 2021,0
Mandiraja,2021,Mawar (tangkai) 2021,0
Mandiraja,2021,Soka (tangkai) 2021,0
Mandiraja,2022,Agloenema (tangkai) 2022,0
Mandiraja,2022,Krisan (tangkai) 2022,0
Mandiraja,2022,Mawar (tangkai) 2022,0
Mandiraja,2022,Soka (tangkai) 2022,0
Mandiraja,2023,Agloenema (tangkai) 2023,0
Mandiraja,2023,Krisan (tangkai) 2023,0
Mandiraja,2023,Mawar (tangkai) 2023,0
Mandiraja,2023,Soka (tangkai) 2023,0
Mandiraja,2024,Agloenema (tangkai) 2024,0
Mandiraja,2024,Krisan (tangkai) 2024,0
Mandiraja,2024,Mawar (tangkai) 2024,0
Mandiraja,2024,Soka (tangkai) 2024,0
Purwonegoro,2019,Agloenema (tangkai) 2019,0
Purwonegoro,2019,Krisan (tangkai) 2019,0
Purwonegoro,2019,Mawar (tangkai) 2019,0
Purwonegoro,2019,Soka (tangkai) 2019,0
Purwonegoro,2020,Agloenema (tangkai) 2020,0
Purwonegoro,2020,Krisan (tangkai) 2020,0
Purwonegoro,2020,Mawar (tangkai) 2020,0
Purwonegoro,2020,Soka (tangkai) 2020,0
Purwonegoro,2021,Agloenema (tangkai) 2021,0
Purwonegoro,2021,Krisan (tangkai) 2021,0
Purwonegoro,2021,Mawar (tangkai) 2021,0
Purwonegoro,2021,Soka (tangkai) 2021,0
Purwonegoro,2022,Agloenema (tangkai) 2022,0
Purwonegoro,2022,Krisan (tangkai) 2022,0
Purwonegoro,2022,Mawar (tangkai) 2022,0
Purwonegoro,2022,Soka (tangkai) 2022,0
Purwonegoro,2023,Agloenema (tangkai) 2023,0
Purwonegoro,2023,Krisan (tangkai) 2023,0
Purwonegoro,2023,Mawar (tangkai) 2023,0
Purwonegoro,2023,Soka (tangkai) 2023,0
Purwonegoro,2024,Agloenema (tangkai) 2024,0
Purwonegoro,2024,Krisan (tangkai) 2024,0
Purwonegoro,2024,Mawar (tangkai) 2024,0
Purwonegoro,2024,Soka (tangkai) 2024,0
Bawang,2019,Agloenema (tangkai) 2019,0
Bawang,2019,Krisan (tangkai) 2019,0
Bawang,2019,Mawar (tangkai) 2019,0
Bawang,2019,Soka (tangkai) 2019,0
Bawang,2020,Agloenema (tangkai) 2020,0
Bawang,2020,Krisan (tangkai) 2020,0
Bawang,2020,Mawar (tangkai) 2020,0
Bawang,2020,Soka (tangkai) 2020,0
Bawang,2021,Agloenema (tangkai) 2021,0
Bawang,2021,Krisan (tangkai) 2021,0
Bawang,2021,Mawar (tangkai) 2021,0
