kecamatan,tahun,metric,value
Susukan,2017,Bawang Merah (ton) 2017,0
Susukan,2017,Cabai Besar (ton) 2017,0
Susukan,2017,Kentang (ton) 2017,0
Susukan,2017,Kubis (ton) 2017,0
Susukan,2017,Petsai (ton) 2017,0
Susukan,2017,Tomat (ton) 2017,0
Susukan,2017,Bawang Putih (ton) 2017,0
Susukan,2017,Cabai Rawit (ton) 2017,0
Susukan,2018,Bawang Merah (ton) 2018,0
Susukan,2018,Cabai Besar (ton) 2018,38.6
Susukan,2018,Kentang (ton) 2018,0
Susukan,2018,Kubis (ton) 2018,0
Susukan,2018,Petsai (ton) 2018,0
Susukan,2018,Tomat (ton) 2018,0
Susukan,2018,Bawang Putih (ton) 2018,0
Susukan,2018,Cabai Rawit (ton) 2018,0
Susukan,2019,Bawang Merah (ton) 2019,0
Susukan,2019,Cabai Besar (ton) 2019,30
Susukan,2019,Kentang (ton) 2019,0
Susukan,2019,Kubis (ton) 2019,0
Susukan,2019,Petsai (ton) 2019,0
Susukan,2019,Tomat (ton) 2019,0
Susukan,2019,Bawang Putih (ton) 2019,0
Susukan,2019,Cabai Rawit (ton) 2019,79
Susukan,2020,Bawang Merah (ton) 2020,0
Susukan,2020,Cabai Besar (ton) 2020,0
Susukan,2020,Kentang (ton) 2020,0
Susukan,2020,Kubis (ton) 2020,0
Susukan,2020,Petsai (ton) 2020,0
Susukan,2020,Tomat (ton) 2020,0
Susukan,2020,Bawang Putih (ton) 2020,0
Susukan,2020,Cabai Rawit (ton) 2020,0
Susukan,2021,Bawang Merah (ton) 2021,0
Susukan,2021,Cabai Besar (ton) 2021,0
Susukan,2021,Kentang (ton) 2021,0
Susukan,2021,Kubis (ton) 2021,0
Susukan,2021,Petsai (ton) 2021,0
Susukan,2021,Tomat (ton) 2021,0
Susukan,2021,Bawang Putih (ton) 2021,0
Susukan,2021,Cabai Rawit (ton) 2021,0
Susukan,2022,Bawang Merah (ton) 2022,0
Susukan,2022,Cabai Besar (ton) 2022,0
Susukan,2022,Kentang (ton) 2022,0
Susukan,2022,Kubis (ton) 2022,0
Susukan,2022,Petsai (ton) 2022,0
Susukan,2022,Tomat (ton) 2022,0
Susukan,2022,Bawang Putih (ton) 2022,0
Susukan,2022,Cabai Rawit (ton) 2022,0
Susukan,2023,Bawang Merah (ton) 2023,0
Susukan,2023,Cabai Besar (ton) 2023,0
Susukan,2023,Kentang (ton) 2023,0
Susukan,2023,Kubis (ton) 2023,0
Susukan,2023,Petsai (ton) 2023,0
Susukan,2023,Tomat (ton) 2023,0
Susukan,2023,Bawang Putih (ton) 2023,0
Susukan,2023,Cabai Rawit (ton) 2023,0
Susukan,2024,Bawang Merah (ton) 2024,0
Susukan,2024,Cabai Besar (ton) 2024,0
Susukan,2024,Kentang (ton) 2024,0
Susukan,2024,Kubis (ton) 2024,0
Susukan,2024,Petsai (ton) 2024,0
Susukan,2024,Tomat (ton) 2024,0
Susukan,2024,Bawang Putih (ton) 2024,0
Susukan,2024,Cabai Rawit (ton) 2024,0
Purworejo Klampok,2017,Bawang Merah (ton) 2017,0
Purworejo Klampok,2017,Cabai Besar (ton) 2017,0
Purworejo Klampok,2017,Kentang (ton) 2017,0
Purworejo Klampok,2017,Kubis (ton) 2017,0
Purworejo Klampok,2017,Petsai (ton) 2017,0
Purworejo Klampok,2017,Tomat (ton) 2017,0
Purworejo Klampok,2017,Bawang Putih (ton) 2017,0
Purworejo Klampok,2017,Cabai Rawit (ton) 2017,0
Purworejo Klampok,2018,Bawang Merah (ton) 2018,0
Purworejo Klampok,2018,Cabai Besar (ton) 2018,0
Purworejo Klampok,2018,Kentang (ton) 2018,0
Purworejo Klampok,2018,Kubis (ton) 2018,0
Purworejo Klampok,2018,Petsai (ton) 2018,0
Purworejo Klampok,2018,Tomat (ton) 2018,0
Purworejo Klampok,2018,Bawang Putih (ton) 2018,0
Purworejo Klampok,2018,Cabai Rawit (ton) 2018,0
Purworejo Klampok,2019,Bawang Merah (ton) 2019,0
Purworejo Klampok,2019,Cabai Besar (ton) 2019,0
Purworejo Klampok,2019,Kentang (ton) 2019,0
Purworejo Klampok,2019,Kubis (ton) 2019,0
Purworejo Klampok,2019,Petsai (ton) 2019,0
Purworejo Klampok,2019,Tomat (ton) 2019,0
Purworejo Klampok,2019,Bawang Putih (ton) 2019,0
Purworejo Klampok,2019,Cabai Rawit (ton) 2019,0
Purworejo Klampok,2020,Bawang Merah (ton) 2020,0
Purworejo Klampok,2020,Cabai Besar (ton) 2020,0
Purworejo Klampok,2020,Kentang (ton) 2020,0
Purworejo Klampok,2020,Kubis (ton) 2020,0
Purworejo Klampok,2020,Petsai (ton) 2020,0
Purworejo Klampok,2020,Tomat (ton) 2020,0
Purworejo Klampok,2020,Bawang Putih (ton) 2020,0
Purworejo Klampok,2020,Cabai Rawit (ton) 2020,0
Purworejo Klampok,2021,Bawang Merah (ton) 2021,0
Purworejo Klampok,2021,Cabai Besar (ton) 2021,0
Purworejo Klampok,2021,Kentang (ton) 2021,0
Purworejo Klampok,2021,Kubis (ton) 2021,0
Purworejo Klampok,2021,Petsai (ton) 2021,0
Purworejo Klampok,2021,Tomat (ton) 2021,0
Purworejo Klampok,2021,Bawang Putih (ton) 2021,0
Purworejo Klampok,2021,Cabai Rawit (ton) 2021,0
Purworejo Klampok,2022,Bawang Merah (ton) 2022,0
Purworejo Klampok,2022,Cabai Besar (ton) 2022,0
Purworejo Klampok,2022,Kentang (ton) 2022,0
Purworejo Klampok,2022,Kubis (ton) 2022,0
Purworejo Klampok,2022,Petsai (ton) 2022,0
Purworejo Klampok,2022,Tomat (ton) 2022,0
Purworejo Klampok,2022,Bawang Putih (ton) 2022,0
Purworejo Klampok,2022,Cabai Rawit (ton) 2022,0
Purworejo Klampok,2023,Bawang Merah (ton) 2023,0
Purworejo Klampok,2023,Cabai Besar (ton) 2023,0
Purworejo Klampok,2023,Kentang (ton) 2023,0
Purworejo Klampok,2023,Kubis (ton) 2023,0
Purworejo Klampok,2023,Petsai (ton) 2023,0
Purworejo Klampok,2023,Tomat (ton) 2023,0
Purworejo Klampok,2023,Bawang Putih (ton) 2023,0
Purworejo Klampok,2023,Cabai Rawit (ton) 2023,0
Purworejo Klampok,2024,Bawang Merah (ton) 2024,0
Purworejo Klampok,2024,Cabai Besar (ton) 2024,1
Purworejo Klampok,2024,Kentang (ton) 2024,0
Purworejo Klampok,2024,Kubis (ton) 2024,0
Purworejo Klampok,2024,Petsai (ton) 2024,0
Purworejo Klampok,2024,Tomat (ton) 2024,0
Purworejo Klampok,2024,Bawang Putih (ton) 2024,0
Purworejo Klampok,2024,Cabai Rawit (ton) 2024,1.5
Mandiraja,2017,Bawang Merah (ton) 2017,0
Mandiraja,2017,Cabai Besar (ton) 2017,0
Mandiraja,2017,Kentang (ton) 2017,0
Mandiraja,2017,Kubis (ton) 2017,0
Mandiraja,2017,Petsai (ton) 2017,0
Mandiraja,2017,Tomat (ton) 2017,0
Mandiraja,2017,Bawang Putih (ton) 2017,0
Mandiraja,2017,Cabai Rawit (ton) 2017,0
Mandiraja,2018,Bawang Merah (ton) 2018,0
Mandiraja,2018,Cabai Besar (ton) 2018,20
Mandiraja,2018,Kentang (ton) 2018,0
Mandiraja,2018,Kubis (ton) 2018,0
Mandiraja,2018,Petsai (ton) 2018,0
Mandiraja,2018,Tomat (ton) 2018,0
Mandiraja,2018,Bawang Putih (ton) 2018,0
Mandiraja,2018,Cabai Rawit (ton) 2018,10
Mandiraja,2019,Bawang Merah (ton) 2019,0
Mandiraja,2019,Cabai Besar (ton) 2019,162.5
Mandiraja,2019,Kentang (ton) 2019,0
Mandiraja,2019,Kubis (ton) 2019,0
Mandiraja,2019,Petsai (ton) 2019,0
Mandiraja,2019,Tomat (ton) 2019,0
Mandiraja,2019,Bawang Putih (ton) 2019,0
Mandiraja,2019,Cabai Rawit (ton) 2019,35.2
Mandiraja,2020,Bawang Merah (ton) 2020,0
Mandiraja,2020,Cabai Besar (ton) 2020,45
Mandiraja,2020,Kentang (ton) 2020,0
Mandiraja,2020,Kubis (ton) 2020,0
Mandiraja,2020,Petsai (ton) 2020,0
Mandiraja,2020,Tomat (ton) 2020,0
Mandiraja,2020,Bawang Putih (ton) 2020,0
Mandiraja,2020,Cabai Rawit (ton) 2020,20
Mandiraja,2021,Bawang Merah (ton) 2021,42.3
Mandiraja,2021,Cabai Besar (ton) 2021,60.9
Mandiraja,2021,Kentang (ton) 2021,0
Mandiraja,2021,Kubis (ton) 2021,0
Mandiraja,2021,Petsai (ton) 2021,0
Mandiraja,2021,Tomat (ton) 2021,0
Mandiraja,2021,Bawang Putih (ton) 2021,0
Mandiraja,2021,Cabai Rawit (ton) 2021,60.2
Mandiraja,2022,Bawang Merah (ton) 2022,15
Mandiraja,2022,Cabai Besar (ton) 2022,22.5
Mandiraja,2022,Kentang (ton) 2022,0
Mandiraja,2022,Kubis (ton) 2022,0
Mandiraja,2022,Petsai (ton) 2022,0
Mandiraja,2022,Tomat (ton) 2022,0
Mandiraja,2022,Bawang Putih (ton) 2022,0
Mandiraja,2022,Cabai Rawit (ton) 2022,4.7
Mandiraja,2023,Bawang Merah (ton) 2023,0.2
Mandiraja,2023,Cabai Besar (ton) 2023,8.3
Mandiraja,2023,Kentang (ton) 2023,0
