jenis_tanaman,tahun,metric,value
Bawang Daun,2016,Produksi (Ton),9340.1
Bawang Daun,2018,Produksi (Ton),0
Bawang Daun,2019,Produksi (Ton),14056.7
Bawang Daun,2020,Produksi (Ton),15807.4
Bawang Daun,2021,Produksi (Ton),18085.6
Bawang Daun,2022,Produksi (Ton),18196.3
Bawang Daun,2023,Produksi (Ton),16151.2
Bawang Daun,2024,Produksi (Ton),10175.5
Bawang Merah,2016,Produksi (Ton),0
Bawang Merah,2018,Produksi (Ton),64.4
Bawang Merah,2019,Produksi (Ton),37.3
Bawang Merah,2020,Produksi (Ton),85.8
Bawang Merah,2021,Produksi (Ton),87.3
Bawang Merah,2022,Produksi (Ton),45
Bawang Merah,2023,Produksi (Ton),52.31
Bawang Merah,2024,Produksi (Ton),0.33
Bawang Putih,2016,Produksi (Ton),0
Bawang Putih,2018,Produksi (Ton),0
Bawang Putih,2019,Produksi (Ton),595.4
Bawang Putih,2020,Produksi (Ton),854.5
Bawang Putih,2021,Produksi (Ton),567
Bawang Putih,2022,Produksi (Ton),0
Bawang Putih,2023,Produksi (Ton),3
Bawang Putih,2024,Produksi (Ton),0
Bayam,2016,Produksi (Ton),38.5
Bayam,2018,Produksi (Ton),94.8
Bayam,2019,Produksi (Ton),114.2
Bayam,2020,Produksi (Ton),126.2
Bayam,2021,Produksi (Ton),60
Bayam,2022,Produksi (Ton),0
Bayam,2023,Produksi (Ton),0
Bayam,2024,Produksi (Ton),0
Buncis,2016,Produksi (Ton),3288.5
Buncis,2018,Produksi (Ton),6973.9
Buncis,2019,Produksi (Ton),5223.5
Buncis,2020,Produksi (Ton),5366.4
Buncis,2021,Produksi (Ton),3774.3
Buncis,2022,Produksi (Ton),4981.2
Buncis,2023,Produksi (Ton),3794.8
Buncis,2024,Produksi (Ton),2938.4
Cabai Besar,2016,Produksi (Ton),12424.8
Cabai Besar,2018,Produksi (Ton),15092.4
Cabai Besar,2019,Produksi (Ton),16978.2
Cabai Besar,2020,Produksi (Ton),17068.4
Cabai Besar,2021,Produksi (Ton),16579.7
Cabai Besar,2022,Produksi (Ton),25444.1
Cabai Besar,2023,Produksi (Ton),29276.81
Cabai Besar,2024,Produksi (Ton),14117.82
Cabai Rawit,2016,Produksi (Ton),9019
Cabai Rawit,2018,Produksi (Ton),9770.9
Cabai Rawit,2019,Produksi (Ton),10573.6
Cabai Rawit,2020,Produksi (Ton),13199.8
Cabai Rawit,2021,Produksi (Ton),7393.7
Cabai Rawit,2022,Produksi (Ton),10346.9
Cabai Rawit,2023,Produksi (Ton),15495.32
Cabai Rawit,2024,Produksi (Ton),13717.37
Cabai,2016,Produksi (Ton),0
Cabai,2018,Produksi (Ton),0
Cabai,2019,Produksi (Ton),0
Cabai,2020,Produksi (Ton),0
Cabai,2021,Produksi (Ton),0
Cabai,2022,Produksi (Ton),0
Cabai,2023,Produksi (Ton),0
Cabai,2024,Produksi (Ton),0
Jamur,2016,Produksi (Ton),0
Jamur,2018,Produksi (Ton),10395.9
Jamur,2019,Produksi (Ton),0
Jamur,2020,Produksi (Ton),0
Jamur,2021,Produksi (Ton),0
Jamur,2022,Produksi (Ton),5306.3
Jamur,2023,Produksi (Ton),265.28
Jamur,2024,Produksi (Ton),149.34
Kacang Merah,2016,Produksi (Ton),0
Kacang Merah,2018,Produksi (Ton),308
Kacang Merah,2019,Produksi (Ton),259.5
Kacang Merah,2020,Produksi (Ton),306
Kacang Merah,2021,Produksi (Ton),310.5
Kacang Merah,2022,Produksi (Ton),345
Kacang Merah,2023,Produksi (Ton),0
Kacang Merah,2024,Produksi (Ton),0
Kacang Panjang,2016,Produksi (Ton),740.5
Kacang Panjang,2018,Produksi (Ton),11964.5
Kacang Panjang,2019,Produksi (Ton),5615.4
Kacang Panjang,2020,Produksi (Ton),5949.1
Kacang Panjang,2021,Produksi (Ton),3150.9
Kacang Panjang,2022,Produksi (Ton),2307.2
Kacang Panjang,2023,Produksi (Ton),590.85
Kacang Panjang,2024,Produksi (Ton),434.96
Kangkung,2016,Produksi (Ton),433.3
Kangkung,2018,Produksi (Ton),667.1
Kangkung,2019,Produksi (Ton),735.1
Kangkung,2020,Produksi (Ton),738.3
Kangkung,2021,Produksi (Ton),535.2
Kangkung,2022,Produksi (Ton),778.8
Kangkung,2023,Produksi (Ton),358.89
Kangkung,2024,Produksi (Ton),284.95
Kembang Kol,2016,Produksi (Ton),0
Kembang Kol,2018,Produksi (Ton),0
Kembang Kol,2019,Produksi (Ton),0
Kembang Kol,2020,Produksi (Ton),0
Kembang Kol,2021,Produksi (Ton),0
Kembang Kol,2022,Produksi (Ton),0
Kembang Kol,2023,Produksi (Ton),0
Kembang Kol,2024,Produksi (Ton),0
Kentang,2016,Produksi (Ton),97466.7
Kentang,2018,Produksi (Ton),120096.8
Kentang,2019,Produksi (Ton),113498.2
Kentang,2020,Produksi (Ton),126092.5
Kentang,2021,Produksi (Ton),116392.9
Kentang,2022,Produksi (Ton),131087
Kentang,2023,Produksi (Ton),84059.4
Kentang,2024,Produksi (Ton),139726
Ketimun,2016,Produksi (Ton),146.4
Ketimun,2018,Produksi (Ton),352
Ketimun,2019,Produksi (Ton),498.4
Ketimun,2020,Produksi (Ton),505.2
Ketimun,2021,Produksi (Ton),429.1
Ketimun,2022,Produksi (Ton),510.6
Ketimun,2023,Produksi (Ton),269
Ketimun,2024,Produksi (Ton),275.39
Kubis,2016,Produksi (Ton),79454.5
Kubis,2018,Produksi (Ton),72762.9
Kubis,2019,Produksi (Ton),81945.3
Kubis,2020,Produksi (Ton),83155
Kubis,2021,Produksi (Ton),50523
Kubis,2022,Produksi (Ton),48510.5
Kubis,2023,Produksi (Ton),46110.8
Kubis,2024,Produksi (Ton),31549
Labu Siam,2016,Produksi (Ton),0
Labu Siam,2018,Produksi (Ton),2523.7
Labu Siam,2019,Produksi (Ton),3981
Labu Siam,2020,Produksi (Ton),4593.3
Labu Siam,2021,Produksi (Ton),3834.6
Labu Siam,2022,Produksi (Ton),3433.2
Labu Siam,2023,Produksi (Ton),3305.6
Labu Siam,2024,Produksi (Ton),2200.2
Lobak,2016,Produksi (Ton),0
Lobak,2018,Produksi (Ton),0
Lobak,2019,Produksi (Ton),0
Lobak,2020,Produksi (Ton),0
Lobak,2021,Produksi (Ton),0
Lobak,2022,Produksi (Ton),0
Lobak,2023,Produksi (Ton),0
Lobak,2024,Produksi (Ton),0
Petsai,2016,Produksi (Ton),0
Petsai,2018,Produksi (Ton),0
Petsai,2019,Produksi (Ton),0
Petsai,2020,Produksi (Ton),5436.8
Petsai,2021,Produksi (Ton),4512.6
Petsai,2022,Produksi (Ton),6357.3
Petsai,2023,Produksi (Ton),4394.6
Petsai,2024,Produksi (Ton),2916.2
Terung,2016,Produksi (Ton),0
Terung,2018,Produksi (Ton),3804.2
Terung,2019,Produksi (Ton),2307.8
Terung,2020,Produksi (Ton),2791
Terung,2021,Produksi (Ton),3444.9
Terung,2022,Produksi (Ton),4072.8
Terung,2023,Produksi (Ton),2589.9
Terung,2024,Produksi (Ton),2836.3
Tomat,2016,Produksi (Ton),3303.2
Tomat,2018,Produksi (Ton),9593.6
Tomat,2019,Produksi (Ton),9460.5
Tomat,2020,Produksi (Ton),11496.9
Tomat,2021,Produksi (Ton),9565.7
Tomat,2022,Produksi (Ton),12064.9
Tomat,2023,Produksi (Ton),15721.11
Tomat,2024,Produksi (Ton),19083.61
Wortel,2016,Produksi (Ton),48897.9
Wortel,2018,Produksi (Ton),78203.2
Wortel,2019,Produksi (Ton),92354.1
Wortel,2020,Produksi (Ton),72265
Wortel,2021,Produksi (Ton),64769.5
Wortel,2022,Produksi (Ton),63146.5
Wortel,2023,Produksi (Ton),51743.3
Wortel,2024,Produksi (Ton),48031
Sawi,2016,Produksi (Ton),2746.6
Sawi,2018,Produksi (Ton),3752.5
Sawi,2019,Produksi (Ton),5247.7
Sawi,2020,Produksi (Ton),0
Blewah,2016,Produksi (Ton),0
Blewah,2018,Produksi (Ton),0
Blewah,2019,Produksi (Ton),0
Blewah,2020,Produksi (Ton),0
Blewah,2021,Produksi (Ton),0
Blewah,2022,Produksi (Ton),0
Blewah,2023,Produksi (Ton),0
Blewah,2024,Produksi (Ton),30
Melon,2016,Produksi (Ton),0
Melon,2018,Produksi (Ton),0
Melon,2019,Produksi (Ton),0
Melon,2020,Produksi (Ton),0
Melon,2021,Produksi (Ton),0
Melon,2022,Produksi (Ton),0
Melon,2023,Produksi (Ton),0
Melon,2024,Produksi (Ton),288468.62
Semangka,2016,Produksi (Ton),0
Semangka,2018,Produksi (Ton),0
Semangka,2019,Produksi (Ton),0
Semangka,2020,Produksi (Ton),0
Semangka,2021,Produksi (Ton),0
Semangka,2022,Produksi (Ton),0
Semangka,2023,Produksi (Ton),0
Buah-buahan,2024,Produksi (Ton),0
