kecamatan,tahun,metric,value
Susukan,2018,Ras Layer,126192
Susukan,2018,Kampung,3342401
Susukan,2020,Ras Layer,149950
Susukan,2020,Kampung,0
Susukan,2021,Ras Layer,151824
Susukan,2021,Kampung,2343576
Susukan,2022,Ras Layer,202699
Susukan,2022,Kampung,2342132
Susukan,2023,Ras Layer,191290
Susukan,2023,Kampung,2201081
Susukan,2024,Ras Layer,576299
Susukan,2024,Kampung,2226720
Purworejo Klampok,2018,Ras Layer,10400
Purworejo Klampok,2018,Kampung,1474613
Purworejo Klampok,2020,Ras Layer,9496816
Purworejo Klampok,2020,Kampung,0
Purworejo Klampok,2021,Ras Layer,9615526
Purworejo Klampok,2021,Kampung,467952
Purworejo Klampok,2022,Ras Layer,9691838
Purworejo Klampok,2022,Kampung,465787
Purworejo Klampok,2023,Ras Layer,9146354
Purworejo Klampok,2023,Kampung,437736
Purworejo Klampok,2024,Ras Layer,2188179
Purworejo Klampok,2024,Kampung,2122341
Mandiraja,2018,Ras Layer,3199000
Mandiraja,2018,Kampung,1853850
Mandiraja,2020,Ras Layer,11262890
Mandiraja,2020,Kampung,0
Mandiraja,2021,Ras Layer,11403676
Mandiraja,2021,Kampung,9187689
Mandiraja,2022,Ras Layer,11492706
Mandiraja,2022,Kampung,9185163
Mandiraja,2023,Ras Layer,10845865
Mandiraja,2023,Kampung,8632001
Mandiraja,2024,Ras Layer,11051804
Mandiraja,2024,Kampung,2168737
Purwonegoro,2018,Ras Layer,5787600
Purwonegoro,2018,Kampung,5162454
Purwonegoro,2020,Ras Layer,4548475
Purwonegoro,2020,Kampung,0
Purwonegoro,2021,Ras Layer,4605331
Purwonegoro,2021,Kampung,5279349
Purwonegoro,2022,Ras Layer,4694361
Purwonegoro,2022,Kampung,5276823
Purwonegoro,2023,Ras Layer,4430149
Purwonegoro,2023,Kampung,4959034
Purwonegoro,2024,Ras Layer,6274003
Purwonegoro,2024,Kampung,3358868
Bawang,2018,Ras Layer,1372600
Bawang,2018,Kampung,984739
Bawang,2020,Ras Layer,1091301
Bawang,2020,Kampung,0
Bawang,2021,Ras Layer,1104942
Bawang,2021,Kampung,1958454
Bawang,2022,Ras Layer,1168535
Bawang,2022,Kampung,1956650
Bawang,2023,Ras Layer,1102766
Bawang,2023,Kampung,1838814
Bawang,2024,Ras Layer,4430023
Bawang,2024,Kampung,1333514
Banjarnegara,2018,Ras Layer,2099000
Banjarnegara,2018,Kampung,866435
Banjarnegara,2020,Ras Layer,1249581
Banjarnegara,2020,Kampung,0
Banjarnegara,2021,Ras Layer,1265201
Banjarnegara,2021,Kampung,1192020
Banjarnegara,2022,Ras Layer,1366950
