kecamatan,tahun,metric,value
Susukan,2019,Produksi,7000
Susukan,2019,Nilai,163145
Susukan,2020,Produksi,0
Susukan,2020,Nilai,0
Susukan,2021,Produksi,0
Susukan,2021,Nilai,0
Susukan,2022,Produksi,164330.15
Susukan,2022,Nilai,3717255.17
Susukan,2023,Produksi,0
Susukan,2023,Nilai,0
Susukan,2024,Produksi,0
Susukan,2024,Nilai,0
Purworejo Klampok,2019,Produksi,0
Purworejo Klampok,2019,Nilai,0
Purworejo Klampok,2020,Produksi,0
Purworejo Klampok,2020,Nilai,0
Purworejo Klampok,2021,Produksi,0
Purworejo Klampok,2021,Nilai,0
Purworejo Klampok,2022,Produksi,1214614.19
Purworejo Klampok,2022,Nilai,27475364.27
Purworejo Klampok,2023,Produksi,0
Purworejo Klampok,2023,Nilai,0
Purworejo Klampok,2024,Produksi,0
Purworejo Klampok,2024,Nilai,0
Mandiraja,2019,Produksi,17500
Mandiraja,2019,Nilai,407862.5
Mandiraja,2020,Produksi,16299
Mandiraja,2020,Nilai,358578
Mandiraja,2021,Produksi,0
Mandiraja,2021,Nilai,0
Mandiraja,2022,Produksi,27390.26
Mandiraja,2022,Nilai,547805211.54
Mandiraja,2023,Produksi,0
Mandiraja,2023,Nilai,0
Mandiraja,2024,Produksi,0
Mandiraja,2024,Nilai,0
Purwonegoro,2019,Produksi,61180
Purwonegoro,2019,Nilai,1425887.3
Purwonegoro,2020,Produksi,55795
Purwonegoro,2020,Nilai,1227490
Purwonegoro,2021,Produksi,0
Purwonegoro,2021,Nilai,0
Purwonegoro,2022,Produksi,17909.02
Purwonegoro,2022,Nilai,358180330.62
Purwonegoro,2023,Produksi,0
Purwonegoro,2023,Nilai,0
Purwonegoro,2024,Produksi,0
Purwonegoro,2024,Nilai,0
Bawang,2019,Produksi,19600
Bawang,2019,Nilai,456806
Bawang,2020,Produksi,14030
Bawang,2020,Nilai,308660
Bawang,2021,Produksi,0
Bawang,2021,Nilai,0
Bawang,2022,Produksi,8345.25
Bawang,2022,Nilai,200285880.6
Bawang,2023,Produksi,0
Bawang,2023,Nilai,0
Bawang,2024,Produksi,0
Bawang,2024,Nilai,0
Banjarnegara,2019,Produksi,0
Banjarnegara,2019,Nilai,0
Banjarnegara,2020,Produksi,0
Banjarnegara,2020,Nilai,0
Banjarnegara,2021,Produksi,0
Banjarnegara,2021,Nilai,0
Banjarnegara,2022,Produksi,1494791.99
Banjarnegara,2022,Nilai,33813168.89
Banjarnegara,2023,Produksi,0
Banjarnegara,2023,Nilai,0
Banjarnegara,2024,Produksi,0
Banjarnegara,2024,Nilai,0
Pagedongan,2019,Produksi,0
Pagedongan,2019,Nilai,0
Pagedongan,2020,Produksi,0
Pagedongan,2020,Nilai,0
Pagedongan,2021,Produksi,0
Pagedongan,2021,Nilai,0
Pagedongan,2022,Produksi,973732.72
Pagedongan,2022,Nilai,22026468.5
Pagedongan,2023,Produksi,0
Pagedongan,2023,Nilai,0
Pagedongan,2024,Produksi,0
Pagedongan,2024,Nilai,0
Sigaluh,2019,Produksi,0
Sigaluh,2019,Nilai,0
Sigaluh,2020,Produksi,0
Sigaluh,2020,Nilai,0
Sigaluh,2021,Produksi,0
Sigaluh,2021,Nilai,0
Sigaluh,2022,Produksi,572603.83
Sigaluh,2022,Nilai,12952671.73
Sigaluh,2023,Produksi,0
Sigaluh,2023,Nilai,0
Sigaluh,2024,Produksi,0
Sigaluh,2024,Nilai,0
Madukara,2019,Produksi,0
Madukara,2019,Nilai,0
Madukara,2020,Produksi,0
Madukara,2020,Nilai,0
Madukara,2021,Produksi,0
Madukara,2021,Nilai,0
Madukara,2022,Produksi,1846928.04
Madukara,2022,Nilai,41778715.68
Madukara,2023,Produksi,0
Madukara,2023,Nilai,0
