kecamatan,tahun,metric,value
Susukan,2019,Produksi,7155.51
Susukan,2019,Nilai,106864.82
Susukan,2020,Produksi,6977
Susukan,2020,Nilai,146129.7
Susukan,2021,Produksi,0
Susukan,2021,Nilai,0
Susukan,2022,Produksi,3958
Susukan,2022,Nilai,82044.7
Susukan,2023,Produksi,0
Susukan,2023,Nilai,0
Susukan,2024,Produksi,0
Susukan,2024,Nilai,0
Purworejo Klampok,2019,Produksi,5425.25
Purworejo Klampok,2019,Nilai,81024.02
Purworejo Klampok,2020,Produksi,5290
Purworejo Klampok,2020,Nilai,110794.3
Purworejo Klampok,2021,Produksi,0
Purworejo Klampok,2021,Nilai,0
Purworejo Klampok,2022,Produksi,3001
Purworejo Klampok,2022,Nilai,62205.6
Purworejo Klampok,2023,Produksi,0
Purworejo Klampok,2023,Nilai,0
Purworejo Klampok,2024,Produksi,0
Purworejo Klampok,2024,Nilai,0
Mandiraja,2019,Produksi,19789.53
Mandiraja,2019,Nilai,295549.31
Mandiraja,2020,Produksi,19297
Mandiraja,2020,Nilai,404141.7
Mandiraja,2021,Produksi,0
Mandiraja,2021,Nilai,0
Mandiraja,2022,Produksi,10946
Mandiraja,2022,Nilai,226905.7
Mandiraja,2023,Produksi,0
Mandiraja,2023,Nilai,0
Mandiraja,2024,Produksi,0
Mandiraja,2024,Nilai,0
Purwonegoro,2019,Produksi,13145.65
Purwonegoro,2019,Nilai,196325.4
Purwonegoro,2020,Produksi,12818
Purwonegoro,2020,Nilai,268460.4
Purwonegoro,2021,Produksi,0
Purwonegoro,2021,Nilai,0
Purwonegoro,2022,Produksi,7271
Purwonegoro,2022,Nilai,150727.3
Purwonegoro,2023,Produksi,0
Purwonegoro,2023,Nilai,0
Purwonegoro,2024,Produksi,0
Purwonegoro,2024,Nilai,0
Bawang,2019,Produksi,79066.16
Bawang,2019,Nilai,1180823.76
Bawang,2020,Produksi,85510
Bawang,2020,Nilai,1057504.4
Bawang,2021,Produksi,0
Bawang,2021,Nilai,0
Bawang,2022,Produksi,67978
Bawang,2022,Nilai,833108
Bawang,2023,Produksi,0
Bawang,2023,Nilai,0
Bawang,2024,Produksi,0
Bawang,2024,Nilai,0
Banjarnegara,2019,Produksi,6803.9
Banjarnegara,2019,Nilai,101613.73
Banjarnegara,2020,Produksi,6635
Banjarnegara,2020,Nilai,138949.2
Banjarnegara,2021,Produksi,0
Banjarnegara,2021,Nilai,0
Banjarnegara,2022,Produksi,3763
Banjarnegara,2022,Nilai,78013.2
Banjarnegara,2023,Produksi,0
Banjarnegara,2023,Nilai,0
Banjarnegara,2024,Produksi,0
Banjarnegara,2024,Nilai,0
Pagedongan,2019,Produksi,2128.17
Pagedongan,2019,Nilai,31783.49
Pagedongan,2020,Produksi,2075
Pagedongan,2020,Nilai,43461.6
Pagedongan,2021,Produksi,0
Pagedongan,2021,Nilai,0
Pagedongan,2022,Produksi,1177
Pagedongan,2022,Nilai,24401.5
Pagedongan,2023,Produksi,0
Pagedongan,2023,Nilai,0
Pagedongan,2024,Produksi,0
Pagedongan,2024,Nilai,0
Sigaluh,2019,Produksi,3034.17
Sigaluh,2019,Nilai,45314.23
Sigaluh,2020,Produksi,2959
Sigaluh,2020,Nilai,61963.8
Sigaluh,2021,Produksi,0
Sigaluh,2021,Nilai,0
Sigaluh,2022,Produksi,1678
Sigaluh,2022,Nilai,34789.5
Sigaluh,2023,Produksi,0
Sigaluh,2023,Nilai,0
Sigaluh,2024,Produksi,0
Sigaluh,2024,Nilai,0
Madukara,2019,Produksi,3215.35
Madukara,2019,Nilai,48020.13
Madukara,2020,Produksi,3135
Madukara,2020,Nilai,65664
Madukara,2021,Produksi,0
Madukara,2021,Nilai,0
Madukara,2022,Produksi,1778
Madukara,2022,Nilai,36867.1
Madukara,2023,Produksi,0
Madukara,2023,Nilai,0
Madukara,2024,Produksi,0
Madukara,2024,Nilai,0
Banjarmangu,2019,Produksi,5752.11
Banjarmangu,2019,Nilai,85905.63
Banjarmangu,2020,Produksi,5609
Banjarmangu,2020,Nilai,117469.6
Banjarmangu,2021,Produksi,0
Banjarmangu,2021,Nilai,0
Banjarmangu,2022,Produksi,3181
Banjarmangu,2022,Nilai,65953.4
Banjarmangu,2023,Produksi,0
Banjarmangu,2023,Nilai,0
Banjarmangu,2024,Produksi,0
Banjarmangu,2024,Nilai,0
Wanadadi,2019,Produksi,162589.66
Wanadadi,2019,Nilai,2428216.28
Wanadadi,2020,Produksi,174871
Wanadadi,2020,Nilai,2238812.4
Wanadadi,2021,Produksi,0
Wanadadi,2021,Nilai,0
Wanadadi,2022,Produksi,136994
Wanadadi,2022,Nilai,1721644.8
Wanadadi,2023,Produksi,0
Wanadadi,2023,Nilai,0
Wanadadi,2024,Produksi,0
Wanadadi,2024,Nilai,0
Rakit,2019,Produksi,10900.23
Rakit,2019,Nilai,162790.9
Rakit,2020,Produksi,10629
Rakit,2020,Nilai,222604.5
Rakit,2021,Produksi,0
Rakit,2021,Nilai,0
Rakit,2022,Produksi,6029
Rakit,2022,Nilai,124981.5
Rakit,2023,Produksi,0
Rakit,2023,Nilai,0
Rakit,2024,Produksi,0
Rakit,2024,Nilai,0
Punggelan,2019,Produksi,4274.11
Punggelan,2019,Nilai,63832.28
Punggelan,2020,Produksi,4168
Punggelan,2020,Nilai,87285.9
Punggelan,2021,Produksi,0
Punggelan,2021,Nilai,0
Punggelan,2022,Produksi,2364
Punggelan,2022,Nilai,49006.7
Punggelan,2023,Produksi,0
Punggelan,2023,Nilai,0
Punggelan,2024,Produksi,0
Punggelan,2024,Nilai,0
Karangkobar,2019,Produksi,1993.16
Karangkobar,2019,Nilai,29767.18
Karangkobar,2020,Produksi,1944
Karangkobar,2020,Nilai,40704.4
Karangkobar,2021,Produksi,0
Karangkobar,2021,Nilai,0
Karangkobar,2022,Produksi,1102
Karangkobar,2022,Nilai,22853.5
Karangkobar,2023,Produksi,0
Karangkobar,2023,Nilai,0
Karangkobar,2024,Produksi,0
Karangkobar,2024,Nilai,0
Pagentan,2019,Produksi,2312.92
Pagentan,2019,Nilai,34542.66
Pagentan,2020,Produksi,2255
Pagentan,2020,Nilai,47234.5
Pagentan,2021,Produksi,0
Pagentan,2021,Nilai,0
Pagentan,2022,Produksi,1279
Pagentan,2022,Nilai,26519.9
Pagentan,2023,Produksi,0
Pagentan,2023,Nilai,0
Pagentan,2024,Produksi,0
Pagentan,2024,Nilai,0
Pejawaran,2019,Produksi,1062.31
Pejawaran,2019,Nilai,15865.21
Pejawaran,2020,Produksi,1036
Pejawaran,2020,Nilai,21694.5
Pejawaran,2021,Produksi,0
Pejawaran,2021,Nilai,0
Pejawaran,2022,Produksi,588
Pejawaran,2022,Nilai,12180.4
Pejawaran,2023,Produksi,0
Pejawaran,2023,Nilai,0
Pejawaran,2024,Produksi,0
Pejawaran,2024,Nilai,0
Batur,2019,Produksi,508.06
Batur,2019,Nilai,7587.71
Batur,2020,Produksi,495
Batur,2020,Nilai,10375.6
Batur,2021,Produksi,0
Batur,2021,Nilai,0
Batur,2022,Produksi,281
Batur,2022,Nilai,5825.4
Batur,2023,Produksi,0
Batur,2023,Nilai,0
Batur,2024,Produksi,0
Batur,2024,Nilai,0
Wanayasa,2019,Produksi,3424.97
Wanayasa,2019,Nilai,51150.73
Wanayasa,2020,Produksi,3340
Wanayasa,2020,Nilai,69944.8
Wanayasa,2021,Produksi,0
Wanayasa,2021,Nilai,0
Wanayasa,2022,Produksi,1894
Wanayasa,2022,Nilai,39270.6
Wanayasa,2023,Produksi,0
Wanayasa,2023,Nilai,0
Wanayasa,2024,Produksi,0
Wanayasa,2024,Nilai,0
Kalibening,2019,Produksi,3876.19
Kalibening,2019,Nilai,57889.46
Kalibening,2020,Produksi,3780
Kalibening,2020,Nilai,79159.5
Kalibening,2021,Produksi,0
Kalibening,2021,Nilai,0
Kalibening,2022,Produksi,2144
Kalibening,2022,Nilai,44444.2
Kalibening,2023,Produksi,0
Kalibening,2023,Nilai,0
Kalibening,2024,Produksi,0
Kalibening,2024,Nilai,0
Pandanarum,2019,Produksi,2217
Pandanarum,2019,Nilai,33110.01
Pandanarum,2020,Produksi,2162
Pandanarum,2020,Nilai,45275.5
Pandanarum,2021,Produksi,0
Pandanarum,2021,Nilai,0
Pandanarum,2022,Produksi,1226
Pandanarum,2022,Nilai,25420
Pandanarum,2023,Produksi,0
Pandanarum,2023,Nilai,0
Pandanarum,2024,Produksi,0
Pandanarum,2024,Nilai,0
Jumlah,2019,Produksi,338674.43
Jumlah,2019,Nilai,5057976.94
Jumlah,2020,Produksi,354985
Jumlah,2020,Nilai,5277630.3
Jumlah,2021,Produksi,0
Jumlah,2021,Nilai,0
Jumlah,2022,Produksi,0
Jumlah,2022,Nilai,0
Jumlah,2023,Produksi,0
Jumlah,2023,Nilai,0
Jumlah,2024,Produksi,0
Jumlah,2024,Nilai,0
