kecamatan,tahun,metric,value
Susukan,2019,Produksi,0
Susukan,2019,Nilai,0
Susukan,2020,Produksi,0
Susukan,2020,Nilai,0
Susukan,2021,Produksi,0
Susukan,2021,Nilai,0
Susukan,2022,Produksi,0
Susukan,2022,Nilai,0
Susukan,2023,Produksi,0
Susukan,2023,Nilai,0
Susukan,2024,Produksi,0
Susukan,2024,Nilai,0
Purworejo Klampok,2019,Produksi,0
Purworejo Klampok,2019,Nilai,0
Purworejo Klampok,2020,Produksi,0
Purworejo Klampok,2020,Nilai,0
Purworejo Klampok,2021,Produksi,0
Purworejo Klampok,2021,Nilai,0
Purworejo Klampok,2022,Produksi,0
Purworejo Klampok,2022,Nilai,0
Purworejo Klampok,2023,Produksi,0
Purworejo Klampok,2023,Nilai,0
Purworejo Klampok,2024,Produksi,0
Purworejo Klampok,2024,Nilai,0
Mandiraja,2019,Produksi,0
Mandiraja,2019,Nilai,0
Mandiraja,2020,Produksi,0
Mandiraja,2020,Nilai,0
Mandiraja,2021,Produksi,0
Mandiraja,2021,Nilai,0
Mandiraja,2022,Produksi,0
Mandiraja,2022,Nilai,0
Mandiraja,2023,Produksi,0
Mandiraja,2023,Nilai,0
Mandiraja,2024,Produksi,0
Mandiraja,2024,Nilai,0
Purwonegoro,2019,Produksi,0
Purwonegoro,2019,Nilai,0
Purwonegoro,2020,Produksi,0
Purwonegoro,2020,Nilai,0
Purwonegoro,2021,Produksi,0
Purwonegoro,2021,Nilai,0
Purwonegoro,2022,Produksi,0
Purwonegoro,2022,Nilai,0
Purwonegoro,2023,Produksi,0
Purwonegoro,2023,Nilai,0
Purwonegoro,2024,Produksi,0
Purwonegoro,2024,Nilai,0
Bawang,2019,Produksi,0
Bawang,2019,Nilai,0
Bawang,2020,Produksi,0
Bawang,2020,Nilai,0
Bawang,2021,Produksi,0
Bawang,2021,Nilai,0
Bawang,2022,Produksi,0
Bawang,2022,Nilai,0
Bawang,2023,Produksi,0
Bawang,2023,Nilai,0
Bawang,2024,Produksi,0
Bawang,2024,Nilai,0
Banjarnegara,2019,Produksi,0
Banjarnegara,2019,Nilai,0
Banjarnegara,2020,Produksi,0
Banjarnegara,2020,Nilai,0
Banjarnegara,2021,Produksi,0
Banjarnegara,2021,Nilai,0
Banjarnegara,2022,Produksi,0
Banjarnegara,2022,Nilai,0
Banjarnegara,2023,Produksi,0
Banjarnegara,2023,Nilai,0
