Pembanding;Inflasi;Tahun
Banjarnegara;0;2018
Cilacap;3.21;2018
Purbalingga;0;2018
Banyumas;2.98;2018
Wonosobo;0;2018
Jawa Tengah;2.82;2018
Nasional;3.13;2018
Banjarnegara;0;2019
Cilacap;2.19;2019
Purbalingga;0;2019
Banyumas;2.28;2019
Wonosobo;0;2019
Jawa Tengah;2.81;2019
Nasional;2.72;2019
Banjarnegara;0;2020
Cilacap;1.71;2020
Purbalingga;0;2020
Banyumas;1.90;2020
Wonosobo;0;2020
Jawa Tengah;1.56;2020
Nasional;1.68;2020
Banjarnegara;0;2021
Cilacap;1.88;2021
Purbalingga;0;2021
Banyumas;2.18;2021
Wonosobo;0;2021
Jawa Tengah;1.70;2021
Nasional;1.87;2021
Banjarnegara;0;2022
Cilacap;6.81;2022
Purbalingga;0;2022
Banyumas;6.49;2022
Wonosobo;0;2022
Jawa Tengah;5.63;2022
Nasional;5.51;2022
Banjarnegara;0;2023
Cilacap;2.69;2023
Purbalingga;0;2023
Banyumas;2.61;2023
Wonosobo;0;2023
Jawa Tengah;2.89;2023
Nasional;5.28;2023
Banjarnegara;0;2024
Cilacap;1.82;2024
Purbalingga;0;2024
Banyumas;1.51;2024
Wonosobo;1.52;2024
Jawa Tengah;1.67;2024
Nasional;1.57;2024
