Kecamatan,Lumbung,,Gudang Pangan,,
,Jumlah (Unit),Kapasitas,Luas (M2),Kapasitas/Bulan (Ton),
,Number,capacity,Land Area,Capacity/Month,
,(Unit),(Ton),(M2),(Ton),
Susukan,8,11,0,0,
Purwareja Klampok,9,38,0,0,
Mandiraja,3,5,0,0,
Purwanegara,9,8,0,0,
B a w a n g,3,12,0,0,
Banjarnegara,1,3,0,0,
Pagedongan,2,0,0,0,
S i g a l u h,0,0,0,0,
Madukara,3,0,0,0,
Banjarmangu,2,5,0,0,
Wanadadi,6,0,0,0,
R a k i t,3,4,0,0,
Punggelan,2,0,0,0,
Karangkobar,0,0,0,0,
Pagentan,3,3,0,0,
Pejawaran,4,0,0,0,
B a t u r,0,0,0,0,
Wanayasa,1,0,0,0,
Kalibening,4,9,0,0,
Pandanarum,0,0,0,0,
