Kecamatan,Total Padi                                                                                                                              Total of Paddy,,
,Luas Panen,Produksi,Rata-rata Produksi
,Harvested Area,Production,Yield Rate
,(Ha),(Ton),(Ku/Ha)
Susukan,"2,345","16,191",69
Purwareja Klampok,"1,481","10,790",73
Mandiraja,"3,147","24,843",79
Purwanegara,"2,686","20,962",78
B a w a n g,"2,426","16,102",66
Banjarnegara,882,"6,070",69
Pagedongan,329,"2,236",68
S i g a l u h,452,"3,256",72
Madukara,872,"5,748",66
Banjarmangu,"1,415","8,628",61
Wanadadi,"1,528","11,218",73
R a k i t,"1,845","13,068",71
Punggelan,"1,887","12,882",68
Karangkobar,537,"3,271",61
Pagentan,576,"2,855",50
Pejawaran,216,"1,230",57
B a t u r,0,0,0
Wanayasa,192,815,43
Kalibening,"1,366","8,658",63
Pandanarum,"1,689","9,787",58
