Jenis Pasar;Jumlah Pasar;Tahun
Umum;20;2016
Hewan;3;2016
Buah;1;2016
Ikan;1;2016
Umum;20;2017
Hewan;2;2017
Buah;1;2017
Ikan;0;2017
Umum;20;2018
Hewan;2;2018
Buah;1;2018
Ikan;0;2018
Umum;21;2019
Hewan;3;2019
Buah;1;2019
Ikan;0;2019
Umum;21;2020
Hewan;3;2020
Buah;1;2020
Ikan;0;2020
Umum;21;2021
Hewan;3;2021
Buah;1;2021
Ikan;0;2021
Umum;21;2022
Hewan;3;2022
Buah;1;2022
Ikan;0;2022
Umum;21;2023
Hewan;3;2023
Buah;1;2023
Ikan;0;2023
Umum;21;2024
Hewan;3;2024
Buah;1;2024
Ikan;0;2024
Umum;21;2025
Hewan;3;2025
Buah;1;2025
Ikan;0;2025
