Kecamatan,Bawang Merah,Cabai Besar,Kentang,Kubis,Petsai,Tomat,Bawang Putih,Cabai Rawit,Tahun 
Susukan,0,39,0,0,0,0,0,0,2017
Purwareja Klampok,0,0,0,0,0,0,0,0,2017
Mandiraja,0,20,0,0,0,0,0,0,2017
Purwanegara,0,6596,0,0,0,121,0,0,2017
Bawang,0,223,0,0,0,257,0,0,2017
Banjarnegara,0,0,0,0,0,0,0,0,2017
Pagedongan,0,1,0,0,0,0,0,0,2017
Sigaluh,0,0,0,0,0,0,0,0,2017
Madukara,0,27,0,0,0,0,0,0,2017
Banjarmangu,0,27,0,0,0,40,0,0,2017
Wanadadi,0,4,0,0,0,0,0,0,2017
Rakit,0,62,0,0,0,0,0,0,2017
Punggelan,0,0,0,0,0,0,0,0,2017
Karangkobar,0,1018,0,5998,0,216,0,0,2017
Pagentan,0,582,0,1688,0,142,0,0,2017
Pejawaran,0,6174,36543,10148,0,3773,0,0,2017
Batur,0,0,79393,36048,0,0,0,0,2017
Wanayasa,0,58,2412,3238,0,40,0,0,2017
Kalibening,0,250,232,1184,0,213,0,0,2017
Pandanarum,0,12,0,0,0,0,0,0,2017
Susukan,0,39,0,0,0,0,0,0,2018
Purwareja Klampok,0,0,0,0,0,0,0,0,2018
Mandiraja,0,20,0,0,0,0,0,10,2018
Purwanegara,0,6596,0,0,0,34,0,22,2018
Bawang,0,223,0,0,0,270,0,59,2018
Banjarnegara,20,0,0,0,0,0,0,0,2018
Pagedongan,0,1,0,0,0,0,0,70,2018
Sigaluh,0,0,0,0,0,0,0,0,2018
Madukara,0,27,0,0,0,0,0,2,2018
Banjarmangu,0,27,0,0,0,2,0,6,2018
Wanadadi,0,4,0,0,0,0,0,2,2018
Rakit,0,62,0,0,0,0,0,3,2018
Punggelan,0,0,0,0,0,0,0,0,2018
Karangkobar,0,1018,0,51,0,127,0,160,2018
Pagentan,0,582,0,234,0,53,0,582,2018
Pejawaran,0,6174,44165,11612,0,2107,0,1113,2018
Batur,44,0,72575,47245,0,0,0,0,2018
Wanayasa,0,58,3136,5494,0,21,0,64,2018
Kalibening,0,250,221,972,0,83,0,67,2018
Pandanarum,0,12,0,0,0,0,0,8,2018
Susukan,0,30,0,0,0,0,0,79,2019
Purwareja Klampok,0,0,0,0,0,0,0,0,2019
Mandiraja,0,163,0,0,0,0,0,35,2019
Purwanegara,31,10295,0,0,0,804,0,680,2019
Bawang,3,455,0,0,0,162,0,280,2019
Banjarnegara,0,16,0,0,0,35,0,1,2019
Pagedongan,0,1,0,0,0,0,0,22,2019
Sigaluh,0,0,0,0,0,0,0,0,2019
Madukara,0,18,0,0,0,0,0,14,2019
Banjarmangu,0,14,0,0,0,14,0,9,2019
Wanadadi,0,5,0,0,0,0,0,4,2019
Rakit,0,48,0,0,0,0,0,19,2019
Punggelan,0,0,0,0,0,0,0,0,2019
Karangkobar,0,335,0,227,351,1191,115,1166,2019
Pagentan,0,274,0,219,287,46,88,1476,2019
Pejawaran,0,4927,43407,10909,4475,7029,322,6547,2019
Batur,4,0,65216,60135,0,0,0,0,2019
Wanayasa,0,76,4252,5535,0,23,70,64,2019
Kalibening,0,308,624,900,135,157,0,112,2019
Pandanarum,0,15,0,7,0,0,0,64,2019
Susukan,0,0,0,0,0,0,0,0,2020
Purwareja Klampok,0,0,0,0,0,0,0,0,2020
Mandiraja,0,45,0,0,0,0,0,20,2020
Purwanegara,8,9153,0,0,0,1111,0,355,2020
Bawang,8,170,0,0,0,464,0,152,2020
Banjarnegara,20,10,0,0,0,0,0,0,2020
Pagedongan,0,0,0,0,0,0,0,1273,2020
Sigaluh,0,0,0,0,0,0,0,0,2020
Madukara,0,7,0,0,0,0,0,0,2020
Banjarmangu,0,21,0,0,0,5,0,11,2020
Wanadadi,0,3,0,0,0,29,0,8,2020
Rakit,9,30,0,0,1,0,0,14,2020
Punggelan,0,0,0,0,0,0,0,0,2020
Karangkobar,0,298,0,2835,360,440,0,453,2020
Pagentan,0,378,0,34,420,118,162,288,2020
