Wilayah,Komposit,Rasio Luas Lahan Pertanian,Rasio Sarana Pangan,Rasio Penduduk Miskin Desil 1,Desa Tanpa Akses Penghubung,Rasio Rumah Tangga Tanpa Air Bersih,Rasio Tenaga Kesehatan,IKP,IKP Ranking,
susukan - berta,5,0.08,0.02,0.18,1.00,0.01,0.09,64.80,156,
susukan - derik,4,0.06,0.02,0.21,1.00,0.17,0.08,59.38,260,
susukan - gumelem wetan,4,0.06,0.06,0.17,1.00,0.00,0.19,61.44,236,
susukan - gumelem kulon,4,0.06,0.09,0.15,1.00,0.19,0.16,61.48,234,
susukan - penarusan wetan,4,0.05,0.04,0.18,1.00,0.02,0.08,63.14,215,
susukan - penarusan kulon,4,0.09,0.02,0.20,1.00,0.31,0.07,60.01,256,
susukan - brengkok,5,0.03,0.05,0.14,1.00,0.03,0.04,64.63,165,
susukan - pekikiran,4,0.05,0.04,0.16,1.00,0.35,0.07,58.07,267,
susukan - piasa wetan,5,0.05,0.05,0.16,1.00,0.02,0.02,65.66,130,
susukan - karangsalam,4,0.04,0.04,0.13,1.00,0.00,0.07,64.21,176,
susukan - kemranggon,4,0.04,0.04,0.15,1.00,0.03,0.06,63.95,186,
susukan - susukan,4,0.05,0.04,0.14,1.00,0.14,0.05,63.15,214,
susukan - dermasari,4,0.05,0.03,0.19,1.00,0.04,0.03,63.67,194,
susukan - kedawung,5,0.02,0.09,0.16,1.00,0.00,0.05,65.07,150,
susukan - karangjati,4,0.02,0.05,0.17,1.00,0.00,0.04,62.46,224,
purworeja klampok - sirkandi,3,0.03,0.06,0.14,1.00,0.13,0.22,56.63,271,
purworeja klampok - pagak,4,0.02,0.05,0.24,1.00,0.02,0.07,59.34,261,
purworeja klampok - kecitran,4,0.02,0.06,0.13,1.00,0.01,0.09,62.70,221,
purworeja klampok - purwareja,5,0.02,0.14,0.09,1.00,0.02,0.06,68.82,57,
purworeja klampok - klampok,4,0.02,0.06,0.12,1.00,0.03,0.05,64.15,177,
purworeja klampok - kalilandak,5,0.03,0.04,0.12,1.00,0.01,0.04,65.14,146,
purworeja klampok - kalimandi,4,0.02,0.03,0.17,1.00,0.07,0.06,60.34,253,
purworeja klampok - kaliwinasuh,4,0.02,0.04,0.18,1.00,0.00,0.05,61.82,232,
mandiraja - jalatunda,4,0.09,0.03,0.13,1.00,0.09,0.13,64.05,182,
mandiraja - somawangi,5,0.05,0.04,0.09,1.00,0.01,0.14,64.66,163,
mandiraja - kaliwungu,5,0.09,0.04,0.13,1.00,0.09,0.10,65.74,127,
mandiraja - kebanaran,4,0.01,0.04,0.11,1.00,0.04,0.12,60.93,248,
mandiraja - glempang,4,0.06,0.04,0.14,1.00,0.01,0.14,63.50,202,
mandiraja - salamerta,4,0.04,0.03,0.12,1.00,0.14,0.11,61.23,241,
mandiraja - purwasaba,4,0.02,0.03,0.10,1.00,0.01,0.07,63.98,185,
mandiraja - blimbing,5,0.03,0.04,0.10,1.00,0.02,0.02,66.57,99,
mandiraja - panggisari,4,0.04,0.03,0.13,1.00,0.02,0.06,63.99,184,
mandiraja - candiwulan,4,0.02,0.03,0.12,1.00,0.05,0.03,63.82,189,
mandiraja - simbang,5,0.04,0.04,0.10,1.00,0.02,0.04,66.35,109,
mandiraja - kertayasa,5,0.04,0.04,0.13,1.00,0.01,0.07,64.55,166,
mandiraja - banjengan,5,0.03,0.03,0.10,1.00,0.01,0.02,66.20,118,
mandiraja - mandiraja kulon,5,0.02,0.08,0.08,1.00,0.00,0.03,67.91,70,
mandiraja - kebakalan,5,0.03,0.05,0.10,1.00,0.01,0.02,66.89,88,
mandiraja - mandiraja wetan,5,0.01,0.04,0.10,1.00,0.01,0.03,65.08,149,
purwanegara - kalitengah,4,0.10,0.02,0.20,1.00,0.18,0.19,58.71,266,
purwanegara - merden,4,0.05,0.04,0.10,1.00,0.09,0.21,60.43,252,
purwanegara - karanganyar,4,0.07,0.02,0.14,1.00,0.17,0.19,59.11,263,
purwanegara - kaliajir,4,0.08,0.03,0.19,1.00,0.07,0.19,59.57,257,
purwanegara - petir,4,0.13,0.03,0.13,1.00,0.17,0.27,61.43,237,
purwanegara - pucungbedug,4,0.06,0.05,0.18,1.00,0.01,0.17,61.20,242,
purwanegara - parakan,5,0.09,0.03,0.14,1.00,0.01,0.13,65.42,134,
purwanegara - mertasari,5,0.06,0.03,0.09,1.00,0.02,0.08,66.30,112,
purwanegara - danaraja,5,0.03,0.05,0.12,1.00,0.02,0.06,64.33,172,
purwanegara - purwonegoro,4,0.02,0.03,0.07,1.00,0.03,0.08,63.75,191,
purwanegara - kalipelus,4,0.03,0.03,0.13,1.00,0.02,0.05,63.68,193,
purwanegara - gumiwang,4,0.04,0.04,0.12,1.00,0.06,0.09,62.89,219,
purwanegara - kutawuluh,5,0.08,0.07,0.16,1.00,0.03,0.09,67.33,80,
bawang - wanadri,4,0.04,0.06,0.12,1.00,0.16,0.13,61.06,245,
bawang - kebondalem,5,0.12,0.07,0.12,1.00,0.05,0.23,66.52,102,
bawang - majalengka,4,0.10,0.06,0.19,1.00,0.15,0.15,63.19,211,
bawang - wiramastra,5,0.06,0.07,0.15,1.00,0.00,0.08,66.61,98,
bawang - kutayasa,6,0.13,0.03,0.09,1.00,0.04,0.09,71.73,24,
bawang - winong,4,0.04,0.03,0.15,1.00,0.06,0.08,61.85,230,
bawang - depok,6,0.17,0.05,0.10,1.00,0.08,0.05,76.01,6,
bawang - watuurip,6,0.16,0.07,0.17,1.00,0.22,0.08,70.54,38,
bawang - masaran,5,0.07,0.07,0.13,1.00,0.02,0.09,66.78,92,
bawang - serang,4,0.06,0.04,0.19,1.00,0.08,0.03,63.65,195,
bawang - mantrianom,5,0.04,0.05,0.12,1.00,0.06,0.07,64.79,158,
bawang - binorong,5,0.02,0.06,0.13,1.00,0.01,0.04,64.66,162,
bawang - joho,4,0.01,0.04,0.10,1.00,0.00,0.04,64.05,183,
bawang - bawang,5,0.02,0.04,0.08,1.00,0.02,0.07,65.00,152,
bawang - bandingan,5,0.01,0.11,0.09,1.00,0.01,0.03,67.74,71,
bawang - blambangan,5,0.03,0.04,0.06,1.00,0.00,0.08,66.37,108,
bawang - gemuruh,5,0.04,0.03,0.07,1.00,0.03,0.08,65.41,135,
bawang - pucang,5,0.03,0.06,0.10,1.00,0.00,0.08,65.30,139,
banjarnegara - argasoka,5,0.04,0.13,0.11,1.00,0.00,0.09,68.45,63,
banjarnegara - karangtengah,6,0.02,0.20,0.08,1.00,0.02,0.03,73.38,16,
banjarnegara - wangon,5,0.02,0.09,0.06,1.00,0.00,0.03,68.92,56,
banjarnegara - semampir,5,0.03,0.06,0.08,1.00,0.01,0.04,67.20,82,
banjarnegara - sokanandi,5,0.02,0.12,0.06,1.00,0.01,0.07,69.18,52,
banjarnegara - parakancanggah,5,0.00,0.07,0.06,1.00,0.02,0.05,65.56,131,
banjarnegara - semarang,6,0.00,0.17,0.09,1.00,0.01,0.02,70.75,35,
banjarnegara - krandegan,6,0.00,0.29,0.06,1.00,0.01,0.02,76.81,5,
banjarnegara - kutabanjarnegara,5,0.00,0.07,0.05,1.00,0.00,0.04,66.70,96,
banjarnegara - ampelsari,4,0.04,0.04,0.16,1.00,0.02,0.07,63.08,218,
banjarnegara - tlagawera,3,0.01,0.01,0.13,1.00,0.29,0.09,55.28,273,
banjarnegara - cendana,4,0.09,0.04,0.14,1.00,0.38,0.11,60.17,255,
banjarnegara - sokayasa,4,0.05,0.04,0.11,1.00,0.31,0.06,61.06,244,
sigaluh - kalibenda,5,0.04,0.05,0.09,1.00,0.00,0.03,68.17,68,
sigaluh - pringamba,5,0.10,0.06,0.17,1.00,0.02,0.14,66.47,103,
sigaluh - sawal,6,0.21,0.03,0.07,1.00,0.00,0.22,74.77,11,
sigaluh - panawaren,6,0.26,0.03,0.11,1.00,0.09,0.20,72.19,23,
sigaluh - tunggara,5,0.09,0.03,0.18,1.00,0.01,0.07,66.22,114,
sigaluh - randegan,6,0.08,0.09,0.12,1.00,0.00,0.04,71.55,27,
sigaluh - bojanegara,5,0.06,0.03,0.12,1.00,0.00,0.06,66.46,104,
sigaluh - bandingan,5,0.05,0.06,0.15,1.00,0.01,0.03,66.77,94,
sigaluh - prigi,4,0.04,0.06,0.10,1.00,0.06,0.14,63.43,205,
sigaluh - gembongan,5,0.03,0.05,0.11,1.00,0.06,0.07,64.24,174,
sigaluh - kemiri,4,0.08,0.05,0.11,1.00,0.40,0.06,62.28,226,
sigaluh - karangmangu,6,0.21,0.05,0.13,1.00,0.00,0.05,79.25,2,
sigaluh - wanacipta,5,0.03,0.03,0.14,1.00,0.02,0.01,64.52,167,
sigaluh - sigaluh,4,0.07,0.06,0.09,1.00,0.44,0.03,63.08,217,
sigaluh - singamerta,5,0.06,0.04,0.11,1.00,0.07,0.05,66.53,100,
madukara - kenteng,5,0.03,0.05,0.10,1.00,0.00,0.04,66.86,90,
madukara - rejasa,5,0.02,0.08,0.08,1.00,0.01,0.04,67.51,77,
madukara - limbangan,6,0.11,0.03,0.13,1.00,0.01,0.04,70.50,40,
madukara - penawangan,5,0.09,0.03,0.21,1.00,0.01,0.04,66.20,116,
madukara - talunamba,5,0.12,0.07,0.13,1.00,0.15,0.06,69.59,48,
madukara - madukara,5,0.03,0.05,0.10,1.00,0.00,0.06,65.92,123,
madukara - kutayasa,5,0.05,0.05,0.19,1.00,0.00,0.03,65.13,147,
madukara - pekauman,6,0.09,0.07,0.14,1.00,0.03,0.04,70.07,43,
madukara - pagelak,5,0.05,0.05,0.14,1.00,0.02,0.04,66.20,117,
madukara - dawuhan,5,0.07,0.04,0.14,1.00,0.09,0.08,65.01,151,
madukara - bantarwaru,5,0.04,0.05,0.13,1.00,0.04,0.06,64.79,157,
madukara - sered,4,0.07,0.02,0.14,1.00,0.18,0.05,63.28,209,
madukara - petambakan,5,0.06,0.08,0.07,1.00,0.16,0.06,67.54,76,
madukara - rakitan,5,0.07,0.04,0.13,1.00,0.06,0.07,65.94,121,
madukara - blitar,5,0.08,0.04,0.17,1.00,0.05,0.05,65.69,129,
madukara - kaliurip,5,0.09,0.05,0.09,1.00,0.11,0.13,66.53,101,
madukara - karanganyar,6,0.16,0.04,0.16,1.00,0.01,0.04,73.54,15,
madukara - gununggiana,4,0.12,0.02,0.17,1.00,0.39,0.08,61.31,239,
madukara - clapar,6,0.14,0.03,0.09,1.00,0.00,0.08,73.24,17,
madukara - pakelen,6,0.22,0.03,0.14,1.00,0.14,0.08,74.58,13,
banjarmangu - jenggawur,5,0.06,0.03,0.14,1.00,0.04,0.05,65.52,132,
banjarmangu - banjarkulon,5,0.06,0.04,0.19,1.00,0.00,0.04,65.31,138,
banjarmangu - banjarmangu,5,0.04,0.04,0.12,1.00,0.01,0.04,66.39,105,
banjarmangu - rejasari,5,0.06,0.04,0.17,1.00,0.01,0.04,65.15,145,
banjarmangu - kesenet,5,0.05,0.10,0.13,1.00,0.00,0.08,67.69,72,
banjarmangu - kalilunjar,5,0.08,0.04,0.14,1.00,0.01,0.09,66.34,110,
banjarmangu - sijeruk,5,0.11,0.03,0.13,1.00,0.02,0.09,68.70,59,
banjarmangu - kendaga,5,0.08,0.06,0.12,1.00,0.02,0.13,66.72,95,
banjarmangu - gripit,4,0.05,0.05,0.18,1.00,0.13,0.03,63.48,203,
banjarmangu - pekandangan,4,0.08,0.04,0.16,1.00,0.34,0.07,60.59,251,
banjarmangu - sigeblog,3,0.07,0.03,0.16,1.00,0.38,0.12,56.82,269,
banjarmangu - paseh,5,0.10,0.03,0.15,1.00,0.05,0.08,66.68,97,
banjarmangu - sipedang,5,0.10,0.03,0.14,1.00,0.03,0.14,65.82,125,
banjarmangu - sijenggung,5,0.13,0.04,0.14,1.00,0.17,0.08,68.37,65,
banjarmangu - beji,5,0.11,0.04,0.15,1.00,0.00,0.11,68.51,62,
banjarmangu - prendengan,5,0.09,0.07,0.16,1.00,0.14,0.10,65.27,141,
banjarmangu - majatengah,6,0.19,0.02,0.21,1.00,0.00,0.07,73.20,18,
